VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,1,14,CIU            ,CONVERGÈNCIA I UNIÓ                               ,122
M,Eleccions Municipals                    ,2007,1,14,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,17
M,Eleccions Municipals                    ,2007,1,14,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,61
M,Eleccions Municipals                    ,2007,1,14,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,57
M,Eleccions Municipals                    ,2007,1,14,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,1,14,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,90
M,Eleccions Municipals                    ,2007,1,14,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,343
M,Eleccions Municipals                    ,2007,1,14,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,1,15,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,14
M,Eleccions Municipals                    ,2007,1,15,CIU            ,CONVERGÈNCIA I UNIÓ                               ,79
M,Eleccions Municipals                    ,2007,1,15,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,10
M,Eleccions Municipals                    ,2007,1,15,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,44
M,Eleccions Municipals                    ,2007,1,15,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,53
M,Eleccions Municipals                    ,2007,1,15,PFIV           ,FAMÍLIA I VIDA                                    ,2
M,Eleccions Municipals                    ,2007,1,15,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,27
M,Eleccions Municipals                    ,2007,1,15,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,202
M,Eleccions Municipals                    ,2007,1,15,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,4
M,Eleccions Municipals                    ,2007,1,16,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,26
M,Eleccions Municipals                    ,2007,1,16,CIU            ,CONVERGÈNCIA I UNIÓ                               ,209
M,Eleccions Municipals                    ,2007,1,16,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,19
M,Eleccions Municipals                    ,2007,1,16,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,104
M,Eleccions Municipals                    ,2007,1,16,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,85
M,Eleccions Municipals                    ,2007,1,16,PFIV           ,FAMÍLIA I VIDA                                    ,4
M,Eleccions Municipals                    ,2007,1,16,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,71
M,Eleccions Municipals                    ,2007,1,16,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,291
M,Eleccions Municipals                    ,2007,1,16,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,1,17,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,8
M,Eleccions Municipals                    ,2007,1,17,CIU            ,CONVERGÈNCIA I UNIÓ                               ,315
M,Eleccions Municipals                    ,2007,1,17,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,17
M,Eleccions Municipals                    ,2007,1,17,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,82
M,Eleccions Municipals                    ,2007,1,17,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,69
M,Eleccions Municipals                    ,2007,1,17,PFIV           ,FAMÍLIA I VIDA                                    ,4
M,Eleccions Municipals                    ,2007,1,17,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,70
M,Eleccions Municipals                    ,2007,1,17,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,268
M,Eleccions Municipals                    ,2007,1,17,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,7
M,Eleccions Municipals                    ,2007,1,18,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,1
M,Eleccions Municipals                    ,2007,1,18,CIU            ,CONVERGÈNCIA I UNIÓ                               ,96
M,Eleccions Municipals                    ,2007,1,18,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,9
M,Eleccions Municipals                    ,2007,1,18,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,29
M,Eleccions Municipals                    ,2007,1,18,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,17
M,Eleccions Municipals                    ,2007,1,18,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,1,18,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,11
M,Eleccions Municipals                    ,2007,1,18,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,52
M,Eleccions Municipals                    ,2007,1,18,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,1,19,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,17
M,Eleccions Municipals                    ,2007,1,19,CIU            ,CONVERGÈNCIA I UNIÓ                               ,90
M,Eleccions Municipals                    ,2007,1,19,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,2
M,Eleccions Municipals                    ,2007,1,19,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,46
M,Eleccions Municipals                    ,2007,1,19,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,53
M,Eleccions Municipals                    ,2007,1,19,PFIV           ,FAMÍLIA I VIDA                                    ,2
M,Eleccions Municipals                    ,2007,1,19,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,54
M,Eleccions Municipals                    ,2007,1,19,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,174
M,Eleccions Municipals                    ,2007,1,19,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,1,20,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,14
M,Eleccions Municipals                    ,2007,1,20,CIU            ,CONVERGÈNCIA I UNIÓ                               ,109
M,Eleccions Municipals                    ,2007,1,20,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,5
M,Eleccions Municipals                    ,2007,1,20,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,48
M,Eleccions Municipals                    ,2007,1,20,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,43
M,Eleccions Municipals                    ,2007,1,20,PFIV           ,FAMÍLIA I VIDA                                    ,4
M,Eleccions Municipals                    ,2007,1,20,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,48
M,Eleccions Municipals                    ,2007,1,20,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,180
M,Eleccions Municipals                    ,2007,1,20,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,1,21,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,16
M,Eleccions Municipals                    ,2007,1,21,CIU            ,CONVERGÈNCIA I UNIÓ                               ,124
M,Eleccions Municipals                    ,2007,1,21,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,5
M,Eleccions Municipals                    ,2007,1,21,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,50
M,Eleccions Municipals                    ,2007,1,21,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,57
M,Eleccions Municipals                    ,2007,1,21,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,1,21,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,35
M,Eleccions Municipals                    ,2007,1,21,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,171
