DISTRICTE,BARRI,SUPERFICIE_CONSTRUIDA,TOTAL
Districte 3,P.I. Can Guitard                        ,Fins 66,1
Districte 4,Disseminats                             ,196-235,1
Districte 6,Font De L Espardenyera                  ,Fins 66,2
Districte 3,P.I. Can Parellada                      ,196-235,1
Districte 6,Font De L Espardenyera                  ,67-116,1
Districte 6,Sant Llorenç                            ,421-953,103
Districte 2,Disseminats                             ,954 i mes,14
Districte 3,Les Fonts                               ,158-195,55
Districte 6,Les Arenes - La Grípia - Can Montllor   ,67-116,88
Districte 3,P.I. Els Bellots                        ,421-953,8
Districte 5,Can Boada Del Pi                        ,117-157,2
Districte 4,Les Martines                            ,236-295,37
Districte 4,Les Martines                            ,158-195,46
Districte 4,Can Palet De Vista Alegre               ,117-157,56
Districte 4,La Maurina                              ,421-953,145
Districte 4,Roc Blanc                               ,67-116,26
Districte 5,Can Gonteres                            ,117-157,16
Districte 4,Les Martines                            ,Fins 66,30
Districte 5,Can Boada Casc Antic                    ,Fins 66,15
Districte 4,La Cogullada                            ,296-420,78
Districte 5,Poble Nou - Zona Esportiva              ,196-235,220
Districte 5,Poble Nou - Zona Esportiva              ,236-295,293
Districte 5,Torrent D En Pere Parres                ,158-195,56
Districte 1,Centre                                  ,117-157,348
Districte 5,Sant Pere                               ,954 i mes,274
Districte 5,Torrent D En Pere Parres                ,Fins 66,9
Districte 3,Segle Xx                                ,Fins 66,35
Districte 5,Sant Pere                               ,421-953,169
Districte 5,Sant Pere                               ,196-235,175
Districte 5,Sant Pere                               ,Solar,44
Districte 3,Can Jofresa                             ,954 i mes,26
Districte 6,Sant Pere Nord                          ,954 i mes,234
Districte 6,Sant Pere Nord                          ,196-235,258
Districte 1,Vallparadís                             ,296-420,41
Districte 1,Pl. Catalunya - Esc. Industrial         ,67-116,29
Districte 5,Pla Del Bon Aire - El Garrot            ,117-157,7
Districte 5,Pla Del Bon Aire - El Garrot            ,158-195,5
Districte 1,Pl. Catalunya - Esc. Industrial         ,158-195,18
Districte 3,Guadalhorce                             ,Fins 66,1
Districte 2,Ca N Anglada                            ,954 i mes,157
Districte 6,Ègara                                   ,296-420,91
Districte 6,Ègara                                   ,117-157,62
Districte 2,Ca N Anglada                            ,158-195,293
Districte 3,P.I. Can Parellada                      ,421-953,29
Districte 3,P.I. Can Parellada                      ,296-420,6
Districte 5,Els Caus - Els Pinetons                 ,296-420,1
Districte 5,Can Gonteres                            ,Solar,24
Districte 1,Antic Poble De Sant Pere                ,421-953,21
Districte 3,P.I. Els Bellots                        ,296-420,5
Districte 1,Antic Poble De Sant Pere                ,Fins 66,3
Districte 3,Disseminats                             ,67-116,2
Districte 6,Font De L Espardenyera                  ,158-195,3
Districte 4,Disseminats                             ,236-295,3
Districte 3,Disseminats                             ,Solar,261
Districte 2,Torre-Sana                              ,196-235,37
Districte 3,Can Parellada                           ,236-295,209
Districte 3,Les Fonts                               ,Solar,103
Districte 6,Les Arenes - La Grípia - Can Montllor   ,158-195,195
Districte 6,Disseminats                             ,117-157,3
Districte 3,Les Fonts                               ,Fins 66,28
Districte 3,Les Fonts                               ,421-953,64
Districte 3,P.I. Els Bellots                        ,954 i mes,31
Districte 4,Can Palet De Vista Alegre               ,296-420,76
Districte 4,La Maurina                              ,67-116,144
Districte 5,Disseminats                             ,67-116,14
Districte 5,Can Gonteres                            ,296-420,35
Districte 4,Roc Blanc                               ,117-157,26
Districte 4,La Maurina                              ,117-157,139
Districte 5,Can Gonteres                            ,421-953,13
Districte 4,Roc Blanc                               ,296-420,53
Districte 4,Can Palet De Vista Alegre               ,Solar,163
