DATA_REFERENCIA,PAIS_DESTI,NACIONALITAT,POBLACIO
2011,XILE                          ,ESTRANGER,15
2012,XILE                          ,ESTRANGER,32
2013,XILE                          ,ESTRANGER,10
2014,XILE                          ,ESTRANGER,9
2015,XILE                          ,ESTRANGER,4
2016,XILE                          ,ESTRANGER,6
2011,"XINA, LA                      ",ESTRANGER,9
2012,"XINA, LA                      ",ESTRANGER,4
2013,"XINA, LA                      ",ESTRANGER,9
2014,"XINA, LA                      ",ESTRANGER,13
2015,"XINA, LA                      ",ESTRANGER,17
2016,"XINA, LA                      ",ESTRANGER,6
2017,"XINA, LA                      ",ESTRANGER,3
