DATA_REFERENCIA,MUNICIPI_PROCE_DESTI,PROVINCIA_PROCE_DESTI,TIPUS_MOVIMENT,POBLACIO
2011,INSTINCIÓN                    ,ALMERIA,ALTA PER IMMIGRACIÓ           ,2
2011,LA MOJONERA                   ,ALMERIA,ALTA PER IMMIGRACIÓ           ,2
2011,LAS TRES VILLAS               ,ALMERIA,ALTA PER IMMIGRACIÓ           ,5
2011,LÚCAR                         ,ALMERIA,ALTA PER IMMIGRACIÓ           ,2
2011,NÍJAR                         ,ALMERIA,ALTA PER IMMIGRACIÓ           ,3
2011,PULPÍ                         ,ALMERIA,ALTA PER IMMIGRACIÓ           ,1
2011,RÁGOL                         ,ALMERIA,ALTA PER IMMIGRACIÓ           ,5
2011,ROQUETAS DE MAR               ,ALMERIA,ALTA PER IMMIGRACIÓ           ,7
2011,SANTA CRUZ DE MARCHENA        ,ALMERIA,ALTA PER IMMIGRACIÓ           ,3
2011,SIERRO                        ,ALMERIA,ALTA PER IMMIGRACIÓ           ,1
2011,SUFLÍ                         ,ALMERIA,ALTA PER IMMIGRACIÓ           ,2
2011,TABERNAS                      ,ALMERIA,ALTA PER IMMIGRACIÓ           ,2
2011,TÍJOLA                        ,ALMERIA,ALTA PER IMMIGRACIÓ           ,2
2011,VERA                          ,ALMERIA,ALTA PER IMMIGRACIÓ           ,4
2011,ABLA                          ,ALMERIA,BAIXA PER EMIGRACIÓ           ,2
2011,ALBOLODUY                     ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,ALMERÍA                       ,ALMERIA,BAIXA PER EMIGRACIÓ           ,19
2011,ARBOLEAS                      ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,ARMUÑA DE ALMANZORA           ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,BACARES                       ,ALMERIA,BAIXA PER EMIGRACIÓ           ,5
2011,BENTARIQUE                    ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,CUEVAS DEL ALMANZORA          ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,EL EJIDO                      ,ALMERIA,BAIXA PER EMIGRACIÓ           ,15
2011,FINES                         ,ALMERIA,BAIXA PER EMIGRACIÓ           ,2
2011,FIÑANA                        ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,GARRUCHA                      ,ALMERIA,BAIXA PER EMIGRACIÓ           ,5
2011,HUÉRCAL DE ALMERÍA            ,ALMERIA,BAIXA PER EMIGRACIÓ           ,5
2011,INSTINCIÓN                    ,ALMERIA,BAIXA PER EMIGRACIÓ           ,6
2011,LA MOJONERA                   ,ALMERIA,BAIXA PER EMIGRACIÓ           ,9
2011,LOS GALLARDOS                 ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,NACIMIENTO                    ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,NÍJAR                         ,ALMERIA,BAIXA PER EMIGRACIÓ           ,4
2011,OLULA DEL RÍO                 ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,RÁGOL                         ,ALMERIA,BAIXA PER EMIGRACIÓ           ,6
2011,ROQUETAS DE MAR               ,ALMERIA,BAIXA PER EMIGRACIÓ           ,14
2011,SANTA CRUZ DE MARCHENA        ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,SERÓN                         ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,TABERNAS                      ,ALMERIA,BAIXA PER EMIGRACIÓ           ,3
2011,TABERNO                       ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,TÍJOLA                        ,ALMERIA,BAIXA PER EMIGRACIÓ           ,1
2011,VERA                          ,ALMERIA,BAIXA PER EMIGRACIÓ           ,2
2011,VICAR                         ,ALMERIA,BAIXA PER EMIGRACIÓ           ,16
2011,AVILÉS                        ,ASTURIAS,ALTA PER IMMIGRACIÓ           ,1
2011,GIJÓN                         ,ASTURIAS,ALTA PER IMMIGRACIÓ           ,6
2011,LANGREO                       ,ASTURIAS,ALTA PER IMMIGRACIÓ           ,4
2011,MIERES                        ,ASTURIAS,ALTA PER IMMIGRACIÓ           ,2
2011,OVIEDO                        ,ASTURIAS,ALTA PER IMMIGRACIÓ           ,4
2011,SIERO                         ,ASTURIAS,ALTA PER IMMIGRACIÓ           ,1
2011,AVILÉS                        ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,2
2011,CARREÑO                       ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,1
2011,CASTRILLÓN                    ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,1
2011,GIJÓN                         ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,7
2011,LANGREO                       ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,1
2011,LLANERA                       ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,1
2011,OVIEDO                        ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,4
2011,SALAS                         ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,1
2011,VILLAVICIOSA                  ,ASTURIAS,BAIXA PER EMIGRACIÓ           ,1
2011,ÁVILA                         ,AVILA,ALTA PER IMMIGRACIÓ           ,1
2011,NAVALUENGA                    ,AVILA,BAIXA PER EMIGRACIÓ           ,1
2011,ALMENDRALEJO                  ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,4
2011,BADAJOZ                       ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,4
2011,MÉRIDA                        ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,5
2011,MONESTERIO                    ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,1
2011,VALDELACALZADA                ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,1
2011,VILLANUEVA DE LA SERENA       ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,1
2011,VILLAR DEL REY                ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,2
2011,ZALAMEA DE LA SERENA          ,BADAJOZ,ALTA PER IMMIGRACIÓ           ,6
2011,BADAJOZ                       ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,3
2011,BURGUILLOS DEL CERRO          ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,3
2011,DON BENITO                    ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,1
2011,GRANJA DE TORREHERMOSA        ,BADAJOZ,BAIXA PER EMIGRACIÓ           ,1
