CARRERS_CODI,CARRERS_TIPUS_VIA,CARRERS_NOM_OFICIAL,CARRERS_NOM18
2015,PA,MALTA,DE MALTA
2020,CA,MALLORCA,DE MALLORCA
2030,CA,MANUEL DE FALLA,DE MANUEL DE FALLA
2031,CA,MANXA,DE LA MANXA
2035,CA,MAÑÉ I FLAQUER,DE MAÑÉ I FLAQUER
2040,PL,MARAGALL,DE MARAGALL
2045,CA,MARE DE DÉU DELS ÀNGELS,DE LA MARE DE DÉU DELS ÀNGELS
2055,CA,MARCONI,DE MARCONI
2060,CA,MARESME,DEL MARESME
2061,CA,MARGARIDA,DE LA MARGARIDA
2065,CA,MARIA AUXILIADORA,DE MARIA AUXILIADORA
2070,CA,MARIÀ BENLLIURE,DE MARIÀ BENLLIURE
2075,CA,MARIÀ SOLÀ,DE MARIÀ SOLÀ
2080,CA,MARINEL.LO BOSCH,DE MARINEL.LO BOSCH
2085,CA,MARQUÈS DE COMILLAS,DEL MARQUÈS DE COMILLAS
2086,CA,MARROC,DEL MARROC
2090,CA,MART,DE MART
2095,CA,MARTÍ DÍEZ,DE MARTÍ DÍEZ
2105,CR,MARTORELL,DE MARTORELL
2110,CA,MAS ADEI,DEL MAS ADEI
2115,CA,MASIA,DE LA MASIA
2125,CR,MATADEPERA,DE MATADEPERA
2126,PS,MATADEPERA,DE MATADEPERA
2130,CA,MATAGALLS,DEL MATAGALLS
2134,CA,MATIES ROCA,DE MATIES ROCA
2140,CA,JOSEP LLIMONA,DE JOSEP LLIMONA
2155,CA,MENÉNDEZ Y PELAYO,DE MENÉNDEZ Y PELAYO
2160,CA,MENORCA,DE MENORCA
2161,CA,MERCURI,DE MERCURI
2162,CA,MESTRAL,DEL MESTRAL
2163,CA,MIGJORN,DEL MIGJORN
2164,PL,MIGUEL HERNÁNDEZ,DE MIGUEL HERNÁNDEZ
2165,CA,MIQUEL ÀNGEL,DE MIQUEL ÀNGEL
2166,CA,MENTA,DE LA MENTA
2170,CA,MIQUEL PALOMARES,DE MIQUEL PALOMARES
2175,CA,MIQUEL SERVET,DE MIQUEL SERVET
2180,CA,MILLARS,DEL MILLARS
2181,CA,MIMOSA,DE LA MIMOSA
2195,CA,MINA,DE LA MINA
2200,CA,MIÑO,DEL MIÑO
4000,CA,JOSEP MARIMON,DE JOSEP MARIMON
4005,CA,WALT DISNEY,DE WALT DISNEY
4010,CA,WATT,DE WATT
4011,CA,ANOIA,DE L  ANOIA
4012,CA,LLOBREGAT,DEL LLOBREGAT
4015,CA,WILSON,DE WILSON
4020,CA,ZAMORA,DE ZAMORA
4025,CA,SARAGOSSA,DE SARAGOSSA
4030,CA,ZULOAGA,DE ZULOAGA
4050,MA,,CAN PARELLADA 
4052,CR,SABADELL A LA MANCOMUNITAT,DE SABADELL A LA MANCOMUNITAT
4053,CM,CAN RIBES,DE CAN RIBES
4055,CM,LA GRANJA,DE LA GRANJA
4060,PU,,CA N AMAT DE LA MUNTANYA 
4061,DS,,CAN FONOLLET 
4062,DS,CAN MATA,DE CAN MATA
4063,DS,CAN MISSERT,DE CAN MISSERT
4065,CA,GRANJA EL PINAR,DE LA GRANJA EL PINAR
4068,UR,,PONT DE VACARISSES 
4069,UR,,TORRE MONT REPÒS 
4070,DS,,LA PINEDA 
4071,DS,,CAN COLOMER 
4072,DS,ALBERG INFANTIL,DE L  ALBERG INFANTIL
4073,UR,MAS ESCAIOL,DEL MAS ESCAIOL
4074,DS,,CAN CARBONELL 
4075,UR,,FONT DE L ESPARDENYERA 
4076,UR,,VIL.LA JOAQUIMA 
4077,UR,,PLA DEL BON AIRE 
4078,UR,,VIL.LA TORREDEMER 
4079,UR,CAN MATIES,DE CAN MATIES
4080,UR,,TORRE RIBAUDI 
4081,UR,,PARTIDA DE L ARMENTERA 
4082,DS,,TORRE MOSSÈN HOMS 
4083,UR,,ESCOLA FÀTIMA 
4084,UR,,CAN CANDI 
4085,UR,,CAN CARDÚS 
4086,MA,,CAN MONTLLOR 
4087,UR,ERMITA DE SANTA MARIA,DE L  ERMITA DE SANTA MARIA
4088,UR,,CASA DE CAMP DE LES ARENES 
4089,DS,,LA BETZUCA 
4090,DS,,CAN SALES 
4091,UR,,HOSPITAL TÒRAX 
4093,UR,,CAN POAL 
4094,DS,,CAN BONDIA 
4095,DS,,VIVENDES  MOPU - MANCOMUNITAT 
4096,CM,GRÍPIA,DE LA GRÍPIA
4097,UR,,CEMENTIRI 
4098,DS,,TORREBONICA 
4099,DS,,CAN BOGUNYÀ 
4100,DS,,PLA DE LA GUITARD 
4101,UR,,GRANJA PIQUÉ 
4102,MA,,CAN BADIELLA 
4103,PG,,ELS BELLOTS 
4105,UR,QUATRE VENTS,ELS QUATRE VENTS
4106,UR,,TORRE ALAVEDRA 
4107,UR,,TORRE COMELLAS 
4108,UR,,VIL.LA FAUSTINA 
4116,CA,NÀPOLS,DE NÀPOLS
4117,CR,TALAMANCA,DE TALAMANCA
4118,CA,FONT,DE LA FONT
4119,CM,CAN CARBONELL,DE CAN CARBONELL
4125,CM,CAN FARCAN,DE CAN FARCAN
4180,CR,,NACIONAL 150 
4990,CA,ESCULTORA,DE L  ESCULTORA
5001,MC,,INDEPENDÈNCIA 
5002,MC,,SANT PERE 
5003,MC,,CRTA. CASTELLAR 
5004,MC,,GR.SANT LLORENÇ 
5005,MC,,GR.MONTSERRAT 
5006,DS,,PLA DEL CIRE 
5007,MA,,CAN PLANELL 
5008,AV,CAN JOFRESA,DE CAN JOFRESA
5009,PL,CAN TUSELL,DE CAN TUSELL
5010,PL,CAN BOSC DE BASEA,DE CAN BOSC DE BASEA
5011,PL,AJUNTAMENT,DE L  AJUNTAMENT
5012,PL,JARDINS DE J.VICENS VIVES,DELS JARDINS DE J.VICENS VIVES
5013,CA,TREN DE BAIX,DEL TREN DE BAIX
5014,MA,,CAN BONVILAR 
5015,UR,,CAN CASANOVES 
5016,PL,FONT DEL COMÚ,DE LA FONT DEL COMÚ
5017,DS,,CAN COSTA 
5018,P ,SANT JORDI,DE SANT JORDI
5100,CM,CA N AMAT,DE CA N AMAT
5101,CM,FONT DE L ESPARDENYERA,DE LA FONT DE L ESPARDENYERA
5102,PA,MATADEPERA,DE MATADEPERA
5104,CA,ALGÈRIA,D  ALGÈRIA
5500,CA,FOC,DEL FOC
5501,CA,AIRE,DE L  AIRE
5502,CA,AIGUA,DE L  AIGUA
5503,CA,TERRA,DE LA TERRA
5504,PL,CAN PALET,DE CAN PALET
5505,CA,JOAN ARTIGUES,DE JOAN ARTIGUES
5506,PL,TERRASSA INDUSTRIAL,DE LA TERRASSA INDUSTRIAL
5507,CA,ROSA SABATER,DE ROSA SABATER
5508,CM,,VELL D ULLASTRELL 
5509,CA,TORRENT DEL SALT,DEL TORRENT DEL SALT
5510,CA,FONT DEL FERRO,DE LA FONT DEL FERRO
5511,CA,TORRENT FONDO,DEL TORRENT FONDO
5512,CA,VISTA ALEGRE,DE VISTA ALEGRE
5513,CA,SANT JERONI,DE SANT JERONI
5514,PL,PAU,DE LA PAU
5515,CA,ÀLIGA,DE L  ÀLIGA
5516,CA,ALOSA,DE L  ALOSA
5517,CA,ASTOR,DE L  ASTOR
5518,CA,BALLESTER,DEL BALLESTER
5519,CA,CADERNERA,DE LA CADERNERA
5520,CA,ESTORNELL,DE L  ESTORNELL
5521,CA,FALCIOT,DEL FALCIOT
5522,CA,GAVINA,DE LA GAVINA
5523,CA,GUATLLA,DE LA GUATLLA
5524,CA,MALLERENGA,DE LA MALLERENGA
5525,CA,MERLA,DE LA MERLA
5526,CA,MUSSOL,DEL MUSSOL
5527,CA,ORENETA,DE L  ORENETA
5528,CA,PARDAL,DEL PARDAL
197,PL,ARQ.COLL I BACARDÍ,DE L  ARQ.COLL I BACARDÍ
712,CA,COLL D ERES,DEL COLL D ERES
895,PL,ENRIC GRANADOS,D  ENRIC GRANADOS
1170,CA,FALSET,DE FALSET
1651,PL,IBÈRIA,D  IBÈRIA
2135,CA,MATARÓ,DE MATARÓ
2740,PL,CREU GRAN,DE LA CREU GRAN
2860,CA,RAGOL,DE RAGOL
3415,PL,SARDANA,DE LA SARDANA
3755,CA,VACARISSES,DE VACARISSES
5551,PL,ANÒNIMA,DE L  ANÒNIMA
5583,PL,QUADRA DE VALLPARADÍS,DE LA QUADRA DE VALLPARADÍS
5607,PL,GUERALDES,DE LES GUERALDES
1100,GR,ÈGARA,D  ÈGARA
5019,P ,VALLPARADÍS,DE VALLPARADÍS
60,CA,ALBÉNIZ,D  ALBÉNIZ
466,CA,CAMERUN,DEL CAMERUN
502,CA,CANAL DEL FORN DEL CARGOL,DE L CANAL DEL FORN DEL CARGOL
575,CA,CASP,DE CASP
1225,CA,FLORESTA,DE LA FLORESTA
1280,CA,FRAGA,DE FRAGA
1645,CA,OSCA,D  OSCA
3145,CA,SANT DAMIÀ,DE SANT DAMIÀ
955,PA,DINAMARCA,DE DINAMARCA
1757,PL,JOAN MIRÓ,DE JOAN MIRÓ
1838,PL,ALZINA,DE L  ALZINA
1910,PA,LINEA,DE LA LINEA
2136,PL,MAURINA,DE LA MAURINA
2362,PA,NARCÍS OLLER,DE NARCÍS OLLER
2640,PA,PERE COMERMA,DE PERE COMERMA
3310,PA,SAN MARINO,DE SAN MARINO
3601,PL,TECNOLOGIA,DE LA TECNOLOGIA
3891,PA,VIGO,DE VIGO
5533,CA,TALLAROL,DEL TALLAROL
5608,PL,DORÉ,DEL DORÉ
5624,PL,DRETS HUMANS,DELS DRETS HUMANS
5625,CA,BADAJOZ,DE BADAJOZ
5626,CA,SANT MUÇ,DE SANT MUÇ
5627,CA,TORRE IBÈRICA,DE LA TORRE IBÈRICA
5628,CA,PUIG DEL CANYET,DEL PUIG DEL CANYET
5629,CA,PUIG DE VIASTRELLA,DEL PUIG DE VIASTRELLA
5630,CA,CAMÍ DE LA CREU DE CONILL,DEL CAMÍ DE LA CREU DE CONILL
5631,CA,MAS ARÚS,DEL MAS ARÚS
5632,CA,TORRENT DE CAN GUITARD,DEL TORRENT DE CAN GUITARD
5633,CM,FONT DEL MOREU,DE LA FONT DEL MOREU
5634,CM,MARTINES,DE LES MARTINES
5635,CA,FONT DE PAU BOADA,DE FONT DE PAU BOADA
5636,CM,TORRENT DE MONTCAI,DEL TORRENT DE MONTCAI
5637,CA,MAS DE MIRESSES,DEL MAS DE MIRESSES
5638,CM,FONT DE LA PLATA,DE LA FONT DE LA PLATA
5639,CA,CARENA DEL MAS BELLVER,DE LA CARENA DEL MAS BELLVER
5640,CA,CAN MAS,DE CAN MAS
5641,CA,TORRENT DE SAVALL,DEL TORRENT DE SAVALL
5642,CA,MAS DE LA MORADA,DEL MAS DE LA MORADA
5643,CA,CARBONELLES,DE LES CARBONELLES
5644,CA,FONT DE SANTA TERESA,DE LA FONT DE SANTA TERESA
5645,CA,TORRENT DE JONCAR,DEL TORRENT DE JONCAR
5646,CA,MAS DE BORRELLES,DEL MAS DE BORRELLES
5647,CA,MAS DE CANET,DEL MAS DE CANET
5648,CA,LLEBRE,DE LA LLEBRE
5649,CA,MAS DE LES ALZINES,DEL MAS DE LES ALZINES
5650,CM,TEIXÓ,DEL TEIXÓ
5651,CA,CAN SANTFELIU,DE CAN SANTFELIU
5652,CA,SENGLAR,DEL SENGLAR
5653,CA,DAINA,DE LA DAINA
5654,CA,SESCOMES,DE SESCOMES
5655,CA,CAMP DE LES CIRERES,DEL CAMP DE LES CIRERES
5656,CM,CAN CURET,DE CAN CURET
5657,CA,MAS BRANCA,DEL MAS BRANCA
5658,CA,FONT DEL RODÓ,DE LA FONT DEL RODÓ
5659,PL,ROSALÍA DE CASTRO,DE ROSALÍA DE CASTRO
5660,PL,VAPOR MONSET,DEL VAPOR MONSET
5661,PA,VAPOR DE LA COMPANYIA,DEL VAPOR DE LA COMPANYIA
5662,PL,VAPOR VENTALLÓ,DEL VAPOR VENTALLÓ
5663,PL,JOSEFINES,DE LES JOSEFINES
5664,PL,MANEL MAÑAS,DE MANEL MAÑAS
5665,PA,TORRENT MITGER,DEL TORRENT MITGER
5666,PL,MIQUEL UTGÉS,DE MIQUEL UTGÉS
5667,CM,TICO,DE TICO
5668,CA,FERROVIARIS,DELS FERROVIARIS
5669,CA,NOTARI BADIA,DEL NOTARI BADIA
5670,CA,JOAN BAPTISTA GALÍ,DE JOAN BAPTISTA GALÍ
5671,PA,TORRENT DE LES GUERALDES,DEL TORRENT DE LES GUERALDES
5672,CA,CASTRO DEL RÍO,DE CASTRO DEL RÍO
5673,CA,SERÓN,DE SERÓN
5674,CA,PAU AYMERICH,DE PAU AYMERICH
5675,PL,CAN MONTLLOR,DE CAN MONTLLOR
5676,P ,COGULLADA,DE LA COGULLADA
5677,PA,EMILI MIRÓ,D  EMILI MIRÓ
5678,PA,MOSSÈN JOSEP MONCAU,DE MOSSÈN JOSEP MONCAU
5679,PL,PARE ALEXANDRE,DEL PARE ALEXANDRE
5680,PC,ADELINA GREGORIANO,D  ADELINA GREGORIANO
5681,DS,,SANTA MAGDALENA DE PUIGBARRAL 
5682,PC,ROSA PUIG,DE ROSA PUIG
5683,PC,SALVAT-PAPASSEIT,DE SALVAT-PAPASSEIT
5684,CA,PUIGSACALM,DEL PUIGSACALM
5685,CA,JOAQUIM VAYREDA,DE JOAQUIM VAYREDA
5686,PA,CLEMENTINA ARDERIU,DE CLEMENTINA ARDERIU
5687,PL,ANTONI ARGILÉS,D  ANTONI ARGILÉS
5688,CA,SEGURA,DEL SEGURA
5689,PA,SÉNIA,DE LA SÉNIA
5690,PL,MEDITERRÀNIA,DE LA MEDITERRÀNIA
5691,PN,SANT PERE,DE SANT PERE
5692,PN,PASSEIG,DEL PASSEIG
5693,PN,CEMENTIRI VELL,DEL CEMENTIRI VELL
5694,PN,GALL,DEL GALL
5695,PN,CARRETERA DE RELLINARS,DE LA CARRETERA DE RELLINARS
5696,PN,CARRETERA D OLESA,DE LA CARRETERA D OLESA
5697,PN,SANT LLORENÇ,DE SANT LLORENÇ
5698,PN,CARRETERA DE MATADEPERA,DE LA CARRETERA DE MATADEPERA
5701,PN,ARENES,DE LES ARENES
5702,PN,RAMBLA,DE LA RAMBLA
5703,PN,VACARISSES,DE VACARISSES
5708,P ,,HORTES DELS FRARES 
5704,P ,,PLA DE LA FONT DE L APOTECARI 
5705,P ,,TORRENT DE LES BRUIXES 
5706,P ,,TORRENT MONNER 
5707,P ,,PLA DE CAL GUARDIOLA 
5709,P ,,PLA DEL CASTELL 
5710,P ,,PLA DEL MAS DE LA CASTLÀNIA 
5711,P ,,EL LLAC DE VALLPARADÍS 
5712,P ,,PLA DEL TORRENT DE LES ÀNIMES 
5529,CA,PERDIU,DE LA PERDIU
5530,CA,PIGOT,DEL PIGOT
5531,CA,PINSÀ,DEL PINSÀ
5532,CA,PUPUT,DE LA PUPUT
5535,CA,TÓRTORA,DE LA TÓRTORA
5536,CA,TUDÓ,DEL TUDÓ
5537,CA,XORIGUER,DEL XORIGUER
5538,CA,XOT,DEL XOT
5539,CM,CAN CONILLER,DE CAN CONILLER
5601,DS,,HIPERMERCAT CAN PARELLADA 
6200,CA,PUERTO RICO,DE PUERTO RICO
8888,CP,,COMUNITAT DE PROPIETARIS 
5540,P ,CATALANS,DELS CATALANS
5541,PL,AGUSTÍ BARTRA,D  AGUSTÍ BARTRA
5542,CA,JOAN FUSTER,DE JOAN FUSTER
5543,PL,CONSTITUCIÓ,DE LA CONSTITUCIÓ
5699,  ,,EN EL MUNICIPI 
9999,AP,,APARTAT DE CORREUS 
1843,AU,,AUTOPISTA C-16 
5544,PL,ASSEMBLEA DE CATALUNYA,DE L  ASSEMBLEA DE CATALUNYA
5546,PL,BÒBILA SEGUÉS,DE LA BÒBILA SEGUÉS
5545,PL,ANTONI ESCUDÉ,D  ANTONI ESCUDÉ
5547,PL,DOLORS ALEU,DE DOLORS ALEU
5548,PL,CANJÁYAR,DE CANJÁYAR
5550,CM,CAN BOADA,DE CAN BOADA
5552,CA,FILATURA,DE LA FILATURA
5553,PL,TINT,DEL TINT
5555,MA,CAN BARBA,DE CAN BARBA
5556,DS,,MANCOMUNITAT 
5557,CR,TORREBONICA,DE TORREBONICA
5558,MA,CAN CANYA,DE CAN CANYA
5559,DS,,CASETES DE L ESTACIÓ 
5560,DS,,CAN PETIT 
5561,CM,CASA DE LA PINEDA,DE LA CASA DE LA PINEDA
5562,CM,SERRA,DE LA SERRA
5563,PL,CAUS,DELS CAUS
5564,DS,PINETONS,ELS PINETONS
5565,CA,ARBÚCIES,D  ARBÚCIES
5566,PL,CULTURA,DE LA CULTURA
5567,PL,DONA,DE LA DONA
5568,MA,CA N ARNELLA,DE CA N ARNELLA
5569,CR,SANATORI,DEL SANATORI
5570,DS,,CAN CANDI 
5571,DS,,MONREPÒS 
5572,CM,CAN BOGUNYÀ,DE CAN BOGUNYÀ
5573,P ,NORD,DEL NORD
5574,MC,,CENTRAL DEL VALLÈS 
5575,MC,,CAN PARELLADA 
5576,CA,JACINT MORERA,DE JACINT MORERA
5577,PL,ROSA TURU,DE ROSA TURU
5578,AV,NACIONS,DE LES NACIONS
5579,CA,EXTREMADURA,D  EXTREMADURA
5580,CA,NAVARRA,DE NAVARRA
5581,CA,CANTÀBRIA,DE CANTÀBRIA
5582,PL,PLA DE LA CORNETA,DEL PLA DE LA CORNETA
5584,PL,VALENTÍ ALAGORDA,DE VALENTÍ ALAGORDA
5585,PA,MIG,DEL MIG
5586,PL,,MAJOR DE TORRE-SANA 
5587,CA,RAJOLERS,DELS RAJOLERS
5588,PS,CAMP DEL ROURE,DEL CAMP DEL ROURE
5589,CA,PEDRAFORCA,DEL PEDRAFORCA
5590,CA,MOIXERÓ,DEL MOIXERÓ
5591,CA,MONTSIÀ,DEL MONTSIÀ
5592,AV,FONT I SAGUÉ,DE FONT I SAGUÉ
5593,CA,AVENC DEL DAVÍ,DE L  AVENC DEL DAVÍ
5594,CA,PUIGBARRAL,DE PUIGBARRAL
5595,PL,AURORA BERTRANA,D  AURORA BERTRANA
5596,CA,CATERINA ALBERT,DE CATERINA ALBERT
5597,CA,MARGARIDA XIRGU,DE MARGARIDA XIRGU
5598,CA,ROSA SENSAT,DE ROSA SENSAT
5599,CA,MARIA VERGER,DE MARIA VERGER
5600,PS,LOLA ANGLADA,DE LOLA ANGLADA
5605,PS,LLETRES,DE LES LLETRES
5606,PA,MARIE CURIE,DE MARIE CURIE
5609,PL,AIGUA,DE L  AIGUA
5610,CM,,ROMEU DE MONTSERRAT 
5611,DS,,CAN FONT DE GAIÀ 
5612,DS,,CA N AMAT DE LES FARINES 
5613,CM,CAN FONT DE GAIÀ,DE CAN FONT DE GAIÀ
5614,CA,JOAN COROMINES,DE JOAN COROMINES
5615,PL,ANDALUSIA,D  ANDALUSIA
5616,DS,,LA FLORIDA 
5617,CA,MARTÍ ALEGRE,DE MARTÍ ALEGRE
5618,CA,FRANCESC CATALÀ-ROCA,DE FRANCESC CATALÀ-ROCA
5619,CA,JOAQUIM FOLGUERA,DE JOAQUIM FOLGUERA
5620,PL,RICARD CAMÍ,DE RICARD CAMÍ
5621,PL,CIPRIANO GARCÍA,DE CIPRIANO GARCÍA
5622,JR,SALVADOR ALLENDE,DE SALVADOR ALLENDE
5623,PL,ESTACIÓ DE LES FONTS,DE L  ESTACIÓ DE LES FONTS
380,CA,BILBAO,DE BILBAO
460,CA,CALIFÒRNIA,DE CALIFÒRNIA
805,PC,CREU,DE LA CREU
1005,CA,DOCTOR FLEMING,DEL DOCTOR FLEMING
1410,CA,GAVATXONS,DELS GAVATXONS
1525,CA,GRANOLLERS,DE GRANOLLERS
1635,CA,HOSPITALET DE LLOBREGAT,DE L  HOSPITALET DE LLOBREGAT
1841,CA,AVET,DE L  AVET
1921,PL,LLUÍS COMPANYS,DE LLUÍS COMPANYS
2025,CA,MANRESA,DE MANRESA
2120,CA,MASNOU,DEL MASNOU
2291,CM,MONTURIOL,DE MONTURIOL
2380,CA,NERBION,DEL NERBION
2465,PA,OLIVERA,DE L  OLIVERA
2560,CA,PARDO BAZÁN,DE PARDO BAZÁN
2651,CA,PERPINYÀ,DE PERPINYÀ
2855,CA,RACÓ,DEL RACÓ
3050,PA,SAGRAMENT,DEL SAGRAMENT
3135,CA,SANT CRISPÍ,DE SANT CRISPÍ
3325,PR,SANT ROC,DE SANT ROC
3530,CA,SOMETENT CASTELLA,DEL SOMETENT CASTELLA
3630,CA,TOPETE,DE TOPETE
3710,CA,TULIPA,DE LA TULIPA
3925,CA,VINARÒS,DE VINARÒS
4016,CA,XALOC,DEL XALOC
5534,CA,TORD,DEL TORD
166,PL,ANTONI GUIU,D  ANTONI GUIU
3676,CA,TRAMUNTANA,DE LA TRAMUNTANA
3680,CA,,TRANSVERSAL 
3681,CA,TET,DE LA TET
3685,CA,JOSEP RIGOL I FORNAGUERA,DE JOSEP RIGOL I FORNAGUERA
3690,CA,TRÈVOL,DEL TRÈVOL
3695,CA,CATORZE D ABRIL,DEL CATORZE D ABRIL
3700,CA,TREMP,DE TREMP
3705,PL,TRIOMF,DEL TRIOMF
3711,CA,TUNÍSIA,DE TUNÍSIA
3715,CA,TÚRIA,DEL TÚRIA
3720,CA,UBACH I SOLER,D  UBACH I SOLER
3725,CA,ÚBEDA,D  ÚBEDA
3730,CA,ULLASTRELL,D  ULLASTRELL
3740,CA,UNIÓ,DE LA UNIÓ
3745,GR,,URBANO F 
3750,CA,URQUINAONA,D  URQUINAONA
3760,CA,VALÈNCIA,DE VALÈNCIA
3761,CA,VALENTÍ ALMIRALL,DE VALENTÍ ALMIRALL
3765,CA,VALIRA,DE LA VALIRA
3770,CA,VALL,DEL VALL
3780,CA,VALLDOREIX,DE VALLDOREIX
3785,AV,VALLÈS,DEL VALLÈS
3786,CA,VALLESPIR,DEL VALLESPIR
3795,CA,VALLHONRAT,DE VALLHONRAT
3800,CA,VALLPARADÍS,DE VALLPARADÍS
3810,CA,VALLS,DE VALLS
3815,CA,VALLVIDRERA,DE VALLVIDRERA
3825,CA,VÁZQUEZ DE MELLA,DE VÁZQUEZ DE MELLA
3830,CA,VELÁZQUEZ,DE VELÁZQUEZ
3835,CA,VÉLEZ RUBIO,DE VÉLEZ RUBIO
3840,PL,,VELLA 
3845,CA,VENDRELL,DEL VENDRELL
3850,PA,VENÈCIA,DE VENÈCIA
3856,CA,VENUS,DE VENUS
3860,PS,VINT-I-DOS DE JULIOL,DEL VINT-I-DOS DE JULIOL
3865,CA,VINT-I-CINC DE SETEMBRE,DEL VINT-I-CINC DE SETEMBRE
3875,CA,VIC,DE VIC
3880,CA,VIELLA,DE VIELLA
3885,CA,VENT,DEL VENT
3890,CA,VIGO,DE VIGO
3895,CA,VILADECAVALLS,DE VILADECAVALLS
3900,CA,VILANOVA I LA GELTRÚ,DE VILANOVA I LA GELTRÚ
3905,PL,VILARDELL,DE VILARDELL
3910,CA,VILELLA,DE VILELLA
3915,CA,VILA NOVA,DE LA VILA NOVA
3920,CA,VILAFRANCA DEL PENEDÈS,DE VILAFRANCA DEL PENEDÈS
3930,CA,VINYALS,DE VINYALS
3935,CA,VIOLINISTA VELLSOLÀ,DE VIOLINISTA VELLSOLÀ
3940,CA,M.D. DE LAS ANGUSTIAS,DE LA M.D. DE LAS ANGUSTIAS
3945,CA,MARE DE DÉU DEL CARME,DE LA MARE DE DÉU DEL CARME
3950,CA,M.D. DELS DESEMPARATS,DE LA M.D. DELS DESEMPARATS
3955,CA,MARE DÉU DE L ESPERANÇA,DE LA MARE DÉU DE L ESPERANÇA
3960,CA,MARE DE DÉU DE LA LLUM,DE LA MARE DE DÉU DE LA LLUM
3965,CA,MARE DE DÉU DEL MAR,DE LA MARE DE DÉU DEL MAR
3970,CA,MARE DE DÉU DE LES NEUS,DE LA MARE DE DÉU DE LES NEUS
3975,CA,MARE DE DÉU DEL PILAR,DE LA MARE DE DÉU DEL PILAR
3980,CA,MARE DE DÉU DEL SOCORS,DE LA MARE DE DÉU DEL SOCORS
3985,CA,VIVERET,DEL VIVERET
3990,CA,BISCAIA,DE BISCAIA
3995,CA,VOLTA,DE VOLTA
3996,CA,VOLUNTARIS,DELS VOLUNTARIS
5905,CA,,PALAU SUD VIAL 16 
5906,CA,,PALAU SUD VIAL 17 
5907,CA,,PALAU SUD VIAL 18 
5908,DS,,LES FONTS 
5909,CM,,VELL DE ST QUIRZE A MATADEPERA 
5910,PL,FONT DE L ESPARDENYERA,DE LA FONT DE L ESPARDENYERA
5911,PC,UNITAT,DE LA UNITAT
5912,JR,PALESTINA,DE PALESTINA
5913,PL,MAS ISARN,DEL MAS ISARN
5914,PL,MAS DE MOSTEROL,DEL MAS DE MOSTEROL
5915,DS,,CARRER DE RICARD MARLET (MAT) 
5916,DS,,CAN FONT DE RIBATALLADA 
5917,CR,,CARRETERA DE LA BAUMA C-58 
5918,CM,CA L ESCAIOL,DE CA L ESCAIOL
5919,CM,,CTRA RELLINARS A CAN GONTERES 
5920,PL,BICICLETA,DE LA BICICLETA
5921,CA,ALCALDE PICAÑOL,DE L  ALCALDE PICAÑOL
5922,PL,VICENÇ FERRER,DE VICENÇ FERRER
5923,DS,,CAN GUITARD DE LA MUNTANYA 
5924,PL,MUSEUS,DELS MUSEUS
5925,PL,ESCOLES,DE LES ESCOLES
5926,PL,PROLETARIAT,DEL PROLETARIAT
5927,PL,TEIXIDORES,DE LES TEIXIDORES
5935,P ,FONT DE LA GRÍPIA,DE LA FONT DE LA GRÍPIA
5928,JR,BACARES,DE BACARES
5929,PC,SOMNIS,DELS SOMNIS
5930,PC,HIPÀTIA D ALEXANDRIA,D  HIPÀTIA D ALEXANDRIA
5931,PL,FREDERICA MONTSENY,DE FREDERICA MONTSENY
5932,PL,SANT ELOI,DE SANT ELOI
5933,CM,MAS RUBIAL,DE MAS RUBIAL
5934,PA,ANAÏS NAPOLEON,D  ANAÏS NAPOLEON
5713,PL,GRUPS DE SANTA MARGARIDA,DELS GRUPS DE SANTA MARGARIDA
5714,PA,MARIA MONTESSORI,DE MARIA MONTESSORI
5715,CA,AURONS,DELS AURONS
5716,PS,RIERA,DE LA RIERA
5717,PC,MOSSÈN JOAN FORTUNY,DE MOSSÈN JOAN FORTUNY
5718,CA,MOSSÈN JOSEP PONS,DE MOSSÈN JOSEP PONS
5719,JR,FRANCISCO CANO,DE FRANCISCO CANO
5720,CA,RICARD LAMOTE DE GRIGNON,DE RICARD LAMOTE DE GRIGNON
5721,CA,TORRES GARCÍA,DE TORRES GARCÍA
5722,DS,,CAN PEPITO 
5723,PL,BÒSNIA I HERCEGOVINA,DE BÒSNIA I HERCEGOVINA
5724,CA,ESTATUT,DE L  ESTATUT
5725,CA,ISIDRE NONELL,D  ISIDRE NONELL
5726,CA,PERE PRAT,DE PERE PRAT
5727,CA,ANNA FRANK,D  ANNA FRANK
5728,CA,CLARA CAMPOAMOR,DE CLARA CAMPOAMOR
5729,PA,MERCÈ RODOREDA,DE MERCÈ RODOREDA
5730,PA,JOAN LLONGUERAS,DE JOAN LLONGUERAS
5731,PL,OLOF PALME,D  OLOF PALME
5732,AV,PARLAMENT,DEL PARLAMENT
5733,P ,NACIONS UNIDES,DE LES NACIONS UNIDES
5734,PL,IU PONS,D  IU PONS
5735,PL,CREIXELL,DE CREIXELL
5736,PC,BLAS BUENDÍA,DE BLAS BUENDÍA
5737,PC,BANYOLES,DE BANYOLES
5738,PL,SAHARA,DEL SAHARA
5739,PN,BÉJAR,DE BÉJAR
5740,PN,ALMERIA,D  ALMERIA
5741,PN,EXTREMADURA,D  EXTREMADURA
5742,PN,NAVARRA,DE NAVARRA
5743,PN,SALAMANCA,DE SALAMANCA
5744,PN,MONTSERRAT,DE MONTSERRAT
5745,DS,,TORRENT DE LA FONT MONTSERRAT 
