CARRERS_CODI,CARRERS_TIPUS_VIA,CARRERS_NOM_OFICIAL,CARRERS_NOM18
2515,CA,LAS PALMAS,DE LAS PALMAS
2520,CA,PALLA,DE LA PALLA
2525,CA,CIUTAT DE PÀMIERS,DE LA CIUTAT DE PÀMIERS
2530,CA,PAMPLONA,DE PAMPLONA
2531,CA,PALET I BARBA,DE PALET I BARBA
2535,PA,PANADELLA,DE LA PANADELLA
2550,CA,PANTÀ,DEL PANTÀ
2561,CA,PARAIRES,DELS PARAIRES
2565,RB,PARE ALEGRE,DEL PARE ALEGRE
2570,CA,PARE FONT,DEL PARE FONT
2575,CA,PARE LLAURADOR,DEL PARE LLAURADOR
2580,CA,ALCALDE PARELLADA,DE L  ALCALDE PARELLADA
2590,CA,PARRES,DE LES PARRES
2595,CA,PASTEUR,DE PASTEUR
2600,CA,PASSEIG,DEL PASSEIG
2605,CA,PAU CASALS,DE PAU CASALS
2606,PL,PAU CASALS,DE PAU CASALS
2610,CA,PAU CLARIS,DE PAU CLARIS
2615,CA,PEDRELL,DE PEDRELL
2620,CA,PERE FIZES,DE PERE FIZES
2625,PL,,GRAN 
2630,PA,PENYAL,DEL PENYAL
2635,CA,PEP VENTURA,DE PEP VENTURA
2645,CA,PÉREZ GALDÓS,DE PÉREZ GALDÓS
2650,CA,PERIODISTA GRANÉ,DEL PERIODISTA GRANÉ
2652,CA,PI,DEL PI
2653,PL,PI,DEL PI
2654,PL,TURÓ DE L ARGILA,DEL TURÓ DE L ARGILA
2660,CA,PI I MARGALL,DE PI I MARGALL
2665,CA,PINEDA,DE LA PINEDA
2670,CA,PINTOR BORRASSÀ,DEL PINTOR BORRASSÀ
2675,CA,PINTOR CASAS,DEL PINTOR CASAS
2680,CA,PINTOR FORTUNY,DEL PINTOR FORTUNY
2685,CA,PINTOR HUGUET,DEL PINTOR HUGUET
2690,AV,PINTOR MIR,DEL PINTOR MIR
2695,CA,PINTOR SOROLLA,DEL PINTOR SOROLLA
2700,CA,PINTOR TORRAS,DEL PINTOR TORRAS
2705,CA,PINTOR VANCELLS,DEL PINTOR VANCELLS
2710,CA,PINTOR VIVER,DEL PINTOR VIVER
2715,PL,CA N ANGLADA,DE CA N ANGLADA
2720,PA,PIRINEUS,DELS PIRINEUS
2721,CA,PISUERGA,DEL PISUERGA
2722,PL,PAULINA PI DE LA SERRA,DE PAULINA PI DE LA SERRA
2725,CA,PITÀGORES,DE PITÀGORES
2730,CA,PIUS XI,DE PIUS XI
2735,CA,PLA DE L AMETLLERA,DEL PLA DE L AMETLLERA
2745,CA,POETESSA CAPARÀ,DE LA POETESSA CAPARÀ
2750,CA,POMPEU FABRA,DE POMPEU FABRA
2755,CA,PONENT,DE PONENT
2760,CA,PONTS,DE PONTS
2765,CA,PONTEVEDRA,DE PONTEVEDRA
2770,CA,PORTAL NOU,DEL PORTAL NOU
2775,PA,PORTUGAL,DE PORTUGAL
2776,AV,PORTUGAL,DE PORTUGAL
2780,CA,PRAT DE LA RIBA,DE PRAT DE LA RIBA
2785,PA,PREVISIÓ,DE LA PREVISIÓ
2790,CA,PRIEGO,DE PRIEGO
2791,PL,PRIMER DE MAIG,DEL PRIMER DE MAIG
2795,CA,NÚRIA RIBAS,DE NÚRIA RIBAS
2805,CA,PRÍNCEP DE VIANA,DEL PRÍNCEP DE VIANA
2810,CA,PRIOR TÀPIA,DEL PRIOR TÀPIA
2820,PL,PROGRÉS,DEL PROGRÉS
2825,CA,PROVENÇA,DE PROVENÇA
2830,PA,PRUDÈNCIA,DE LA PRUDÈNCIA
2840,CA,PUIG NOVELL,DEL PUIG NOVELL
2845,CA,PUIGMAL,DEL PUIGMAL
2865,CA,FERRAN CANYAMERES,DE FERRAN CANYAMERES
2870,CA,COMTE BORRELL,DEL COMTE BORRELL
2871,CA,RAFAEL CAMPALANS,DE RAFAEL CAMPALANS
2872,CA,RAFAEL BENET,DE RAFAEL BENET
2875,CA,RAMÓN Y CAJAL,DE RAMÓN Y CAJAL
2880,CA,RAMON LLULL,DE RAMON LLULL
2885,CA,RASA,DE LA RASA
2890,PA,RASA,DE LA RASA
2895,PL,RECTOR HOMS,DEL RECTOR HOMS
2900,CA,RECTORIA,DE LA RECTORIA
2915,CR,RELLINARS,DE RELLINARS
2920,CA,RENAIXEMENT,DEL RENAIXEMENT
2925,CA,REUS,DE REUS
2940,CA,RIBA,DE LA RIBA
2945,CA,RICARDO CARO,DE RICARDO CARO
2950,CA,WAGNER,DE WAGNER
2965,CA,RIOJA,DE LA RIOJA
2970,CA,RIPOLL,DE RIPOLL
2985,CA,ROCA I ROCA,DE ROCA I ROCA
2986,PA,ROCAFORT,DE ROCAFORT
2987,PL,ROC BLANC,DEL ROC BLANC
2990,CA,ROGER DE LLÚRIA,DE ROGER DE LLÚRIA
2995,CA,ROIG VENTURA,DE ROIG VENTURA
3000,CA,ROMA,DE ROMA
3005,CA,JOSEP TRUETA,DE JOSEP TRUETA
3006,CA,ROSELLA,DE LA ROSELLA
3010,CA,ROSSELLÓ,DEL ROSSELLÓ
3011,CA,ROSER,DEL ROSER
3012,CA,ROURE,DEL ROURE
3013,CA,ROSSINYOL,DEL ROSSINYOL
3014,PL,ROSA MORA,DE ROSA MORA
3020,CR,RUBÍ,DE RUBÍ
3021,PL,RUDA,DE LA RUDA
3025,CA,EMILI BADIELLA,D  EMILI BADIELLA
3030,CA,ROMANIA,DE ROMANIA
