VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,SECCIO,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
G,Eleccions Generals                      ,2015,1,4,1523,1158,11,7,1140
G,Eleccions Generals                      ,2015,2,4,697,448,2,3,443
G,Eleccions Generals                      ,2015,3,4,934,618,9,6,603
G,Eleccions Generals                      ,2015,4,4,1109,828,2,3,823
G,Eleccions Generals                      ,2015,5,4,1178,895,3,6,886
G,Eleccions Generals                      ,2015,6,4,856,555,2,2,551
G,Eleccions Generals                      ,2015,1,5,992,784,12,5,767
G,Eleccions Generals                      ,2015,2,5,816,555,4,3,548
G,Eleccions Generals                      ,2015,3,5,1523,1080,10,7,1063
G,Eleccions Generals                      ,2015,4,5,1257,874,4,5,865
G,Eleccions Generals                      ,2015,5,5,771,544,3,2,539
G,Eleccions Generals                      ,2015,6,5,1103,763,7,5,751
G,Eleccions Generals                      ,2015,1,6,1174,909,5,8,896
G,Eleccions Generals                      ,2015,2,6,715,494,8,2,484
G,Eleccions Generals                      ,2015,3,6,1453,1089,1,2,1086
G,Eleccions Generals                      ,2015,4,6,1408,1048,15,2,1031
G,Eleccions Generals                      ,2015,5,6,1551,1132,7,4,1121
G,Eleccions Generals                      ,2015,6,6,1119,791,5,2,784
G,Eleccions Generals                      ,2015,1,7,1329,989,4,6,979
G,Eleccions Generals                      ,2015,3,7,1630,1214,11,7,1196
G,Eleccions Generals                      ,2015,4,7,1887,1260,7,5,1248
G,Eleccions Generals                      ,2015,5,7,893,709,3,3,703
G,Eleccions Generals                      ,2015,1,8,1863,1420,4,6,1410
G,Eleccions Generals                      ,2015,2,8,697,472,4,2,466
G,Eleccions Generals                      ,2015,3,8,1553,1067,6,10,1051
G,Eleccions Generals                      ,2015,4,8,936,680,5,7,668
G,Eleccions Generals                      ,2015,5,8,1438,1059,7,4,1048
G,Eleccions Generals                      ,2015,6,8,1625,1174,6,3,1165
G,Eleccions Generals                      ,2015,1,9,1032,798,6,1,791
G,Eleccions Generals                      ,2015,2,9,1078,730,8,2,720
G,Eleccions Generals                      ,2015,3,9,1929,1430,3,2,1425
G,Eleccions Generals                      ,2015,4,9,748,508,3,2,503
G,Eleccions Generals                      ,2015,5,9,1348,1044,9,4,1031
G,Eleccions Generals                      ,2015,6,9,869,658,4,2,652
G,Eleccions Generals                      ,2015,1,10,942,744,2,0,742
G,Eleccions Generals                      ,2015,3,10,1523,1067,4,5,1058
G,Eleccions Generals                      ,2015,4,10,726,474,4,3,467
G,Eleccions Generals                      ,2015,5,10,1436,1020,1,5,1014
G,Eleccions Generals                      ,2015,6,10,1572,1205,6,1,1198
G,Eleccions Generals                      ,2015,1,11,914,672,4,6,662
G,Eleccions Generals                      ,2015,2,11,792,548,6,4,538
G,Eleccions Generals                      ,2015,3,11,1148,687,3,5,679
G,Eleccions Generals                      ,2015,5,11,1461,1100,4,4,1092
G,Eleccions Generals                      ,2015,6,11,1263,820,5,4,811
G,Eleccions Generals                      ,2015,1,12,1105,820,4,3,813
G,Eleccions Generals                      ,2015,2,12,680,420,5,0,415
