VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,SECCIO,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
G,Eleccions Generals                      ,2004,5,22,554,413,3,2,408
G,Eleccions Generals                      ,2004,4,23,1441,1122,4,5,1113
G,Eleccions Generals                      ,2004,5,23,1087,851,4,1,846
G,Eleccions Generals                      ,2004,6,23,1058,768,7,7,754
G,Eleccions Generals                      ,2004,4,24,966,601,1,1,599
G,Eleccions Generals                      ,2004,5,24,1058,755,10,0,745
G,Eleccions Generals                      ,2004,6,24,1862,1271,13,0,1258
G,Eleccions Generals                      ,2004,5,25,871,669,6,1,662
G,Eleccions Generals                      ,2004,6,25,1493,1091,8,1,1082
G,Eleccions Generals                      ,2004,6,26,1155,809,12,1,796
G,Eleccions Generals                      ,2004,6,27,1057,772,7,1,764
G,Eleccions Generals                      ,2004,6,28,1236,884,14,3,867
G,Eleccions Generals                      ,2008,1,1,1045,823,12,3,808
G,Eleccions Generals                      ,2008,2,1,1070,762,4,4,754
G,Eleccions Generals                      ,2008,3,1,1288,962,10,3,949
G,Eleccions Generals                      ,2008,4,1,1008,765,20,3,742
G,Eleccions Generals                      ,2008,5,1,1382,995,29,1,965
G,Eleccions Generals                      ,2008,6,1,882,643,16,1,626
G,Eleccions Generals                      ,2008,1,2,1075,783,20,3,760
G,Eleccions Generals                      ,2008,2,2,533,345,2,1,342
G,Eleccions Generals                      ,2008,3,2,989,725,13,1,711
G,Eleccions Generals                      ,2008,4,2,1155,863,13,2,848
G,Eleccions Generals                      ,2008,5,2,1167,766,5,1,760
G,Eleccions Generals                      ,2008,6,2,1119,762,9,7,746
G,Eleccions Generals                      ,2008,2,3,564,344,6,1,337
G,Eleccions Generals                      ,2008,3,3,1159,752,7,3,742
G,Eleccions Generals                      ,2008,4,3,1184,889,19,4,866
G,Eleccions Generals                      ,2008,5,3,1424,1032,19,2,1011
G,Eleccions Generals                      ,2008,6,3,1426,973,19,3,951
G,Eleccions Generals                      ,2008,1,4,1219,911,18,3,890
G,Eleccions Generals                      ,2008,2,4,786,544,18,2,524
G,Eleccions Generals                      ,2008,3,4,881,580,16,2,562
G,Eleccions Generals                      ,2008,4,4,1068,772,17,5,750
G,Eleccions Generals                      ,2008,5,4,1980,1506,36,4,1466
G,Eleccions Generals                      ,2008,6,4,891,612,6,4,602
G,Eleccions Generals                      ,2008,1,5,883,685,13,2,670
G,Eleccions Generals                      ,2008,2,5,805,559,7,4,548
G,Eleccions Generals                      ,2008,3,5,1240,894,10,2,882
G,Eleccions Generals                      ,2008,4,5,1056,730,7,8,715
G,Eleccions Generals                      ,2008,5,5,755,541,6,4,531
G,Eleccions Generals                      ,2008,6,5,1050,728,8,4,716
G,Eleccions Generals                      ,2008,1,6,1808,1390,34,9,1347
G,Eleccions Generals                      ,2008,2,6,672,494,11,4,479
G,Eleccions Generals                      ,2008,3,6,1273,980,24,0,956
G,Eleccions Generals                      ,2008,4,6,1380,965,8,2,955
G,Eleccions Generals                      ,2008,5,6,1564,1167,18,4,1145
G,Eleccions Generals                      ,2008,6,6,1095,720,16,5,699
G,Eleccions Generals                      ,2008,1,7,1192,918,20,2,896
G,Eleccions Generals                      ,2008,2,7,320,198,2,0,196
G,Eleccions Generals                      ,2008,3,7,1360,1008,16,3,989
G,Eleccions Generals                      ,2008,4,7,1680,1149,18,15,1116
G,Eleccions Generals                      ,2008,5,7,859,636,7,4,625
G,Eleccions Generals                      ,2008,1,8,1417,1101,18,8,1075
G,Eleccions Generals                      ,2008,2,8,733,466,14,4,448
G,Eleccions Generals                      ,2008,3,8,1226,831,6,5,820
G,Eleccions Generals                      ,2008,4,8,709,510,7,1,502
G,Eleccions Generals                      ,2008,5,8,1376,995,29,1,965
G,Eleccions Generals                      ,2008,6,8,1529,1082,14,5,1063
G,Eleccions Generals                      ,2008,1,9,825,616,11,2,603
G,Eleccions Generals                      ,2008,2,9,590,399,7,0,392
G,Eleccions Generals                      ,2008,3,9,1503,1099,18,3,1078
G,Eleccions Generals                      ,2008,4,9,749,486,7,0,479
G,Eleccions Generals                      ,2008,5,9,1335,1020,12,4,1004
G,Eleccions Generals                      ,2008,6,9,853,579,1,2,576
G,Eleccions Generals                      ,2008,1,10,914,721,20,1,700
G,Eleccions Generals                      ,2008,2,10,455,322,8,1,313
G,Eleccions Generals                      ,2008,3,10,1631,1020,12,2,1006
G,Eleccions Generals                      ,2008,4,10,520,311,4,0,307
G,Eleccions Generals                      ,2008,5,10,1528,1099,11,5,1083
G,Eleccions Generals                      ,2008,6,10,1530,1113,13,7,1093
G,Eleccions Generals                      ,2008,1,11,912,676,11,2,663
G,Eleccions Generals                      ,2008,2,11,805,546,4,4,538
G,Eleccions Generals                      ,2008,3,11,1151,654,7,1,646
G,Eleccions Generals                      ,2008,4,11,558,383,2,3,378
G,Eleccions Generals                      ,2008,5,11,1411,1037,18,2,1017
G,Eleccions Generals                      ,2008,6,11,1375,786,15,4,767
G,Eleccions Generals                      ,2008,1,12,1097,759,14,2,743
G,Eleccions Generals                      ,2008,2,12,681,438,5,5,428
G,Eleccions Generals                      ,2008,3,12,1656,1157,9,9,1139
G,Eleccions Generals                      ,2008,4,12,1001,705,12,4,689
G,Eleccions Generals                      ,2008,5,12,592,408,3,1,404
G,Eleccions Generals                      ,2008,6,12,1006,714,17,4,693
G,Eleccions Generals                      ,2008,1,13,643,447,4,0,443
G,Eleccions Generals                      ,2008,3,13,438,318,3,0,315
G,Eleccions Generals                      ,2008,4,13,1210,940,22,4,914
G,Eleccions Generals                      ,2008,5,13,1007,673,4,2,667
G,Eleccions Generals                      ,2008,6,13,684,515,7,2,506
G,Eleccions Generals                      ,2008,1,14,1586,1163,13,2,1148
G,Eleccions Generals                      ,2008,2,14,1847,1219,17,3,1199
G,Eleccions Generals                      ,2008,3,14,1119,751,14,5,732
G,Eleccions Generals                      ,2008,4,14,956,740,10,2,728
