ANNY,MES,SEXE,POBLACIO
2016,7,Home,106
2004,11,Home,109
2002,10,Dona,75
2014,2,Home,96
2009,8,Home,128
2006,12,Dona,122
2012,11,Dona,104
2010,10,Home,117
2009,1,Home,155
2000,6,Dona,99
1998,1,Dona,76
2011,2,Dona,123
1998,8,Home,58
2003,2,Home,83
2005,8,Home,108
1998,8,Dona,73
2007,7,Dona,148
1999,5,Dona,75
1997,11,Dona,63
2006,7,Home,122
2007,4,Home,106
1998,1,Altres,1
2007,12,Dona,119
2008,9,Dona,130
2009,6,Dona,136
1997,4,Home,150
1996,7,Home,45
1997,9,Altres,2
2004,11,Dona,115
2001,6,Home,77
2010,5,Dona,122
2016,12,Dona,91
1997,4,Dona,146
1999,5,Home,66
2015,7,Dona,100
2008,11,Home,151
2014,7,Dona,89
2004,4,Dona,103
2011,2,Home,114
2002,10,Home,96
2005,3,Dona,104
1999,12,Home,80
1994,11,Home,1
2008,4,Home,128
2011,9,Dona,101
2010,12,Dona,113
1996,12,Dona,64
2000,8,Home,79
2000,1,Dona,76
2011,9,Home,134
2002,3,Home,88
2013,10,Home,103
2003,7,Dona,101
2013,10,Dona,87
2015,11,Home,110
2001,6,Dona,81
2012,6,Home,126
2013,3,Home,106
2000,1,Home,83
2013,1,Home,111
2008,11,Dona,124
2013,12,Dona,98
2010,12,Home,131
1996,5,Home,41
2016,2,Home,89
2013,8,Home,125
2010,5,Home,143
1998,3,Home,132
2003,7,Home,104
2016,9,Home,101
2004,4,Home,110
2015,6,Home,88
2014,9,Home,126
1998,10,Home,79
2006,2,Dona,113
1997,11,Altres,2
2006,9,Home,110
2007,2,Dona,100
2009,8,Dona,127
1997,2,Home,26
2006,2,Home,104
2006,7,Dona,100
2001,8,Home,102
2012,4,Dona,115
2010,10,Dona,116
2008,4,Dona,132
2009,1,Dona,101
2011,7,Dona,122
2016,2,Dona,90
1999,10,Altres,1
1996,12,Home,64
1997,9,Home,128
1998,3,Dona,114
2010,3,Dona,105
1997,6,Dona,69
1999,12,Dona,104
1999,3,Altres,4
2005,5,Dona,123
2005,6,Home,114
1998,8,Altres,2
2007,6,Home,123
2008,6,Home,140
2003,5,Dona,80
1996,10,Dona,65
2007,11,Home,111
1998,10,Dona,67
2016,7,Dona,112
2005,10,Dona,111
2002,5,Home,92
1996,5,Dona,46
2001,1,Home,110
2005,1,Home,127
2015,2,Dona,87
2011,7,Home,107
2015,9,Dona,103
1999,7,Home,89
2004,2,Dona,86
2012,4,Home,128
2002,8,Dona,95
2014,9,Dona,102
2009,3,Home,140
2001,1,Dona,101
2000,3,Home,103
2000,8,Dona,88
2012,11,Home,107
2003,12,Dona,97
2002,3,Dona,85
2004,9,Dona,111
2013,5,Dona,115
2014,2,Dona,78
2017,2,Home,97
2000,5,Home,100
2005,12,Home,133
2003,11,Dona,106
2011,6,Home,113
1998,4,Dona,66
2003,4,Dona,91
2006,10,Dona,115
2005,5,Home,116
2009,10,Dona,136
1998,11,Dona,58
1997,6,Home,74
1999,8,Dona,82
2007,7,Home,112
1997,1,Altres,3
2016,4,Home,89
2008,6,Dona,113
2000,10,Home,103
1997,1,Home,69
2009,3,Dona,132
1990,4,Home,1
2004,8,Dona,111
2001,3,Home,103
2012,10,Home,125
2004,8,Home,109
2015,4,Dona,95
1999,8,Home,81
2002,7,Dona,82
2004,1,Dona,90
2014,10,Dona,95
2001,10,Home,93
2002,7,Home,85
1998,6,Home,70
2015,11,Dona,96
2016,9,Dona,70
1996,9,Dona,56
2000,10,Dona,78
2002,12,Home,88
1999,2,Altres,2
2011,11,Dona,98
1998,11,Home,82
2013,1,Dona,90
2003,11,Home,117
2015,2,Home,81
2001,3,Dona,93
1996,9,Home,61
2006,10,Home,134
1998,10,Altres,2
1998,3,Altres,1
2017,2,Dona,80
2007,9,Dona,120
2012,3,Home,115
2013,12,Home,97
1996,4,Home,2
2006,3,Home,113
2001,8,Dona,86
1999,1,Dona,69
2010,2,Dona,99
1997,7,Dona,95
2014,5,Home,108
2005,6,Dona,93
2006,3,Dona,139
2012,8,Dona,94
2008,1,Home,124
2010,7,Home,132
2009,10,Home,122
2000,3,Dona,88
2006,5,Dona,123
2004,6,Home,86
1997,8,Altres,1
2002,5,Dona,105
2014,7,Home,109
2009,5,Dona,108
1997,11,Home,69
1999,10,Dona,56
2012,1,Dona,111
2001,5,Home,96
2011,11,Home,119
2008,1,Dona,95
2002,12,Dona,106
2003,9,Dona,89
2016,11,Dona,93
1998,6,Dona,53
1999,3,Dona,74
2005,3,Home,102
2007,9,Home,131
2003,9,Home,109
1996,7,Dona,44
2002,2,Home,81
1996,2,Home,1
2007,2,Home,132
2016,4,Dona,83
2003,4,Home,98
1999,3,Home,79
2004,1,Home,108
2005,10,Home,132
2000,12,Home,96
1998,1,Home,67
2015,6,Dona,88
1999,10,Home,85
2006,12,Home,116
2012,1,Home,116
2014,12,Dona,116
2009,12,Home,131
2007,11,Dona,105
2000,5,Dona,80
2006,5,Home,138
2001,10,Dona,89
2012,8,Home,122
2010,7,Dona,115
2011,4,Dona,87
1997,2,Dona,25
2007,4,Dona,102
2004,6,Dona,125
2014,5,Dona,86
2013,8,Dona,101
1997,9,Dona,139
2000,12,Dona,83
2017,4,Dona,40
2005,8,Dona,118
2013,3,Dona,88
2010,9,Home,126
2015,4,Home,93
2003,2,Dona,76
2008,3,Home,130
2008,8,Dona,135
2016,11,Home,97
2005,1,Dona,115
2013,5,Home,110
2010,2,Home,109
2009,5,Home,124
2008,8,Home,127
2016,6,Home,118
2017,4,Home,34
2009,12,Dona,126
2011,4,Home,125
2015,9,Home,111
2014,12,Home,107
1998,12,Altres,4
