DISTRICTE,BARRI,TIPUS_VEHICLE,TOTAL
Districte 5,Els Caus - Els Pinetons                 ,Motocicletes,2
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Autobusos,3
Districte 4,La Maurina                              ,Motocicletes,435
Districte 5,Sant Pere                               ,Turismes,5202
Districte 5,Poble Nou - Zona Esportiva              ,Motocicletes,927
Districte 5,Poble Nou - Zona Esportiva              ,Camions,706
Districte 4,La Cogullada                            ,Motocicletes,365
Districte ,,Turismes,2844
Districte 3,Can Palet                               ,Turismes,5003
Districte 5,Can Boada Del Pi                        ,Ciclomotors,25
Districte 1,Cementiri Vell                          ,Turismes,2612
Districte 1,Pl. Catalunya - Esc. Industrial         ,Turismes,1995
Districte 6,Sant Pere Nord                          ,Remolcs,106
Districte 1,Centre                                  ,Ciclomotors,412
Districte 4,Can Palet De Vista Alegre               ,Camions,177
Districte 6,Sant Llorenç                            ,Motocicletes,154
Districte 5,Can Gonteres                            ,Turismes,218
Districte 2,Ca N Anglada                            ,Remolcs,64
Districte 2,Torre-Sana                              ,Ciclomotors,174
Districte 5,Can Gonteres                            ,Motocicletes,48
Districte 5,Disseminats                             ,Turismes,69
Districte 1,Pl. Catalunya - Esc. Industrial         ,Ciclomotors,107
Districte 3,P.I. Santa Margarida                    ,Camions,403
Districte 1,Vallparadís                             ,Camions,177
Districte 6,Sant Llorenç                            ,Tractors,6
Districte 4,La Maurina                              ,Remolcs,57
Districte 1,Cementiri Vell                          ,Tractors,15
Districte 2,Disseminats                             ,Motocicletes,13
Districte 3,Les Fonts                               ,Motocicletes,226
Districte 6,P.I. Nord                               ,Camions,80
Districte 3,P.I. Santa Margarida                    ,Motocicletes,36
Districte 1,Antic Poble De Sant Pere                ,Tractors,4
Districte 4,Vista Alegre                            ,Camions,13
Districte 3,P.I. Santa Eulàlia                      ,Ciclomotors,8
Districte 6,Sant Pere Nord                          ,Autobusos,2
Districte 2,Montserrat                              ,Remolcs,8
Districte 6,P.I. Nord                               ,Tractors,5
Districte 3,P.I. Can Guitard                        ,Tractors,5
Districte 3,Disseminats                             ,Tractors,8
Districte 3,Segle Xx                                ,Autobusos,2
Districte ,,Camions,618
Districte 4,Roc Blanc                               ,Turismes,2516
Districte 6,Ègara                                   ,Camions,311
Districte 5,Sant Pere                               ,Motocicletes,882
Districte 3,Les Fonts                               ,Turismes,1296
Districte 2,Torre-Sana                              ,Motocicletes,430
Districte 1,Cementiri Vell                          ,Motocicletes,455
Districte 6,Sant Pere Nord                          ,Ciclomotors,336
Districte 5,Can Gonteres                            ,Tractors,5
Districte 1,Vallparadís                             ,Motocicletes,338
Districte 4,La Cogullada                            ,Ciclomotors,130
Districte 5,Disseminats                             ,Camions,31
Districte 3,Can Palet Ii                            ,Ciclomotors,21
Districte 3,P.I. Can Parellada                      ,Turismes,306
Districte 1,Vallparadís                             ,Tractors,13
Districte 4,Ca N Aurell                             ,Remolcs,136
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Tractors,91
Districte 6,Font De L Espardenyera                  ,Turismes,53
Districte 3,Les Fonts                               ,Tractors,15
Districte 6,P.I. Nord                               ,Turismes,48
Districte 6,P.I. Can Petit                          ,Turismes,127
Districte 4,La Cogullada                            ,Remolcs,61
Districte 4,Roc Blanc                               ,Tractors,38
