sort,text_ca,text_en,text_es,link,Image
2,Catàleg de dades,Data catalog,Catálogo de datos,/browse,https://opendata.terrassa.cat/views/k5tc-rir7/files/7074f6ab-7910-4711-a0f5-0c68a338e6a4
1,Utilitza Open Data,Use Open Data,Utiliza Open Data,/d/jc97-pqcx,https://opendata.terrassa.cat/views/k5tc-rir7/files/f346b8e6-10e9-45c2-a65a-995910353cc3
3,Aplicacions,Applications,Aplicaciones,http://www.terrassa.cat/aplicacions-mobils,https://opendata.terrassa.cat/views/k5tc-rir7/files/0b629c00-e9be-4841-b41f-004543994aca
