Districte,Calçades m2,Voreres m2,m lineals de carrers,Nombre de carrers
Districte 1,256106,182670,45812,170
Districte 2,269308,142067,32511,82
Districte 3,956898,406968,109994,235
Districte 4,592369,245807,93495,198
Districte 5,486081,309979,75891,224
Districte 6,593848,296506,73837,195
