CODI_CARRER,NOM_CARRER,CODI_POSTAL,NRO_MAX,NRO_MIN
5,"ABAT MARCET, DE L             ",08225,0,368
5,"ABAT MARCET, DE L             ",08229,104,132
5,"ABAT MARCET, DE L             ",08233,100,100
15,"ABLA, D                       ",08225,1,17
15,"ABLA, D                       ",08229,1,1
20,"ABRUCENA, D                   ",08225,2,48
25,"ADRA, D                       ",08225,1,107
26,"ÀFRICA,D                      ",08228,33,105
26,"ÀFRICA,D                      ",08229,13,13
30,"AGRICULTURA, DE L             ",08223,0,134
30,"AGRICULTURA, DE L             ",08229,307,307
45,"AGUT, DE L                    ",08225,1,7
50,"ÀLABA, D                      ",08225,358,358
50,"ÀLABA, D                      ",08227,10,75
55,"ALBACETE, D                   ",08225,1,37
60,"ALBÉNIZ, D                    ",08225,1,25
60,"ALBÉNIZ, D                    ",08229,26,31
65,"ALCOI, D                      ",08225,1,119
65,"ALCOI, D                      ",08226,114,156
70,"ALEXANDER BELL, D             ",08224,0,161
73,"ALEXANDRE DE RIQUER, D        ",08225,1,51
75,"ALGESIRES, D                  ",08225,2,6
77,"ALGUER, DE L                  ",08226,14,56
84,"ALBÍ, D                       ",08226,1,31
85,"ALACANT, D                    ",08224,1,40
86,"ALBERT EINSTEIN, D            ",08223,18,61
86,"ALBERT EINSTEIN, D            ",08229,1,1
90,"ALMERIA, D                    ",08226,2,157
95,"AMADEU DE SAVOIA, D           ",08225,2,168
96,"AMETLLERS, DELS               ",08225,11,73
97,"CAMÍ DE CAN PI, DEL           ",08226,0,24
98,"JACINT BADIELLA, DE           ",08225,4,18
100,"JOCS OLÍMPICS, DELS           ",08225,5,122
105,"PAPAROLA, DE LA               ",08228,1,32
115,"AMPOSTA, D                    ",08227,2,109
125,"ANCIANITAT, DE L              ",08225,2,120
130,AMPLE                         ,08225,0,114
130,AMPLE                         ,08226,111,323
130,AMPLE                         ,08229,153,153
135,AMPLE                         ,08225,3,13
145,"ANETO, DE L                   ",08227,1,162
150,"ÀNGEL GUIMERÀ, D              ",08223,1,235
150,"ÀNGEL GUIMERÀ, D              ",08229,48,48
155,"ÀNGEL SALLENT, D              ",08224,0,200
155,"ÀNGEL SALLENT, D              ",08229,122,176
156,"ANGOLA, D                     ",08228,1,10
157,"ANTON FRANCH, D               ",08224,1,22
160,"ANTONI BARATA, D              ",08225,1,26
160,"ANTONI BARATA, D              ",08229,47,47
165,"ANTONI MAURA, D               ",08225,1,18
175,"FRANCESC LAYRET, DE           ",08224,1,22
176,"APOL.LO, D                    ",08228,7,114
176,"APOL.LO, D                    ",08229,74,74
180,"ARAGÓ, D                      ",08224,1,19
184,"ARIEJA, DE L                  ",08226,1,40
185,"ARENYS DE MAR, D              ",08225,0,36
185,"ARENYS DE MAR, D              ",08229,18,18
186,"ÀRIES, D                      ",08228,1,469
187,"ARGENTINA, DE L               ",08224,0,20
195,"ARQUIMEDES, D                 ",08224,1,267
195,"ARQUIMEDES, D                 ",08229,0,0
200,"ARQ. PUIG I CADAFALCH, DE L   ",08222,2,60
200,"ARQ. PUIG I CADAFALCH, DE L   ",08229,136,136
201,"ASSUTZENA, DE L               ",08228,1,15
205,"ASTÚRIES, D                   ",08227,28,70
210,"ATENES, D                     ",08224,1,84
215,"ATLÀNTIDA, DE L               ",08224,1,10
220,"AURORA, DE L                  ",08221,1,44
225,"AUSIÀS MARC, D                ",08224,1,60
230,"ÀVILA, D                      ",08224,1,29
240,"AZORÍN, D                     ",08223,1,19
250,"BADALONA, DE                  ",08223,1,8
255,"BAEZA, DE                     ",08225,1,30
260,"BAGES, DEL                    ",08223,1,109
260,"BAGES, DEL                    ",08229,111,187
265,"BEGUR, DE                     ",08221,69,69
265,"BEGUR, DE                     ",08227,1,24
270,"BAILÉN, DE                    ",08224,1,87
270,"BAILÉN, DE                    ",08229,0,0
275,"BAIX, DE                      ",08221,0,47
275,"BAIX, DE                      ",08229,65,67
285,"BALDRICH, DE                  ",08221,0,129
285,"BALDRICH, DE                  ",08223,132,285
290,"BALEARS, DE LES               ",08226,1,20
295,"BALMES, DE                    ",08225,0,69
300,"BALTASAR RAGON, DE            ",08224,1,1
305,"BARACALDO, DE                 ",08227,10,44
305,"BARACALDO, DE                 ",08229,1,1
310,"BARCELONA, DE                 ",08222,1,287
310,"BARCELONA, DE                 ",08229,0,312
311,"BARDISSA, DE LA               ",08225,2,17
315,"BARTOMEU AMAT, DE             ",08225,0,137
320,"BARTRINA, DE                  ",08225,0,70
320,"BARTRINA, DE                  ",08226,42,254
885,"ÈGARA, D                      ",08229,0,306
320,"BARTRINA, DE                  ",08229,32,32
325,"BASTARD, DE                   ",08221,1,17
330,"BEETHOVEN, DE                 ",08224,1,46
335,"BÉJAR, DE                     ",08225,1,232
335,"BÉJAR, DE                     ",08226,242,424
335,"BÉJAR, DE                     ",08229,62,62
336,"BÉJAR, DE                     ",08225,2,50
340,"BÈLGICA, DE                   ",08228,1,25
345,"BELLAVISTA, DE LA             ",08228,1,20
350,"BERGA, DE                     ",08225,15,80
355,"BERGUEDÀ, DEL                 ",08223,41,130
360,"BERNAT DE L OM, DE            ",08221,1,36
365,"BESÒS, DEL                    ",08227,1,204
365,"BESÒS, DEL                    ",08229,8,8
370,"BIDASOA, DEL                  ",08227,1,60
380,"BILBAO, DE                    ",08227,1,47
385,"BISBAL, DE LA                 ",08227,1,20
390,"BLANES, DE                    ",08223,1,3
391,"BLANCA DE CENTELLES, DE       ",08225,2,50
395,"BLASCO DE GARAY, DE           ",08224,0,239
396,"BOIX, DEL                     ",08225,1,6
405,"BONAVENTURA CASTELLET, DE     ",08222,1,34
410,"BORGES BLANQUES, DE LES       ",08227,1,172
410,"BORGES BLANQUES, DE LES       ",08229,71,89
411,"BÒBILA, DE LA                 ",08228,2,40
412,"BOSC, DEL                     ",08225,1,7
414,"BOSCH I GIMPERA, DE           ",08223,1,59
415,"BRETÓN, DE                    ",08224,1,37
420,"BRUC, DEL                     ",08224,1,170
420,"BRUC, DEL                     ",08229,0,0
425,"BULGÀRIA, DE                  ",08228,1,62
430,"BURGOS, DE                    ",08227,1,64
430,"BURGOS, DE                    ",08229,154,154
435,"CÀCERES, DE                   ",08224,1,12
440,"CADÍ, DEL                     ",08227,1,33
440,"CADÍ, DEL                     ",08228,13,13
445,"CADIS, DE                     ",08226,1,90
445,"CADIS, DE                     ",08229,0,0
450,"CALAF, DE                     ",08227,1,85
455,"CALDERÓN DE LA BARCA, DE      ",08224,1,193
455,"CALDERÓN DE LA BARCA, DE      ",08226,184,184
460,"CALIFÒRNIA, DE                ",08226,1,28
461,"CAMAMILLA, DE LA              ",08225,2,15
462,"CAMPIONES OLÍMPIQUES, DE LES  ",08225,7,54
465,"CAMBRILS, DE                  ",08227,1,13
466,"CAMERUN, DEL                  ",08228,1,28
467,VELL DE TERRASSA A VACARISSES ,08225,0,39
469,"CAMÍ DE LA SENYORA, DEL       ",08227,10,29
470,"CAMPRODON, DE                 ",08227,7,65
470,"CAMPRODON, DE                 ",08229,0,0
471,"CAMÍ FONT DE LES CANYES, DEL  ",08227,1,64
472,CAN BARBA                     ,08227,1,4
474,CAN FIGUERES                  ,08227,1,1
476,"ROMANÍ, DEL                   ",08228,1,64
477,CAN GUITARD DE LA RIERA       ,08224,0,0
477,CAN GUITARD DE LA RIERA       ,08228,1,33
478,CAN SUAS                      ,08227,1,1
480,"CAN BOADA DEL PI, DE          ",08225,0,26
481,CAN PI                        ,08226,16,24
485,"CAN BOADA DEL PI, DE          ",08225,0,13
486,"CAN GORGS, DE                 ",08226,1,11
490,"CAN COLOMER, DE               ",08225,2,36
491,"CAN CORBERA, DE               ",08228,1,31
491,"CAN CORBERA, DE               ",08229,0,10
495,"CAN FALGUERA, DE              ",08228,2,16
496,"CAN PETIT, DE                 ",08226,0,4
497,"CAN GONTERES, DE              ",08225,1,223
498,"CAN PEPET, DE                 ",08225,1,32
499,"CANAL DEL BOSC, DE LA         ",08227,124,126
500,"CANIGÓ, DEL                   ",08227,2,68
501,"CANAL FONDA, DE LA            ",08227,60,62
502,"CANAL DEL FORN DEL CARGOL,DE L",08227,127,129
503,"CANAL DE LA GUINEU, DE LA     ",08227,130,132
504,"CANAL DEL LLOR, DE LA         ",08227,64,67
505,"CANONGE RODÓ, DEL             ",08221,1,77
507,"CANAL DEL PI TORT, DE LA      ",08227,92,123
508,"CANAL DEL SOT, DE LA          ",08227,57,58
511,"CAN ROCA, DE                  ",08225,1,20
540,"CARDAIRE, DEL                 ",08221,1,44
545,"CARDEDEU, DE                  ",08225,1,31
550,"CARDENAL CISNEROS, DEL        ",08225,1,41
550,"CARDENAL CISNEROS, DEL        ",08227,73,73
551,"CARRASCO I FORMIGUERA, DE     ",08224,1,124
555,"CARDENER, DEL                 ",08223,1,8
565,"CARTOIXA DE VALLPARADÍS, DE LA",08222,1,21
570,"CARTAGENA, DE                 ",08227,1,22
575,"CASP, DE                      ",08225,1,30
575,"CASP, DE                      ",,4,4
576,"CASTELLSAPERA, DEL            ",08227,5,85
580,"CASTELLAR, DE                 ",08222,0,139
580,"CASTELLAR, DE                 ",08223,194,202
580,"CASTELLAR, DE                 ",08226,9,393
580,"CASTELLAR, DE                 ",08227,3,628
580,"CASTELLAR, DE                 ",08229,20,999
585,"CAMÍ DE CASTELLAR, DEL        ",08226,1,175
586,"CASTELLASSA, DE LA            ",08227,7,60
586,"CASTELLASSA, DE LA            ",08229,0,0
590,"CASTELLBISBAL, DE             ",08224,1,19
590,"CASTELLBISBAL, DE             ",08229,22,22
605,"CASTELL, DEL                  ",08221,9,31
610,"CASTELLTERÇOL, DE             ",08225,3,18
610,"CASTELLTERÇOL, DE             ",08229,40,40
619,"CATALUNYA, DE                 ",08222,1,1
619,"CATALUNYA, DE                 ",08229,153,153
620,"CATALUNYA, DE                 ",08225,1,140
620,"CATALUNYA, DE                 ",08229,161,161
621,"CAVALL BERNAT, DEL            ",08227,12,46
625,"CEMENTIRI VELL, DEL           ",08221,2,66
626,"CENTRE, DEL                   ",08228,1,3
630,CENTRAL DE LES FONTS          ,08228,8,60
630,CENTRAL DE LES FONTS          ,08229,0,55
635,"CERDANYA, DE LA               ",08226,8,31
635,"CERDANYA, DE LA               ",08229,0,0
645,"CERVANTES, DE                 ",08221,0,243
650,"CERVERA, DE                   ",08227,0,159
655,"TURONET, DEL                  ",08228,1,34
655,"TURONET, DEL                  ",08229,35,50
665,"CID CAMPEADOR, DEL            ",08225,1,36
670,"JUAN DE LA CIERVA, DE         ",08224,1,22
670,"JUAN DE LA CIERVA, DE         ",08229,0,0
671,"CINCA, DEL                    ",08223,1,44
671,"CINCA, DEL                    ",08229,0,0
675,"CIRCUMVAL.LACIÓ, DE           ",08228,1,20
677,"CIRICI I PELLICER, DE         ",08225,3,5
680,"ANTONI BROS, D                ",08225,1,155
685,"CISTERNA, DE LA               ",08221,1,111
690,"CIUTADELLA, DE                ",08226,1,66
690,"CIUTADELLA, DE                ",08229,0,0
695,"CIUDAD REAL, DE               ",08227,1,80
700,"CLAUSTRE, DEL                 ",08222,1,64
705,"CLAVÉ, DE                     ",08221,5,15
705,"CLAVÉ, DE                     ",08229,32,113
710,"CLAVELL, DEL                  ",08228,1,15
711,"COLL DE BOIX, DEL             ",08227,98,100
715,"COL.LEGI, DEL                 ",08221,1,91
715,"COL.LEGI, DEL                 ",08229,108,108
725,"COLOM, DE                     ",08222,0,135
725,"COLOM, DE                     ",08223,180,518
725,"COLOM, DE                     ",08228,371,606
725,"COLOM, DE                     ",08229,166,486
730,"COLUMEL.LA, DE                ",08224,5,30
735,"COMERÇ, DEL                   ",08224,1,19
736,COMERCIAL                     ,08222,1,28
736,COMERCIAL                     ,08229,42,42
740,"COMPOSTEL.LA, DE              ",08227,27,43
745,"COMTE D ÈGARA, DEL            ",08221,0,30
750,"CONCEPCIÓN ARENAL, DE         ",08223,1,183
750,"CONCEPCIÓN ARENAL, DE         ",08229,110,114
755,"CONCILI EGARENC, DEL          ",08224,2,96
760,"CONCÒRDIA, DE LA              ",08222,1,3
760,"CONCÒRDIA, DE LA              ",08229,0,0
770,"ÈGARA, D                      ",08225,1,203
770,"ÈGARA, D                      ",08229,306,306
771,"CONFLENT, DEL                 ",08226,2,18
775,"CONSELL DE CENT, DEL          ",08226,1,146
780,"CONSTÀNCIA, DE LA             ",08222,2,2
780,"CONSTÀNCIA, DE LA             ",08229,2,2
785,"CÒRDOVA, DE                   ",08226,1,51
790,"CORUNYA, DE LA                ",08227,1,47
795,"COSTA RICA, DE                ",08224,1,51
796,"COVA DE L ÀNGEL, DE LA        ",08227,55,56
797,"COVA DEL DRAC, DE LA          ",08227,0,21
798,"COVA SIMANYA, DE LA           ",08227,47,53
800,CREMAT                        ,08221,1,30
801,"CREU DE CONILL, DE LA         ",08224,0,6
801,"CREU DE CONILL, DE LA         ",08225,55,55
801,"CREU DE CONILL, DE LA         ",08229,288,288
805,"CREU, DE LA                   ",08225,18,19
805,"CREU, DE LA                   ",08226,1,20
807,"CAN VILETA, DE                ",08226,7,9
810,"CREU GRAN, DE LA              ",08221,1,79
812,"CUBA, DE                      ",08224,1,90
825,"CONCA, DE                     ",08227,1,33
835,"CHURRUCA, DE                  ",08225,1,33
835,"CHURRUCA, DE                  ",08229,63,63
840,"ALEMANYA, D                   ",08228,5,146
840,"ALEMANYA, D                   ",08229,0,0
845,"AMÈRICA, D                    ",08228,0,62
850,"ANDORRA, D                    ",08228,4,15
855,"ANGLATERRA, D                 ",08221,140,350
855,"ANGLATERRA, D                 ",08228,1,47
860,"ANTONINUS PIUS, D             ",08224,1,212
865,"ÀSIA, D                       ",08228,1,24
870,"ÀUSTRIA, D                    ",08228,3,11
875,"AVINYÓ ,D                     ",08223,0,115
880,"EDISON, D                     ",08224,2,142
885,"ÈGARA, D                      ",08221,2,394
885,"ÈGARA, D                      ",08224,1,331
890,"PRIM, DE                      ",08223,1,127
900,"ESCÒCIA, D                    ",08228,1,20
905,"ESTANISLAU FIGUERAS ,D        ",08222,0,130
910,"EUROPA, D                     ",08228,0,81
910,"EUROPA, D                     ",08229,340,340
915,"HOLANDA, D                    ",08228,1,168
915,"HOLANDA, D                    ",08229,13,17
915,"HOLANDA, D                    ",,4,4
920,"IRENEU, D                     ",08224,1,53
921,"ICÀRIA, D                     ",08224,42,133
925,"IRLANDA, D                    ",08228,1,14
930,"ISCLE SOLER, D                ",08221,1,30
935,"ITÀLIA, D                     ",08228,0,48
936,"IUGOSLÀVIA, DE                ",08228,1,11
940,"OCEANIA, D                    ",08228,1,103
945,"DÀLIA, DE LA                  ",08228,1,32
950,"DIBUIXANT AVELLANEDA, DEL     ",08225,2,117
955,"DINAMARCA, DE                 ",08228,2,18
970,"ALBINYANA, D                  ",08223,0,143
975,"DR. AYMERICH I GILABERTÓ, DEL ",08222,2,136
980,"DOCTOR CABANES, DEL           ",08221,6,50
980,"DOCTOR CABANES, DEL           ",08229,0,0
985,"DOCTOR CADEVALL, DEL          ",08221,1,2
990,"DOCTOR CALSINA, DEL           ",08225,5,185
990,"DOCTOR CALSINA, DEL           ",08226,238,423
995,"DOCTOR CISTARÉ, DEL           ",08225,1,168
1000,"DOCTOR FERRAN, DEL            ",08226,0,198
1005,"DOCTOR FLEMING, DEL           ",08221,5,5
1005,"DOCTOR FLEMING, DEL           ",08225,1,6
1010,"DOCTOR MARTÍ I JULIÀ, DEL     ",08221,1,23
1015,"DOCTOR PEARSON, DEL           ",08222,1,163
1015,"DOCTOR PEARSON, DEL           ",08229,125,125
1020,"DOCTOR ROBERT, DEL            ",08221,1,15
1025,"DOCTOR TORRAS I BAGES, DEL    ",08223,1,229
1025,"DOCTOR TORRAS I BAGES, DEL    ",08229,63,63
1030,"DOCTOR TURRÓ, DEL             ",08224,0,67
1035,"DOCTOR ULLÉS, DEL             ",08224,0,184
1040,"DOCTOR VENTALLÓ, DEL          ",08221,1,26
1045,"DOCTOR ZAMENHOF, DEL          ",08224,5,17
1050,"DOM BOSCO, DE                 ",08224,0,219
1055,"SEVERO OCHOA, DE              ",08224,1,160
1055,"SEVERO OCHOA, DE              ",08229,13,17
1060,"DOS DE MAIG, DEL              ",08225,10,77
1060,"DOS DE MAIG, DEL              ",08229,8,8
1065,"DUERO, DEL                    ",08223,0,62
1075,"GANDIA, DE                    ",08224,2,39
1080,"DUQUESSA DE LA VICTÒRIA, DE LA",08223,0,142
1080,"DUQUESSA DE LA VICTÒRIA, DE LA",08229,117,143
1085,"EBRE, DE L                    ",08223,2,81
1085,"EBRE, DE L                    ",08229,0,0
1095,"EDUARD MARQUINA, D            ",08225,1,166
1100,"ÈGARA, D                      ",08229,246,390
1101,"EGIPTE, D                     ",08228,2,26
1105,"ELX, D                        ",08227,1,6
1107,"ENRIC TORRELLA, D             ",08228,1,2
1110,"EMPERADRIU EUGÈNIA, DE L      ",08225,1,114
1110,"EMPERADRIU EUGÈNIA, DE L      ",08229,122,122
1115,"ERA, DE L                     ",08221,1,63
1120,"ERMITA, DE L                  ",08225,1,1
1125,"ESCALETES, DE LES             ",08221,2,19
1130,"ESCUDÉ, D                     ",08223,1,40
1135,"ESCULTOR ARMENGOL, DE L       ",08221,11,11
1135,"ESCULTOR ARMENGOL, DE L       ",08222,8,37
1135,"ESCULTOR ARMENGOL, DE L       ",08226,76,105
1140,"ESCULTOR BLAY, DE L           ",08225,1,31
1145,"ESCULTOR CLARÀ, DE L          ",08224,2,60
1146,"ESLA, DE L                    ",08223,1,71
1146,"ESLA, DE L                    ",08229,0,106
1150,"ESPERANTO, DE L               ",08228,1,33
1151,"ESQUIROLS, DELS               ",08228,1,79
1155,"EUGENI D ORS, D               ",08225,1,5
1155,"EUGENI D ORS, D               ",08229,0,0
1160,"EUGENI FERRER DALMAU, D       ",08223,1,36
1161,"FALCONERA, DE LA              ",08227,69,69
1162,DIDÓ                          ,08221,1,14
1170,"FALSET, DE                    ",08227,1,11
1175,"FARADAY, DE                   ",08224,0,175
1180,"FARELL, DEL                   ",08227,1,2
1181,"FARIGOLA, DE LA               ",08225,1,12
1185,"FÀTIMA, DE                    ",08225,1,169
1186,"FEDERICO GARCÍA LORCA, DE     ",08227,1,1
1190,"FREDERIC SOLER, DE            ",08224,7,147
1190,"FREDERIC SOLER, DE            ",08228,117,117
1195,"FELIP II, DE                  ",08224,2,140
1195,"FELIP II, DE                  ",08229,40,40
1201,"FERRER I GUÀRDIA, DE          ",08224,1,29
1206,"FERRAN CASABLANCAS, DE        ",08225,1,15
1210,"FERROCARRIL, DEL              ",08225,1,30
1211,"FIGUERA, DE LA                ",08225,1,1
1220,"FIGUERES, DE                  ",08226,2,27
1221,"FILIPINES, DE LES             ",08228,1,16
1221,"FILIPINES, DE LES             ",08229,42,42
1222,"FINISTERRE, DE                ",08223,1,26
1222,"FINISTERRE, DE                ",08229,0,0
1225,"FLORESTA, DE LA               ",08228,1,3
1230,"FLUVIÀ, DEL                   ",08227,2,60
1235,"FLANDES, DE                   ",08224,1,28
1240,"CAMÍ FONDO, DEL               ",08221,2,37
1240,"CAMÍ FONDO, DEL               ",08223,103,103
1241,"FENOLLEDA, DE LA              ",08226,2,27
1241,"FENOLLEDA, DE LA              ",08229,0,0
1244,"FONT FLÀVIA, DE LA            ",08227,50,59
1245,"FONT TROBADA, DE LA           ",08221,1,2
1246,"FONT FREDA, DE LA             ",08227,95,100
1248,"FONT DE L OLLA, DE LA         ",08227,79,79
1249,"FONT DE LA POLA, DE LA        ",08227,1,91
1249,"FONT DE LA POLA, DE LA        ",08229,118,118
1250,"FONT VELLA, DE LA             ",08221,1,103
1251,"MIL.LENARI, DEL               ",08227,28,37
1252,"FONT SOLEIA, DE LA            ",08227,19,24
1253,"FONT DE LA TARTANA, DE LA     ",08227,1,6
1254,"FONT LLICONA, DE LA           ",08227,115,120
1255,"FONTANELLA, DE                ",08224,6,61
1255,"FONTANELLA, DE                ",08229,0,0
1260,"FORJA, DE LA                  ",08225,1,10
1265,"FORMENTERA, DE                ",08226,1,17
1270,"FORN,DEL                      ",08221,4,35
1275,"FORNOT, DEL                   ",08228,1,46
1280,"FRAGA, DE                     ",08226,1,19
1285,"FRANÇA, DE                    ",08228,1,51
1286,"FRANCESC MACIÀ, DE            ",08226,1,278
1286,"FRANCESC MACIÀ, DE            ",08229,144,144
1290,"FRANCISCO DE VITORIA, DE      ",08225,1,55
1290,"FRANCISCO DE VITORIA, DE      ",08229,86,86
1295,"FRANCESC OLLER, DE            ",08225,1,118
1300,"FRANCESC SALVANS, DE          ",08225,1,89
1305,"FRANC COMTAT, DEL             ",08224,146,317
1305,"FRANC COMTAT, DEL             ",08229,0,0
1310,"FRANCOLÍ, DEL                 ",08227,4,61
1320,"FRATERNITAT, DE LA            ",08225,1,20
1320,"FRATERNITAT, DE LA            ",08229,34,34
1330,"FRA BONAVENTURA GRAN, DE      ",08224,1,24
1335,"FRONTÓ, DEL                   ",08221,1,18
1336,"GABON, DEL                    ",08228,1,26
1337,"GABRIEL QUEROL, DE            ",08221,2,35
1340,"GALÍCIA, DE                   ",08223,0,129
1345,"GALILEU, DE                   ",08224,2,365
1350,"PAÍS DE GAL.LES, DEL          ",08228,0,14
1355,"GALVANI, DE                   ",08224,2,169
1360,"GALLIFA, DE                   ",08226,2,18
1365,"GANDESA, DE                   ",08227,1,1
1366,"GARBÍ, DEL                    ",08226,1,1
1370,"GARCIA HUMET, DE              ",08221,0,98
1375,"JOSEP-VICENÇ FOIX, DE         ",08225,1,45
1380,"GARONA, DE LA                 ",08227,1,17
1395,"GASÒMETRE, DEL                ",08223,0,150
1395,"GASÒMETRE, DEL                ",08229,58,102
1400,"GAUDÍ, DE                     ",08221,1,15
1405,"TETE MONTOLIU, DE             ",08221,1,26
1410,"GAVATXONS, DELS               ",08221,2,24
1411,"GÈMINIS, DE                   ",08228,1,97
1412,"GAIÀ, DEL                     ",08225,0,16
1415,"ALEXANDRE GALÍ, D             ",08225,0,138
1420,"GENERAL MILANS DEL BOSCH, DEL ",08225,2,20
1425,"GENERAL MORAGUES, DEL         ",08225,1,40
1430,"PARÍS, DE                     ",08228,0,83
1446,"GENIL, DEL                    ",08223,1,8
1446,"GENIL, DEL                    ",08229,0,0
1450,"GERANI, DEL                   ",08228,2,16
1455,"GIRONA, DE                    ",08226,1,444
