DATA_REFERENCIA,MES,PAIS_DESTI,PROVINCIA_DESTI,SEXE,POBLACIO
2011,1,ALEMANYA                      , ,Dona,3
2011,1,ALEMANYA                      , ,Home,1
2011,1,"ARGENTINA, L                  ", ,Home,1
2011,1,BÈLGICA                       , ,Home,2
2011,1,BOLÍVIA                       , ,Dona,1
2011,1,"BRASIL, EL                    ", ,Dona,1
2011,1,"BRASIL, EL                    ", ,Home,1
2011,1,COLÒMBIA                      , ,Home,1
2011,1,CUBA                          , ,Home,1
2011,1,"EQUADOR, L                    ", ,Dona,2
2011,1,"EQUADOR, L                    ", ,Home,2
2011,1,ESPANYA                       , ,Dona,294
2011,1,ESPANYA                       , ,Home,321
2011,1,ESPANYA                       ,ALABA,Dona,1
2011,1,ESPANYA                       ,ALABA,Home,1
2011,1,ESPANYA                       ,ALACANT,Home,2
2011,1,ESPANYA                       ,ALBACETE,Home,1
2011,1,ESPANYA                       ,ALMERIA,Dona,7
2011,1,ESPANYA                       ,ALMERIA,Home,15
2011,1,ESPANYA                       ,ASTURIAS,Dona,1
2011,1,ESPANYA                       ,ASTURIAS,Home,2
2011,1,ESPANYA                       ,BARCELONA,Dona,235
2011,1,ESPANYA                       ,BARCELONA,Home,234
2011,1,ESPANYA                       ,BISCAIA,Home,1
2011,1,ESPANYA                       ,CACERES,Dona,2
2011,1,ESPANYA                       ,CACERES,Home,1
2011,1,ESPANYA                       ,CADIS,Home,3
2011,1,ESPANYA                       ,CASTELLO,Dona,2
2011,1,ESPANYA                       ,CASTELLO,Home,2
2011,1,ESPANYA                       ,CEUTA,Home,1
2011,1,ESPANYA                       ,CIUDAD REAL,Dona,2
2011,1,ESPANYA                       ,CIUDAD REAL,Home,2
2011,1,ESPANYA                       ,CORDOBA,Dona,2
2011,1,ESPANYA                       ,CORDOBA,Home,1
2011,1,ESPANYA                       ,"CORUNYA, LA",Home,1
2011,1,ESPANYA                       ,GIRONA,Dona,4
2011,1,ESPANYA                       ,GIRONA,Home,8
2011,1,ESPANYA                       ,GRANADA,Dona,4
2011,1,ESPANYA                       ,GRANADA,Home,2
2011,1,ESPANYA                       ,GUADALAJARA,Dona,1
2011,1,ESPANYA                       ,GUADALAJARA,Home,1
2011,1,ESPANYA                       ,HUELVA,Home,1
2011,1,ESPANYA                       ,JAEN,Home,1
2011,1,ESPANYA                       ,LLEIDA,Dona,1
2011,1,ESPANYA                       ,LLEIDA,Home,4
2011,1,ESPANYA                       ,MADRID,Dona,11
2011,1,ESPANYA                       ,MADRID,Home,5
2011,1,ESPANYA                       ,MALAGA,Dona,2
2011,1,ESPANYA                       ,MALAGA,Home,1
2011,1,ESPANYA                       ,MURCIA,Home,4
2011,1,ESPANYA                       ,OSCA,Dona,2
2011,1,ESPANYA                       ,OSCA,Home,2
2011,1,ESPANYA                       ,"PALMAS, LAS",Home,2
2011,1,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Dona,3
2011,1,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Home,2
2011,1,ESPANYA                       ,SARAGOSSA,Dona,2
2011,1,ESPANYA                       ,SARAGOSSA,Home,1
2011,1,ESPANYA                       ,TARRAGONA,Dona,10
2011,1,ESPANYA                       ,TARRAGONA,Home,15
2011,1,ESPANYA                       ,TEROL,Home,1
2011,1,ESPANYA                       ,VALENCIA,Dona,2
2011,1,ESPANYA                       ,VALENCIA,Home,4
2011,1,"ESTATS UNITS D AMÈRICA, ELS   ", ,Dona,2
2011,1,FRANÇA                        , ,Home,1
2011,1,"GUINEA EQUATORIAL, LA         ", ,Dona,2
2011,1,ITÀLIA                        , ,Home,1
2011,1,"MARROC, EL                    ", ,Dona,11
2011,1,"MARROC, EL                    ", ,Home,6
2011,1,MÈXIC                         , ,Dona,1
2011,1,"PERÚ, EL                      ", ,Home,2
2011,1,"REGNE UNIT, EL                ", ,Dona,1
2011,1,"REGNE UNIT, EL                ", ,Home,1
2011,1,VENEÇUELA                     , ,Dona,2
2011,1,XILE                          , ,Home,1
2011,1,"XINA, LA                      ", ,Home,2
2011,10,ALEMANYA                      , ,Dona,1
2011,10,ANDORRA                       , ,Dona,1
2011,10,ANDORRA                       , ,Home,1
2011,10,"ARGENTINA, L                  ", ,Dona,1
2011,10,"CANADÀ, EL                    ", ,Dona,1
2011,10,"CANADÀ, EL                    ", ,Home,1
2011,10,CUBA                          , ,Dona,1
2011,10,"EQUADOR, L                    ", ,Dona,1
2011,10,"EQUADOR, L                    ", ,Home,3
2011,10,ESPANYA                       , ,Dona,281
2011,10,ESPANYA                       , ,Home,306
2011,10,ESPANYA                       ,ALACANT,Dona,1
2011,10,ESPANYA                       ,ALACANT,Home,2
2011,10,ESPANYA                       ,ALBACETE,Home,1
2011,10,ESPANYA                       ,ALMERIA,Dona,7
2011,10,ESPANYA                       ,ALMERIA,Home,4
2011,10,ESPANYA                       ,ASTURIAS,Dona,1
2011,10,ESPANYA                       ,BADAJOZ,Dona,1
2011,10,ESPANYA                       ,BADAJOZ,Home,2
2011,10,ESPANYA                       ,BARCELONA,Dona,206
2011,10,ESPANYA                       ,BARCELONA,Home,212
2011,10,ESPANYA                       ,BISCAIA,Dona,1
2011,10,ESPANYA                       ,BURGOS,Dona,2
2011,10,ESPANYA                       ,CADIS,Home,1
2011,10,ESPANYA                       ,CASTELLO,Home,3
2011,10,ESPANYA                       ,CEUTA,Home,2
2011,10,ESPANYA                       ,CIUDAD REAL,Home,1
2011,10,ESPANYA                       ,GIRONA,Dona,8
2011,10,ESPANYA                       ,GIRONA,Home,10
2011,10,ESPANYA                       ,GRANADA,Dona,3
2011,10,ESPANYA                       ,GRANADA,Home,2
2011,10,ESPANYA                       ,GUADALAJARA,Home,1
2011,10,ESPANYA                       ,HUELVA,Home,1
2011,10,ESPANYA                       ,ILLES BALEARS,Dona,5
2011,10,ESPANYA                       ,ILLES BALEARS,Home,6
2011,10,ESPANYA                       ,JAEN,Dona,3
2011,10,ESPANYA                       ,JAEN,Home,1
2011,10,ESPANYA                       ,LUGO,Dona,1
2011,10,ESPANYA                       ,LUGO,Home,1
2011,10,ESPANYA                       ,LLEIDA,Dona,8
2011,10,ESPANYA                       ,LLEIDA,Home,7
2011,10,ESPANYA                       ,LLEO,Dona,2
2011,10,ESPANYA                       ,MADRID,Home,6
2011,10,ESPANYA                       ,MALAGA,Dona,3
2011,10,ESPANYA                       ,MALAGA,Home,2
2011,10,ESPANYA                       ,MELILLA,Dona,2
2011,10,ESPANYA                       ,MELILLA,Home,2
2011,10,ESPANYA                       ,MURCIA,Dona,5
2011,10,ESPANYA                       ,MURCIA,Home,10
2011,10,ESPANYA                       ,NAVARRA,Home,1
2011,10,ESPANYA                       ,PALENCIA,Dona,1
2011,10,ESPANYA                       ,PALENCIA,Home,1
2011,10,ESPANYA                       ,"PALMAS, LAS",Dona,4
2011,10,ESPANYA                       ,"PALMAS, LAS",Home,2
2011,10,ESPANYA                       ,PONTEVEDRA,Dona,1
2011,10,ESPANYA                       ,"RIOJA, LA",Dona,1
