DATA_REFERENCIA,DISTRICTE,EDAT,SEXE,POBLACIO
2013,DISTRICTE 4,72,Dona,160
2011,DISTRICTE 1,64,Dona,177
2016,DISTRICTE 4,13,Dona,214
2013,DISTRICTE 1,88,Dona,90
2016,DISTRICTE 6,44,Dona,295
2012,DISTRICTE 3,53,Home,202
2016,DISTRICTE 3,89,Home,23
2011,DISTRICTE 2,79,Home,50
2014,DISTRICTE 1,86,Home,59
2014,DISTRICTE 5,100,Dona,1
2012,DISTRICTE 3,41,Home,298
2016,DISTRICTE 3,8,Dona,189
2012,DISTRICTE 3,46,Dona,245
2017,DISTRICTE 6,41,Dona,379
2014,DISTRICTE 3,49,Dona,211
2014,DISTRICTE 4,69,Home,143
2013,DISTRICTE 5,88,Dona,73
2013,DISTRICTE 2,44,Dona,124
2013,DISTRICTE 1,5,Dona,200
2015,DISTRICTE 6,54,Dona,258
2017,DISTRICTE 5,76,Home,130
2011,DISTRICTE 4,22,Home,172
2016,DISTRICTE 5,67,Home,225
2013,DISTRICTE 5,83,Home,85
2014,DISTRICTE 1,17,Dona,164
2013,DISTRICTE 4,60,Dona,188
2011,DISTRICTE 1,52,Dona,238
2013,DISTRICTE 2,39,Home,243
2013,DISTRICTE 1,0,Home,204
2016,DISTRICTE 5,72,Dona,210
2017,DISTRICTE 4,79,Dona,138
2013,DISTRICTE 6,13,Home,219
2013,DISTRICTE 5,5,Dona,254
2017,DISTRICTE 5,81,Dona,168
2013,DISTRICTE 5,0,Home,272
2013,DISTRICTE 6,18,Dona,167
2015,DISTRICTE 2,52,Dona,123
2017,DISTRICTE 6,36,Home,343
2014,DISTRICTE 1,100,Dona,4
2013,DISTRICTE 3,37,Dona,277
2012,DISTRICTE 5,71,Dona,169
2017,DISTRICTE 1,20,Home,197
2011,DISTRICTE 2,8,Home,120
2012,DISTRICTE 5,66,Home,191
2015,DISTRICTE 3,73,Dona,98
2015,DISTRICTE 5,14,Dona,215
2016,DISTRICTE 6,101,Home,1
2011,DISTRICTE 6,51,Home,273
2014,DISTRICTE 3,30,Home,220
2015,DISTRICTE 3,97,Home,2
2016,DISTRICTE 4,70,Home,152
2013,DISTRICTE 4,41,Dona,339
2012,DISTRICTE 4,1,Home,245
2015,DISTRICTE 5,71,Dona,214
2015,DISTRICTE 2,14,Dona,104
2014,DISTRICTE 6,68,Dona,167
2012,DISTRICTE 1,51,Dona,251
2011,DISTRICTE 5,19,Dona,184
2011,DISTRICTE 5,61,Home,218
2016,DISTRICTE 2,99,Dona,3
2012,DISTRICTE 2,44,Home,159
2012,DISTRICTE 5,104,Dona,2
2016,DISTRICTE 5,41,Dona,447
2017,DISTRICTE 3,80,Home,73
2017,DISTRICTE 3,38,Dona,311
2013,DISTRICTE 1,88,Home,47
2017,DISTRICTE 2,51,Dona,118
2015,DISTRICTE 3,99,Dona,1
2011,DISTRICTE 3,67,Dona,153
2011,DISTRICTE 3,62,Home,183
2015,DISTRICTE 1,79,Dona,152
2012,DISTRICTE 4,84,Home,62
2014,DISTRICTE 5,2,Home,294
2015,DISTRICTE 4,29,Home,231
2017,DISTRICTE 1,39,Home,285
2012,DISTRICTE 6,87,Home,31
2011,DISTRICTE 2,60,Home,75
2013,DISTRICTE 6,82,Home,91
2011,DISTRICTE 2,65,Dona,69
2011,DISTRICTE 5,90,Dona,54
2017,DISTRICTE 4,53,Home,251
2012,DISTRICTE 5,33,Dona,407
2012,DISTRICTE 5,28,Home,290
2011,DISTRICTE 4,22,Dona,221
2016,DISTRICTE 3,46,Dona,243
2013,DISTRICTE 3,37,Home,372
2017,DISTRICTE 5,31,Home,261
2013,DISTRICTE 5,50,Dona,309
2016,DISTRICTE 2,11,Home,138
2015,DISTRICTE 6,47,Home,325
2017,DISTRICTE 3,68,Home,162
2012,DISTRICTE 2,46,Dona,131
2017,DISTRICTE 3,26,Dona,166
2013,DISTRICTE 5,45,Home,375
2014,DISTRICTE 5,31,Dona,331
2014,DISTRICTE 5,73,Home,145
2016,DISTRICTE 2,16,Dona,102
2014,DISTRICTE 1,10,Home,213
2017,DISTRICTE 6,17,Home,210
2015,DISTRICTE 2,71,Home,43
2015,DISTRICTE 6,73,Dona,117
2011,DISTRICTE 3,50,Home,180
2016,DISTRICTE 5,48,Home,390
2014,DISTRICTE 2,70,Dona,65
2016,DISTRICTE 5,53,Dona,317
2016,DISTRICTE 6,6,Home,316
2015,DISTRICTE 1,91,Dona,67
2013,DISTRICTE 1,81,Dona,136
2013,DISTRICTE 3,25,Home,208
2015,DISTRICTE 3,35,Home,318
2014,DISTRICTE 1,93,Home,7
2016,DISTRICTE 6,11,Dona,218
2013,DISTRICTE 3,30,Dona,289
2017,DISTRICTE 6,22,Dona,193
2015,DISTRICTE 1,86,Home,60
2013,DISTRICTE 1,76,Home,93
2012,DISTRICTE 4,96,Home,3
2017,DISTRICTE 1,103,Dona,3
2016,DISTRICTE 4,58,Home,223
2011,DISTRICTE 2,72,Home,48
2014,DISTRICTE 4,50,Dona,259
2016,DISTRICTE 6,89,Home,27
2016,DISTRICTE 1,64,Dona,188
2011,DISTRICTE 4,29,Home,289
2015,DISTRICTE 4,93,Dona,30
2014,DISTRICTE 2,29,Home,163
2013,DISTRICTE 2,6,Dona,151
2014,DISTRICTE 1,24,Dona,172
2016,DISTRICTE 6,94,Dona,17
2011,DISTRICTE 4,34,Dona,392
2012,DISTRICTE 4,27,Dona,279
2016,DISTRICTE 4,63,Dona,180
2013,DISTRICTE 2,1,Home,184
2011,DISTRICTE 3,55,Dona,202
2017,DISTRICTE 4,46,Dona,293
2013,DISTRICTE 6,25,Dona,246
2013,DISTRICTE 5,38,Dona,461
2017,DISTRICTE 4,41,Home,380
2012,DISTRICTE 5,21,Dona,207
2014,DISTRICTE 6,87,Home,39
2012,DISTRICTE 4,15,Dona,176
2016,DISTRICTE 4,51,Dona,279
2012,DISTRICTE 6,30,Dona,364
2012,DISTRICTE 2,58,Dona,91
2011,DISTRICTE 6,32,Dona,404
2017,DISTRICTE 1,27,Home,194
2013,DISTRICTE 4,53,Dona,251
2011,DISTRICTE 1,45,Dona,278
2016,DISTRICTE 2,4,Dona,182
2014,DISTRICTE 6,4,Home,308
2017,DISTRICTE 6,29,Home,213
2015,DISTRICTE 1,8,Dona,203
2012,DISTRICTE 3,34,Home,392
2014,DISTRICTE 5,93,Dona,40
2012,DISTRICTE 5,16,Home,202
2015,DISTRICTE 1,3,Home,207
2012,DISTRICTE 4,13,Home,210
2013,DISTRICTE 1,64,Home,181
2013,DISTRICTE 2,77,Dona,73
2016,DISTRICTE 3,58,Dona,191
2011,DISTRICTE 3,100,Dona,1
2015,DISTRICTE 6,23,Home,214
2017,DISTRICTE 6,67,Dona,190
2013,DISTRICTE 2,13,Home,113
2014,DISTRICTE 4,88,Dona,78
2015,DISTRICTE 1,46,Dona,270
2015,DISTRICTE 6,28,Dona,224
2017,DISTRICTE 1,8,Dona,205
2013,DISTRICTE 3,70,Home,83
2017,DISTRICTE 3,30,Home,199
2013,DISTRICTE 3,75,Dona,110
2012,DISTRICTE 4,51,Home,264
2015,DISTRICTE 1,41,Home,328
2016,DISTRICTE 1,11,Home,206
2016,DISTRICTE 3,96,Dona,4
2014,DISTRICTE 1,48,Home,275
2015,DISTRICTE 5,90,Home,28
2013,DISTRICTE 2,101,Dona,1
2015,DISTRICTE 2,33,Home,245
2011,DISTRICTE 3,12,Home,165
2014,DISTRICTE 2,82,Dona,52
2014,DISTRICTE 4,0,Home,210
2015,DISTRICTE 4,81,Dona,172
2014,DISTRICTE 3,11,Dona,151
2013,DISTRICTE 2,96,Home,1
2014,DISTRICTE 4,5,Dona,246
2013,DISTRICTE 1,43,Dona,255
2017,DISTRICTE 1,91,Dona,55
2016,DISTRICTE 5,60,Home,255
2013,DISTRICTE 1,38,Home,318
2014,DISTRICTE 6,30,Home,280
2012,DISTRICTE 6,42,Dona,319
2016,DISTRICTE 1,94,Home,13
2012,DISTRICTE 2,70,Dona,62
2011,DISTRICTE 6,20,Dona,226
2016,DISTRICTE 1,52,Dona,257
2012,DISTRICTE 6,37,Home,444
2011,DISTRICTE 1,7,Dona,196
2013,DISTRICTE 2,84,Home,25
2014,DISTRICTE 6,42,Home,420
2011,DISTRICTE 3,29,Dona,303
2014,DISTRICTE 2,41,Home,206
2011,DISTRICTE 3,24,Home,216
2014,DISTRICTE 5,97,Home,1
2014,DISTRICTE 5,55,Dona,317
2011,DISTRICTE 4,67,Home,157
2012,DISTRICTE 1,70,Home,117
2015,DISTRICTE 4,79,Home,98
2013,DISTRICTE 4,60,Home,190
2014,DISTRICTE 1,62,Dona,192
2015,DISTRICTE 3,4,Dona,205
2011,DISTRICTE 4,72,Dona,136
2011,DISTRICTE 2,15,Dona,106
2016,DISTRICTE 6,82,Dona,123
2013,DISTRICTE 2,89,Dona,22
2017,DISTRICTE 4,29,Home,203
2013,DISTRICTE 6,63,Dona,193
2011,DISTRICTE 6,18,Home,207
2012,DISTRICTE 3,79,Home,84
2013,DISTRICTE 5,0,Dona,244
2012,DISTRICTE 3,84,Dona,75
2015,DISTRICTE 4,10,Dona,243
2017,DISTRICTE 6,79,Dona,126
2016,DISTRICTE 2,61,Home,94
2012,DISTRICTE 4,53,Dona,243
2011,DISTRICTE 5,57,Dona,294
2015,DISTRICTE 3,73,Home,88
2012,DISTRICTE 5,66,Dona,255
2017,DISTRICTE 4,34,Dona,294
2011,DISTRICTE 1,90,Dona,53
2017,DISTRICTE 2,70,Home,58
2017,DISTRICTE 1,65,Home,156
2013,DISTRICTE 4,86,Dona,91
2011,DISTRICTE 1,78,Dona,155
2011,DISTRICTE 6,6,Home,222
2011,DISTRICTE 5,49,Home,300
2014,DISTRICTE 6,56,Dona,240
2011,DISTRICTE 5,7,Dona,273
2016,DISTRICTE 3,34,Dona,292
2016,DISTRICTE 2,49,Home,148
2014,DISTRICTE 3,23,Dona,159
2013,DISTRICTE 1,26,Home,209
2015,DISTRICTE 5,83,Dona,142
2013,DISTRICTE 5,62,Dona,252
2015,DISTRICTE 5,78,Home,136
2015,DISTRICTE 6,35,Home,424
2012,DISTRICTE 2,89,Home,9
2014,DISTRICTE 3,18,Home,170
2016,DISTRICTE 2,54,Dona,90
2013,DISTRICTE 5,57,Home,265
2013,DISTRICTE 4,84,Home,55
2011,DISTRICTE 6,89,Home,23
2011,DISTRICTE 4,79,Home,107
2012,DISTRICTE 5,40,Home,395
2012,DISTRICTE 1,58,Home,173
2011,DISTRICTE 1,76,Home,91
2014,DISTRICTE 1,74,Dona,80
2013,DISTRICTE 1,31,Dona,233
2012,DISTRICTE 6,49,Home,284
2016,DISTRICTE 3,32,Home,230
2011,DISTRICTE 2,22,Home,138
2011,DISTRICTE 3,5,Dona,210
2011,DISTRICTE 2,27,Dona,199
2014,DISTRICTE 4,95,Home,5
2017,DISTRICTE 5,12,Dona,265
2015,DISTRICTE 2,26,Dona,142
2016,DISTRICTE 5,3,Dona,266
2015,DISTRICTE 3,2,Home,228
2017,DISTRICTE 3,42,Home,337
2012,DISTRICTE 1,63,Dona,202
2015,DISTRICTE 2,21,Home,117
2012,DISTRICTE 2,20,Dona,108
2017,DISTRICTE 3,0,Dona,181
2014,DISTRICTE 4,100,Dona,3
2014,DISTRICTE 2,94,Dona,7
2017,DISTRICTE 5,19,Home,199
2014,DISTRICTE 4,17,Dona,169
2013,DISTRICTE 4,72,Home,152
2011,DISTRICTE 1,64,Home,145
2017,DISTRICTE 2,63,Dona,89
2015,DISTRICTE 3,16,Dona,136
2014,DISTRICTE 5,43,Dona,408
2014,DISTRICTE 5,85,Home,64
2012,DISTRICTE 2,8,Dona,103
2016,DISTRICTE 3,20,Home,169
2013,DISTRICTE 6,70,Home,113
2017,DISTRICTE 2,58,Home,121
2012,DISTRICTE 4,65,Dona,146
2016,DISTRICTE 4,101,Dona,1
2014,DISTRICTE 4,12,Home,245
2013,DISTRICTE 6,75,Dona,127
2017,DISTRICTE 5,24,Dona,228
2011,DISTRICTE 3,17,Dona,167
2015,DISTRICTE 6,40,Dona,368
2015,DISTRICTE 4,67,Home,168
2017,DISTRICTE 1,77,Home,64
2013,DISTRICTE 4,3,Dona,255
2014,DISTRICTE 6,54,Home,264
2015,DISTRICTE 3,85,Home,48
2012,DISTRICTE 3,72,Dona,96
2017,DISTRICTE 4,91,Home,18
2012,DISTRICTE 2,6,Home,157
2017,DISTRICTE 3,71,Dona,157
2014,DISTRICTE 6,11,Dona,195
2016,DISTRICTE 1,18,Home,177
2011,DISTRICTE 5,4,Home,271
2011,DISTRICTE 1,83,Dona,106
2012,DISTRICTE 5,2,Home,311
2012,DISTRICTE 3,72,Home,64
2017,DISTRICTE 3,95,Dona,12
2014,DISTRICTE 2,75,Dona,67
2015,DISTRICTE 4,3,Home,233
2017,DISTRICTE 1,13,Home,212
2013,DISTRICTE 1,31,Home,263
2017,DISTRICTE 5,50,Dona,316
2015,DISTRICTE 3,40,Home,341
2017,DISTRICTE 6,55,Home,258
2012,DISTRICTE 2,32,Dona,208
2012,DISTRICTE 5,90,Dona,52
2013,DISTRICTE 2,46,Home,163
2014,DISTRICTE 6,80,Home,86
2014,DISTRICTE 4,55,Dona,240
2012,DISTRICTE 5,85,Home,59
2011,DISTRICTE 4,79,Dona,164
2016,DISTRICTE 3,72,Dona,152
2016,DISTRICTE 6,44,Home,399
2013,DISTRICTE 4,67,Dona,217
2013,DISTRICTE 3,63,Home,161
2015,DISTRICTE 3,42,Dona,269
2015,DISTRICTE 5,45,Dona,318
2013,DISTRICTE 5,24,Dona,245
2016,DISTRICTE 4,13,Home,229
2016,DISTRICTE 6,49,Dona,285
2017,DISTRICTE 1,96,Home,2
2013,DISTRICTE 3,68,Dona,137
2015,DISTRICTE 5,40,Home,466
2017,DISTRICTE 6,60,Dona,213
2014,DISTRICTE 4,50,Home,251
2015,DISTRICTE 1,22,Dona,149
2013,DISTRICTE 5,19,Home,203
2013,DISTRICTE 2,51,Dona,97
2015,DISTRICTE 2,71,Dona,65
2016,DISTRICTE 2,68,Home,59
2011,DISTRICTE 2,8,Dona,110
2012,DISTRICTE 1,20,Home,174
2016,DISTRICTE 2,73,Dona,66
2014,DISTRICTE 1,67,Home,146
2016,DISTRICTE 4,1,Home,222
2012,DISTRICTE 4,20,Dona,183
2013,DISTRICTE 2,39,Dona,140
2015,DISTRICTE 4,86,Home,47
2012,DISTRICTE 1,25,Dona,213
2012,DISTRICTE 6,30,Home,343
2017,DISTRICTE 1,27,Dona,188
2017,DISTRICTE 4,84,Dona,129
2017,DISTRICTE 3,83,Dona,98
2011,DISTRICTE 4,3,Home,288
2016,DISTRICTE 1,30,Home,213
2014,DISTRICTE 6,94,Dona,14
2017,DISTRICTE 4,79,Home,100
2015,DISTRICTE 4,17,Dona,192
2014,DISTRICTE 2,63,Dona,76
2016,DISTRICTE 3,58,Home,193
2016,DISTRICTE 4,89,Dona,65
2013,DISTRICTE 4,53,Home,213
2014,DISTRICTE 3,30,Dona,252
2011,DISTRICTE 6,70,Dona,176
2011,DISTRICTE 2,3,Home,161
2017,DISTRICTE 4,67,Home,173
2011,DISTRICTE 6,56,Home,202
2014,DISTRICTE 1,81,Dona,147
2013,DISTRICTE 2,63,Dona,78
2013,DISTRICTE 1,24,Dona,182
2011,DISTRICTE 4,91,Dona,30
2016,DISTRICTE 3,84,Dona,80
2013,DISTRICTE 5,12,Dona,213
2013,DISTRICTE 2,58,Home,97
2013,DISTRICTE 1,19,Home,148
2012,DISTRICTE 3,60,Home,163
2013,DISTRICTE 5,7,Home,315
2012,DISTRICTE 3,65,Dona,131
2011,DISTRICTE 2,91,Dona,11
2017,DISTRICTE 4,72,Dona,172
2013,DISTRICTE 3,56,Dona,184
2015,DISTRICTE 1,34,Dona,272
2016,DISTRICTE 6,37,Dona,381
2017,DISTRICTE 5,57,Home,285
2016,DISTRICTE 4,6,Dona,236
2017,DISTRICTE 1,1,Home,183
2013,DISTRICTE 4,79,Dona,172
2011,DISTRICTE 1,71,Dona,77
2015,DISTRICTE 3,54,Dona,188
2015,DISTRICTE 1,29,Home,218
2012,DISTRICTE 4,39,Home,422
2015,DISTRICTE 5,33,Dona,345
2017,DISTRICTE 2,51,Home,175
2013,DISTRICTE 6,82,Dona,134
2012,DISTRICTE 1,13,Dona,175
2011,DISTRICTE 4,86,Home,46
2017,DISTRICTE 5,62,Dona,282
2013,DISTRICTE 1,95,Dona,21
2012,DISTRICTE 5,73,Home,129
2012,DISTRICTE 4,27,Home,245
2016,DISTRICTE 3,70,Home,145
2017,DISTRICTE 5,69,Home,202
2013,DISTRICTE 4,65,Home,179
2017,DISTRICTE 1,84,Home,71
2011,DISTRICTE 2,15,Home,99
2017,DISTRICTE 6,48,Dona,294
2011,DISTRICTE 1,57,Home,176
2016,DISTRICTE 6,32,Home,278
2011,DISTRICTE 2,20,Dona,113
2012,DISTRICTE 5,78,Dona,185
2014,DISTRICTE 3,42,Dona,263
2011,DISTRICTE 6,58,Dona,194
2013,DISTRICTE 1,7,Home,193
2015,DISTRICTE 4,5,Dona,247
2011,DISTRICTE 5,87,Home,46
2011,DISTRICTE 5,45,Dona,341
2014,DISTRICTE 3,37,Home,362
2016,DISTRICTE 3,1,Dona,184
2015,DISTRICTE 6,42,Home,357
2011,DISTRICTE 3,36,Home,372
2013,DISTRICTE 5,95,Dona,17
2016,DISTRICTE 2,61,Dona,60
2017,DISTRICTE 1,15,Dona,172
2016,DISTRICTE 5,79,Dona,201
2014,DISTRICTE 5,78,Home,94
2013,DISTRICTE 1,12,Dona,185
2015,DISTRICTE 6,47,Dona,307
2014,DISTRICTE 5,36,Dona,424
2013,DISTRICTE 3,18,Dona,145
2017,DISTRICTE 3,87,Home,37
2013,DISTRICTE 4,91,Dona,43
2017,DISTRICTE 5,95,Home,7
2017,DISTRICTE 3,45,Dona,256
2011,DISTRICTE 4,41,Home,367
2014,DISTRICTE 1,36,Dona,319
2016,DISTRICTE 1,68,Home,156
2013,DISTRICTE 1,69,Dona,173
2011,DISTRICTE 1,33,Dona,299
2016,DISTRICTE 1,26,Dona,184
2016,DISTRICTE 5,3,Home,255
2015,DISTRICTE 3,92,Dona,21
2016,DISTRICTE 3,39,Dona,320
2015,DISTRICTE 4,55,Dona,255
2015,DISTRICTE 6,80,Home,74
2014,DISTRICTE 2,67,Home,61
2014,DISTRICTE 2,25,Dona,144
2013,DISTRICTE 5,57,Dona,259
2014,DISTRICTE 4,31,Dona,287
2015,DISTRICTE 6,85,Dona,92
2014,DISTRICTE 3,68,Dona,160
2012,DISTRICTE 5,35,Home,477
2011,DISTRICTE 6,44,Home,315
2017,DISTRICTE 2,101,Dona,1
2017,DISTRICTE 4,60,Dona,201
2017,DISTRICTE 6,10,Dona,269
2013,DISTRICTE 2,1,Dona,195
2013,DISTRICTE 6,32,Home,379
2017,DISTRICTE 2,96,Home,4
2017,DISTRICTE 5,12,Home,247
2013,DISTRICTE 6,37,Dona,409
