DATA_REFERENCIA,DISTRICTE,SECCIO,SEXE,POBLACIO
2011,DISTRICTE 1,1,Dona,702
2011,DISTRICTE 1,1,Home,558
2011,DISTRICTE 1,10,Dona,643
2011,DISTRICTE 1,10,Home,623
2011,DISTRICTE 1,11,Dona,675
2011,DISTRICTE 1,11,Home,656
2011,DISTRICTE 1,12,Dona,778
2011,DISTRICTE 1,12,Home,779
2011,DISTRICTE 1,13,Dona,521
2011,DISTRICTE 1,13,Home,500
2011,DISTRICTE 1,14,Dona,1116
2011,DISTRICTE 1,14,Home,1110
2011,DISTRICTE 1,15,Dona,723
2011,DISTRICTE 1,15,Home,688
2011,DISTRICTE 1,16,Dona,1202
2011,DISTRICTE 1,16,Home,1097
2011,DISTRICTE 1,17,Dona,1164
2011,DISTRICTE 1,17,Home,1003
2011,DISTRICTE 1,18,Dona,318
2011,DISTRICTE 1,18,Home,290
2011,DISTRICTE 1,19,Dona,735
2011,DISTRICTE 1,19,Home,776
2011,DISTRICTE 1,2,Dona,782
2011,DISTRICTE 1,2,Home,680
2011,DISTRICTE 1,20,Dona,682
2011,DISTRICTE 1,20,Home,636
2011,DISTRICTE 1,21,Dona,752
2011,DISTRICTE 1,21,Home,695
2011,DISTRICTE 1,22,Dona,953
2011,DISTRICTE 1,22,Home,899
2011,DISTRICTE 1,23,Dona,649
2011,DISTRICTE 1,23,Home,632
2011,DISTRICTE 1,24,Dona,438
2011,DISTRICTE 1,24,Home,373
2011,DISTRICTE 1,4,Dona,964
2011,DISTRICTE 1,4,Home,895
2011,DISTRICTE 1,5,Dona,671
2011,DISTRICTE 1,5,Home,588
2011,DISTRICTE 1,6,Dona,789
2011,DISTRICTE 1,6,Home,761
2011,DISTRICTE 1,7,Dona,939
2011,DISTRICTE 1,7,Home,791
2011,DISTRICTE 1,8,Dona,1260
2011,DISTRICTE 1,8,Home,1046
2011,DISTRICTE 1,9,Dona,639
2011,DISTRICTE 1,9,Home,549
2011,DISTRICTE 2,1,Dona,864
2011,DISTRICTE 2,1,Home,912
2011,DISTRICTE 2,11,Dona,631
2011,DISTRICTE 2,11,Home,630
2011,DISTRICTE 2,12,Dona,748
2011,DISTRICTE 2,12,Home,957
2011,DISTRICTE 2,14,Dona,917
2011,DISTRICTE 2,14,Home,949
2011,DISTRICTE 2,15,Dona,441
2011,DISTRICTE 2,15,Home,445
2011,DISTRICTE 2,16,Dona,816
2011,DISTRICTE 2,16,Home,889
2011,DISTRICTE 2,17,Dona,591
2011,DISTRICTE 2,17,Home,651
2011,DISTRICTE 2,2,Dona,819
2011,DISTRICTE 2,2,Home,1060
2011,DISTRICTE 2,3,Dona,867
2011,DISTRICTE 2,3,Home,961
2011,DISTRICTE 2,4,Dona,774
2011,DISTRICTE 2,4,Home,920
2011,DISTRICTE 2,5,Dona,682
2011,DISTRICTE 2,5,Home,771
2011,DISTRICTE 2,6,Dona,517
2011,DISTRICTE 2,6,Home,580
2011,DISTRICTE 2,8,Dona,596
2011,DISTRICTE 2,8,Home,613
2011,DISTRICTE 2,9,Dona,820
2011,DISTRICTE 2,9,Home,906
2011,DISTRICTE 3,1,Dona,897
2011,DISTRICTE 3,1,Home,942
2011,DISTRICTE 3,10,Dona,1030
2011,DISTRICTE 3,10,Home,1017
2011,DISTRICTE 3,11,Dona,875
2011,DISTRICTE 3,11,Home,931
2011,DISTRICTE 3,12,Dona,1092
2011,DISTRICTE 3,12,Home,1049
2011,DISTRICTE 3,14,Dona,882
2011,DISTRICTE 3,14,Home,952
2011,DISTRICTE 3,15,Dona,586
2011,DISTRICTE 3,15,Home,578
2011,DISTRICTE 3,16,Dona,557
2011,DISTRICTE 3,16,Home,664
2011,DISTRICTE 3,17,Dona,662
2011,DISTRICTE 3,17,Home,683
2011,DISTRICTE 3,18,Dona,556
2011,DISTRICTE 3,18,Home,627
2011,DISTRICTE 3,19,Dona,763
2011,DISTRICTE 3,19,Home,841
2011,DISTRICTE 3,2,Dona,719
2011,DISTRICTE 3,2,Home,722
2011,DISTRICTE 3,20,Dona,847
2011,DISTRICTE 3,20,Home,849
2011,DISTRICTE 3,3,Dona,850
2011,DISTRICTE 3,3,Home,870
2011,DISTRICTE 3,4,Dona,635
2011,DISTRICTE 3,4,Home,638
2011,DISTRICTE 3,5,Dona,1074
2011,DISTRICTE 3,5,Home,1017
2011,DISTRICTE 3,6,Dona,1031
2011,DISTRICTE 3,6,Home,1032
2011,DISTRICTE 3,7,Dona,1057
2011,DISTRICTE 3,7,Home,1023
2011,DISTRICTE 3,8,Dona,1069
2011,DISTRICTE 3,8,Home,1018
2011,DISTRICTE 3,9,Dona,1232
2011,DISTRICTE 3,9,Home,1279
2011,DISTRICTE 4,1,Dona,687
2011,DISTRICTE 4,1,Home,645
2011,DISTRICTE 4,10,Dona,604
2011,DISTRICTE 4,10,Home,667
2011,DISTRICTE 4,12,Dona,684
2011,DISTRICTE 4,12,Home,638
2011,DISTRICTE 4,13,Dona,828
2011,DISTRICTE 4,13,Home,776
2011,DISTRICTE 4,14,Dona,686
2011,DISTRICTE 4,14,Home,571
2011,DISTRICTE 4,15,Dona,599
2011,DISTRICTE 4,15,Home,543
2011,DISTRICTE 4,16,Dona,643
2011,DISTRICTE 4,16,Home,586
2011,DISTRICTE 4,17,Dona,711
2011,DISTRICTE 4,17,Home,714
2011,DISTRICTE 4,18,Dona,1339
2011,DISTRICTE 4,18,Home,1247
2011,DISTRICTE 4,19,Dona,690
2011,DISTRICTE 4,19,Home,625
2011,DISTRICTE 4,2,Dona,808
2011,DISTRICTE 4,2,Home,723
2011,DISTRICTE 4,20,Dona,471
2011,DISTRICTE 4,20,Home,492
2011,DISTRICTE 4,21,Dona,581
2011,DISTRICTE 4,21,Home,615
2011,DISTRICTE 4,22,Dona,1135
2011,DISTRICTE 4,22,Home,1213
2011,DISTRICTE 4,23,Dona,1139
2011,DISTRICTE 4,23,Home,1111
2011,DISTRICTE 4,24,Dona,989
2011,DISTRICTE 4,24,Home,1031
2011,DISTRICTE 4,25,Dona,641
2011,DISTRICTE 4,25,Home,555
2011,DISTRICTE 4,26,Dona,753
2011,DISTRICTE 4,26,Home,647
2011,DISTRICTE 4,3,Dona,878
2011,DISTRICTE 4,3,Home,799
2011,DISTRICTE 4,4,Dona,758
2011,DISTRICTE 4,4,Home,680
2011,DISTRICTE 4,5,Dona,867
2011,DISTRICTE 4,5,Home,828
2011,DISTRICTE 4,6,Dona,994
2011,DISTRICTE 4,6,Home,965
2011,DISTRICTE 4,7,Dona,1249
2011,DISTRICTE 4,7,Home,1203
2011,DISTRICTE 4,8,Dona,583
2011,DISTRICTE 4,8,Home,590
2011,DISTRICTE 4,9,Dona,623
2011,DISTRICTE 4,9,Home,626
2011,DISTRICTE 5,1,Dona,959
2011,DISTRICTE 5,1,Home,1014
2011,DISTRICTE 5,10,Dona,1024
2011,DISTRICTE 5,10,Home,990
2011,DISTRICTE 5,11,Dona,969
2011,DISTRICTE 5,11,Home,930
2011,DISTRICTE 5,12,Dona,404
2011,DISTRICTE 5,12,Home,358
2011,DISTRICTE 5,13,Dona,731
2011,DISTRICTE 5,13,Home,713
2011,DISTRICTE 5,14,Dona,1161
2011,DISTRICTE 5,14,Home,1151
2011,DISTRICTE 5,15,Dona,1048
2011,DISTRICTE 5,15,Home,1084
2011,DISTRICTE 5,16,Dona,1164
2011,DISTRICTE 5,16,Home,1148
2011,DISTRICTE 5,17,Dona,943
2011,DISTRICTE 5,17,Home,907
2011,DISTRICTE 5,18,Dona,649
2011,DISTRICTE 5,18,Home,565
2011,DISTRICTE 5,19,Dona,528
2011,DISTRICTE 5,19,Home,554
2011,DISTRICTE 5,2,Dona,718
2011,DISTRICTE 5,2,Home,634
2011,DISTRICTE 5,20,Dona,808
2011,DISTRICTE 5,20,Home,746
2011,DISTRICTE 5,21,Dona,985
2011,DISTRICTE 5,21,Home,880
2011,DISTRICTE 5,22,Dona,360
2011,DISTRICTE 5,22,Home,361
2011,DISTRICTE 5,23,Dona,838
2011,DISTRICTE 5,23,Home,730
2011,DISTRICTE 5,24,Dona,773
2011,DISTRICTE 5,24,Home,718
2011,DISTRICTE 5,25,Dona,586
2011,DISTRICTE 5,25,Home,599
2011,DISTRICTE 5,26,Dona,649
2011,DISTRICTE 5,26,Home,578
2011,DISTRICTE 5,27,Dona,645
2011,DISTRICTE 5,27,Home,636
2011,DISTRICTE 5,28,Dona,619
2011,DISTRICTE 5,28,Home,594
2011,DISTRICTE 5,29,Dona,591
2011,DISTRICTE 5,29,Home,616
2011,DISTRICTE 5,3,Dona,991
2011,DISTRICTE 5,3,Home,976
2011,DISTRICTE 5,4,Dona,766
2011,DISTRICTE 5,4,Home,722
2011,DISTRICTE 5,5,Dona,503
2011,DISTRICTE 5,5,Home,461
2011,DISTRICTE 5,6,Dona,1030
2011,DISTRICTE 5,6,Home,964
2011,DISTRICTE 5,7,Dona,618
2011,DISTRICTE 5,7,Home,580
2011,DISTRICTE 5,8,Dona,925
2011,DISTRICTE 5,8,Home,858
2011,DISTRICTE 5,9,Dona,942
2011,DISTRICTE 5,9,Home,853
2011,DISTRICTE 6,1,Dona,592
2011,DISTRICTE 6,1,Home,568
2011,DISTRICTE 6,10,Dona,1048
2011,DISTRICTE 6,10,Home,1062
2011,DISTRICTE 6,11,Dona,846
2011,DISTRICTE 6,11,Home,808
2011,DISTRICTE 6,12,Dona,697
2011,DISTRICTE 6,12,Home,684
2011,DISTRICTE 6,13,Dona,491
2011,DISTRICTE 6,13,Home,500
2011,DISTRICTE 6,14,Dona,622
2011,DISTRICTE 6,14,Home,678
2011,DISTRICTE 6,16,Dona,854
2011,DISTRICTE 6,16,Home,823
2011,DISTRICTE 6,18,Dona,641
2011,DISTRICTE 6,18,Home,638
2011,DISTRICTE 6,2,Dona,858
2011,DISTRICTE 6,2,Home,876
2011,DISTRICTE 6,20,Dona,942
2011,DISTRICTE 6,20,Home,920
2011,DISTRICTE 6,23,Dona,657
2011,DISTRICTE 6,23,Home,689
2011,DISTRICTE 6,24,Dona,1199
2011,DISTRICTE 6,24,Home,1234
2011,DISTRICTE 6,25,Dona,1046
2011,DISTRICTE 6,25,Home,1056
2011,DISTRICTE 6,26,Dona,858
2011,DISTRICTE 6,26,Home,838
2011,DISTRICTE 6,27,Dona,683
2011,DISTRICTE 6,27,Home,669
2011,DISTRICTE 6,28,Dona,795
2011,DISTRICTE 6,28,Home,782
2011,DISTRICTE 6,29,Dona,520
2011,DISTRICTE 6,29,Home,546
2011,DISTRICTE 6,3,Dona,1101
2011,DISTRICTE 6,3,Home,1122
2011,DISTRICTE 6,30,Dona,389
2011,DISTRICTE 6,30,Home,390
2011,DISTRICTE 6,31,Dona,502
2011,DISTRICTE 6,31,Home,501
2011,DISTRICTE 6,32,Dona,355
2011,DISTRICTE 6,32,Home,393
2011,DISTRICTE 6,33,Dona,678
2011,DISTRICTE 6,33,Home,689
2011,DISTRICTE 6,4,Dona,740
2011,DISTRICTE 6,4,Home,791
2011,DISTRICTE 6,5,Dona,720
2011,DISTRICTE 6,5,Home,752
2011,DISTRICTE 6,6,Dona,772
2011,DISTRICTE 6,6,Home,796
2011,DISTRICTE 6,8,Dona,1078
2011,DISTRICTE 6,8,Home,1024
2011,DISTRICTE 6,9,Dona,653
2011,DISTRICTE 6,9,Home,661
2012,DISTRICTE 1,1,Dona,707
2012,DISTRICTE 1,1,Home,578
2012,DISTRICTE 1,10,Dona,659
2012,DISTRICTE 1,10,Home,647
2012,DISTRICTE 1,11,Dona,679
2012,DISTRICTE 1,11,Home,656
2012,DISTRICTE 1,12,Dona,776
2012,DISTRICTE 1,12,Home,788
2012,DISTRICTE 1,13,Dona,515
2012,DISTRICTE 1,13,Home,515
2012,DISTRICTE 1,14,Dona,1129
2012,DISTRICTE 1,14,Home,1105
2012,DISTRICTE 1,15,Dona,718
2012,DISTRICTE 1,15,Home,677
2012,DISTRICTE 1,16,Dona,1212
2012,DISTRICTE 1,16,Home,1092
2012,DISTRICTE 1,17,Dona,1153
2012,DISTRICTE 1,17,Home,998
2012,DISTRICTE 1,18,Dona,306
2012,DISTRICTE 1,18,Home,280
2012,DISTRICTE 1,19,Dona,735
2012,DISTRICTE 1,19,Home,785
2012,DISTRICTE 1,2,Dona,792
2012,DISTRICTE 1,2,Home,699
2012,DISTRICTE 1,20,Dona,692
2012,DISTRICTE 1,20,Home,638
2012,DISTRICTE 1,21,Dona,756
2012,DISTRICTE 1,21,Home,717
2012,DISTRICTE 1,22,Dona,985
2012,DISTRICTE 1,22,Home,920
2012,DISTRICTE 1,23,Dona,674
2012,DISTRICTE 1,23,Home,643
2012,DISTRICTE 1,24,Dona,441
2012,DISTRICTE 1,24,Home,377
2012,DISTRICTE 1,4,Dona,1004
2012,DISTRICTE 1,4,Home,932
2012,DISTRICTE 1,5,Dona,667
2012,DISTRICTE 1,5,Home,594
2012,DISTRICTE 1,6,Dona,798
2012,DISTRICTE 1,6,Home,781
2012,DISTRICTE 1,7,Dona,979
2012,DISTRICTE 1,7,Home,813
2012,DISTRICTE 1,8,Dona,1303
2012,DISTRICTE 1,8,Home,1103
2012,DISTRICTE 1,9,Dona,667
2012,DISTRICTE 1,9,Home,582
2012,DISTRICTE 2,1,Dona,890
2012,DISTRICTE 2,1,Home,941
2012,DISTRICTE 2,11,Dona,638
2012,DISTRICTE 2,11,Home,629
2012,DISTRICTE 2,12,Dona,737
2012,DISTRICTE 2,12,Home,921
2012,DISTRICTE 2,14,Dona,959
2012,DISTRICTE 2,14,Home,969
2012,DISTRICTE 2,15,Dona,435
2012,DISTRICTE 2,15,Home,430
2012,DISTRICTE 2,16,Dona,873
2012,DISTRICTE 2,16,Home,953
2012,DISTRICTE 2,17,Dona,686
2012,DISTRICTE 2,17,Home,724
2012,DISTRICTE 2,2,Dona,818
2012,DISTRICTE 2,2,Home,1047
2012,DISTRICTE 2,3,Dona,870
2012,DISTRICTE 2,3,Home,926
2012,DISTRICTE 2,4,Dona,767
2012,DISTRICTE 2,4,Home,872
2012,DISTRICTE 2,5,Dona,650
2012,DISTRICTE 2,5,Home,743
2012,DISTRICTE 2,6,Dona,549
2012,DISTRICTE 2,6,Home,587
2012,DISTRICTE 2,8,Dona,605
2012,DISTRICTE 2,8,Home,609
2012,DISTRICTE 2,9,Dona,856
2012,DISTRICTE 2,9,Home,897
2012,DISTRICTE 3,1,Dona,919
2012,DISTRICTE 3,1,Home,943
2012,DISTRICTE 3,10,Dona,1059
2012,DISTRICTE 3,10,Home,1026
2012,DISTRICTE 3,11,Dona,902
2012,DISTRICTE 3,11,Home,951
2012,DISTRICTE 3,12,Dona,1089
2012,DISTRICTE 3,12,Home,1077
2012,DISTRICTE 3,14,Dona,891
2012,DISTRICTE 3,14,Home,950
2012,DISTRICTE 3,15,Dona,645
2012,DISTRICTE 3,15,Home,609
2012,DISTRICTE 3,16,Dona,556
2012,DISTRICTE 3,16,Home,671
2012,DISTRICTE 3,17,Dona,659
2012,DISTRICTE 3,17,Home,647
2012,DISTRICTE 3,18,Dona,558
2012,DISTRICTE 3,18,Home,625
2012,DISTRICTE 3,19,Dona,761
2012,DISTRICTE 3,19,Home,841
2012,DISTRICTE 3,2,Dona,722
2012,DISTRICTE 3,2,Home,727
2012,DISTRICTE 3,20,Dona,855
2012,DISTRICTE 3,20,Home,851
2012,DISTRICTE 3,3,Dona,870
2012,DISTRICTE 3,3,Home,883
2012,DISTRICTE 3,4,Dona,637
2012,DISTRICTE 3,4,Home,626
2012,DISTRICTE 3,5,Dona,1108
2012,DISTRICTE 3,5,Home,1058
2012,DISTRICTE 3,6,Dona,1051
2012,DISTRICTE 3,6,Home,1029
2012,DISTRICTE 3,7,Dona,1082
2012,DISTRICTE 3,7,Home,1013
2012,DISTRICTE 3,8,Dona,1069
2012,DISTRICTE 3,8,Home,1013
2012,DISTRICTE 3,9,Dona,1266
2012,DISTRICTE 3,9,Home,1323
2012,DISTRICTE 4,1,Dona,699
2012,DISTRICTE 4,1,Home,658
2012,DISTRICTE 4,10,Dona,628
2012,DISTRICTE 4,10,Home,707
2012,DISTRICTE 4,12,Dona,669
2012,DISTRICTE 4,12,Home,643
2012,DISTRICTE 4,13,Dona,826
2012,DISTRICTE 4,13,Home,782
2012,DISTRICTE 4,14,Dona,682
2012,DISTRICTE 4,14,Home,584
2012,DISTRICTE 4,15,Dona,612
2012,DISTRICTE 4,15,Home,552
2012,DISTRICTE 4,16,Dona,638
2012,DISTRICTE 4,16,Home,598
2012,DISTRICTE 4,17,Dona,724
2012,DISTRICTE 4,17,Home,698
2012,DISTRICTE 4,18,Dona,1300
2012,DISTRICTE 4,18,Home,1221
2012,DISTRICTE 4,19,Dona,673
2012,DISTRICTE 4,19,Home,588
2012,DISTRICTE 4,2,Dona,795
2012,DISTRICTE 4,2,Home,741
2012,DISTRICTE 4,20,Dona,465
2012,DISTRICTE 4,20,Home,487
2012,DISTRICTE 4,21,Dona,568
2012,DISTRICTE 4,21,Home,611
2012,DISTRICTE 4,22,Dona,1143
2012,DISTRICTE 4,22,Home,1215
2012,DISTRICTE 4,23,Dona,1154
2012,DISTRICTE 4,23,Home,1102
2012,DISTRICTE 4,24,Dona,994
2012,DISTRICTE 4,24,Home,1037
2012,DISTRICTE 4,25,Dona,662
2012,DISTRICTE 4,25,Home,560
2012,DISTRICTE 4,26,Dona,773
2012,DISTRICTE 4,26,Home,654
2012,DISTRICTE 4,3,Dona,887
2012,DISTRICTE 4,3,Home,823
2012,DISTRICTE 4,4,Dona,777
2012,DISTRICTE 4,4,Home,685
2012,DISTRICTE 4,5,Dona,862
2012,DISTRICTE 4,5,Home,852
2012,DISTRICTE 4,6,Dona,998
2012,DISTRICTE 4,6,Home,993
2012,DISTRICTE 4,7,Dona,1294
2012,DISTRICTE 4,7,Home,1261
2012,DISTRICTE 4,8,Dona,590
2012,DISTRICTE 4,8,Home,592
2012,DISTRICTE 4,9,Dona,629
2012,DISTRICTE 4,9,Home,627
2012,DISTRICTE 5,1,Dona,992
2012,DISTRICTE 5,1,Home,1043
