MES_ANY,TIPUS_VEHICLE,TOTAL
102012,Turismes,473
12004,Turismes,206
32001,Ciclomotors,23
61995,Turismes,43
12009,Camions,31
62001,Turismes,213
62009,Turismes,420
82003,Turismes,151
82001,Turismes,124
11979,Turismes,12
72013,Motocicletes,118
62014,Turismes,664
102005,Camions,67
32004,Camions,50
101990,Camions,4
62003,Turismes,260
111999,Motocicletes,14
71994,Motocicletes,10
121995,Turismes,30
42005,Turismes,432
42007,Turismes,392
52011,Turismes,392
102004,Ciclomotors,21
92016,Motocicletes,222
72015,Turismes,1061
102012,Motocicletes,77
92011,Turismes,398
72010,Turismes,418
72007,Ciclomotors,43
102007,Camions,93
62011,Motocicletes,72
22016,Remolcs,20
111998,Turismes,97
101998,Ciclomotors,19
92013,Motocicletes,91
41990,Turismes,16
31990,Motocicletes,4
92015,Camions,112
122004,Motocicletes,37
62012,Turismes,453
72009,Tractors,6
51997,Turismes,46
82009,Turismes,282
22012,Tractors,7
42001,Remolcs,5
22003,Camions,28
42016,Ciclomotors,32
32002,Motocicletes,14
71997,Turismes,84
42000,Motocicletes,6
121990,Turismes,12
91988,Turismes,7
101992,Turismes,21
61990,Turismes,14
122013,Camions,87
62015,Motocicletes,190
62013,Camions,48
32003,Camions,37
32002,Ciclomotors,23
21990,Turismes,8
32008,Remolcs,18
31989,Turismes,9
112005,Motocicletes,50
81998,Turismes,56
12009,Ciclomotors,20
102008,Remolcs,6
101995,Turismes,25
51993,Motocicletes,8
62012,Motocicletes,91
112006,Ciclomotors,21
11981,Turismes,16
32000,Motocicletes,12
61997,Motocicletes,6
71988,Motocicletes,10
92001,Camions,8
52015,Ciclomotors,33
42015,Ciclomotors,26
82015,Ciclomotors,19
102001,Camions,27
51989,Camions,6
21992,Turismes,2
91990,Turismes,11
102006,Motocicletes,66
11988,Camions,4
32012,Motocicletes,79
92010,Motocicletes,88
42011,Tractors,9
72011,Remolcs,12
101991,Ciclomotors,7
81987,Motocicletes,1
11998,Ciclomotors,12
91999,Ciclomotors,19
11996,Ciclomotors,10
82013,Ciclomotors,24
82005,Ciclomotors,22
72001,Motocicletes,18
52008,Ciclomotors,22
82005,Camions,29
102016,Remolcs,18
51996,Camions,5
52008,Camions,65
12014,Camions,70
92011,Camions,53
92004,Remolcs,13
72015,Ciclomotors,28
92000,Camions,14
102006,Ciclomotors,22
71994,Remolcs,3
82005,Motocicletes,31
52009,Remolcs,8
72015,Tractors,16
91993,Motocicletes,16
122000,Motocicletes,7
121999,Motocicletes,16
31998,Motocicletes,10
81991,Motocicletes,5
22001,Ciclomotors,23
71998,Motocicletes,11
71989,Ciclomotors,4
12007,Ciclomotors,23
82011,Motocicletes,49
121990,Camions,4
42016,Remolcs,18
102004,Remolcs,9
81991,Turismes,6
122010,Motocicletes,36
112002,Ciclomotors,8
112015,Autobusos,2
81987,Turismes,6
52016,Remolcs,14
61995,Motocicletes,7
12005,Tractors,4
62006,Ciclomotors,22
111997,Camions,5
91991,Motocicletes,4
52014,Tractors,10
42006,Ciclomotors,27
72004,Ciclomotors,25
61996,Camions,3
21989,Turismes,10
21979,Turismes,1
11995,Turismes,15
111996,Ciclomotors,6
121994,Motocicletes,6
61997,Camions,7
121989,Camions,2
41991,Ciclomotors,3
122008,Tractors,4
62001,Motocicletes,15
81997,Camions,3
51999,Motocicletes,11
72000,Ciclomotors,26
61986,Motocicletes,5
31999,Ciclomotors,11
111983,Turismes,1
71977,Turismes,1
112006,Tractors,11
32008,Ciclomotors,23
32014,Ciclomotors,24
101991,Motocicletes,4
21989,Camions,2
122000,Ciclomotors,17
111995,Ciclomotors,3
61997,Remolcs,3
42013,Tractors,8
101986,Camions,2
101993,Motocicletes,5
11987,Turismes,4
112001,Motocicletes,9
52005,Ciclomotors,19
72015,Remolcs,16
52001,Tractors,5
112012,Ciclomotors,24
91991,Ciclomotors,7
51987,Motocicletes,6
122011,Remolcs,4
62014,Ciclomotors,22
31998,Ciclomotors,11
101996,Remolcs,4
62011,Ciclomotors,17
82008,Camions,16
22010,Camions,40
41999,Motocicletes,11
51987,Turismes,5
22009,Remolcs,3
61989,Remolcs,2
62009,Remolcs,8
111992,Remolcs,1
72008,Ciclomotors,29
62016,Tractors,11
52002,Motocicletes,12
71996,Remolcs,4
11991,Camions,5
72003,Remolcs,10
11987,Motocicletes,3
82006,Tractors,13
81994,Motocicletes,5
62012,Remolcs,8
92016,Tractors,14
71978,Motocicletes,1
102006,Remolcs,8
112012,Tractors,6
21995,Motocicletes,3
121990,Motocicletes,2
11992,Ciclomotors,9
82014,Tractors,5
101997,Remolcs,1
112003,Ciclomotors,13
62003,Tractors,8
42012,Remolcs,8
101993,Tractors,1
101985,Motocicletes,2
101989,Ciclomotors,5
122014,Remolcs,14
92004,Tractors,4
81996,Ciclomotors,1
61999,Tractors,7
31998,Remolcs,1
91995,Motocicletes,5
11996,Remolcs,1
61984,Motocicletes,1
71996,Ciclomotors,4
71992,Motocicletes,2
51989,Ciclomotors,4
11994,Remolcs,1
72013,Tractors,7
122015,Tractors,7
71992,Turismes,2
101996,Camions,8
82011,Remolcs,3
41989,Ciclomotors,4
71990,Ciclomotors,2
12013,Tractors,5
91996,Ciclomotors,3
61976,Turismes,1
62000,Tractors,5
21987,Tractors,1
92015,Autobusos,2
42003,Autobusos,1
52000,Autobusos,2
121989,Autobusos,8
121998,Tractors,3
21992,Camions,1
21990,Camions,1
31993,Tractors,1
32015,Tractors,10
22000,Tractors,2
122012,Tractors,7
92011,Tractors,2
11998,Tractors,1
41991,Camions,1
31978,Turismes,1
11998,Remolcs,1
42015,Autobusos,1
42002,Tractors,1
52015,Autobusos,1
71991,Tractors,1
102004,Camions,60
22006,Turismes,361
102010,Turismes,364
102015,Motocicletes,157
22001,Turismes,172
22012,Motocicletes,49
112002,Turismes,174
12013,Camions,55
72016,Turismes,1212
72008,Turismes,460
101994,Motocicletes,6
72013,Turismes,630
71993,Turismes,18
82015,Turismes,586
112015,Turismes,934
32007,Remolcs,16
91998,Camions,10
42010,Turismes,443
12008,Camions,41
72000,Turismes,186
82003,Camions,19
111996,Turismes,28
102007,Turismes,513
102007,Motocicletes,70
52006,Motocicletes,65
102016,Motocicletes,249
92014,Turismes,584
121992,Turismes,16
12013,Turismes,429
52013,Turismes,464
12010,Motocicletes,32
122010,Turismes,504
102009,Turismes,476
91989,Turismes,7
41999,Turismes,96
61967,Motocicletes,1
51991,Turismes,13
72006,Camions,73
11992,Camions,51
21999,Turismes,113
112004,Turismes,374
82008,Turismes,256
112006,Camions,71
32003,Turismes,220
122011,Ciclomotors,12
62005,Remolcs,5
61994,Remolcs,5
52003,Turismes,248
122009,Tractors,10
92000,Ciclomotors,20
22013,Motocicletes,64
12011,Turismes,262
92008,Camions,30
82001,Tractors,3
72016,Ciclomotors,27
61996,Turismes,38
121992,Motocicletes,7
121997,Turismes,75
11990,Motocicletes,7
82006,Ciclomotors,26
122002,Turismes,224
61997,Turismes,59
