ï»¿DATA_REFERENCIA,LLOC_NAIXAMENT,NACIONALITAT,NIVELL_ESTUDI,POBLACIO
2016,BANGLA DESH                   ,ESPANYA                       ,Ensenyament primari incomplert,2
2013,"EMIRATS ÀRABS UNITS, ELS      ","SUDAN, EL                     ","Batxiller Elemental, Graduat E",1
2015,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Formació professional de Segon,8
2014,FRANÇA                        ,ALEMANYA                      ,"Llicenciat Universitari, Arqui",1
2015,PORTUGAL                      ,PORTUGAL                      ,"Llicenciat Universitari, Arqui",14
2011,COLÒMBIA                      ,COLÒMBIA                      ,Diplomat en Escoles Università,43
2015,VENEÇUELA                     ,PORTUGAL                      ,Diplomat en Escoles Università,2
2015,PORTUGAL                      ,ESPANYA                       ,No aplicable per ser més petit,1
2015,"EQUADOR, L                    ",ESPANYA                       ,"Llicenciat Universitari, Arqui",67
2016,"ESTATS UNITS D AMÈRICA, ELS   ",COLÒMBIA                      ,Batxiller superior. BUP. Batxi,1
2015,FRANÇA                        ,ESPANYA                       ,"Llicenciat Universitari, Arqui",30
2013,ALTRES PAÏSOS D ÀSIA          ,"ESTATS UNITS D AMÈRICA, ELS   ",Ensenyament primari incomplert,1
2013,ITÀLIA                        ,ITÀLIA                        ,Batxiller superior. BUP. Batxi,34
2011,COLÒMBIA                      ,ESPANYA                       ,Diplomat en Escoles Università,25
2016,CUBA                          ,ESPANYA                       ,Ensenyament primari incomplert,45
2017,ROMANIA                       ,ROMANIA                       ,Formació professional de Segon,33
2014,BOLÍVIA                       ,BOLÍVIA                       ,Batxiller superior. BUP. Batxi,77
2016,"REPÚBLICA DOMINICANA, LA      ","REPÚBLICA DOMINICANA, LA      ",Ensenyament primari incomplert,117
2015,PORTUGAL                      ,ESPANYA                       ,"Batxiller Elemental, Graduat E",3
2017,BOLÍVIA                       ,ESPANYA                       ,Formació professional Primer G,18
2012,"URUGUAI, L                    ",ESPANYA                       ,No aplicable per ser més petit,5
2013,FRANÇA                        ,ESPANYA                       ,Doctorat i Estudis de postgrau,5
2016,"REPÚBLICA DOMINICANA, LA      ",ITÀLIA                        ,Batxiller superior. BUP. Batxi,2
2012,"REGNE UNIT, EL                ",PORTUGAL                      ,Batxiller superior. BUP. Batxi,1
2016,NIGÈRIA                       ,NIGÈRIA                       ,Formació professional de Segon,2
2016,MALI                          ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2016,ESPANYA                       ,"MARROC, EL                    ",Formació professional Primer G,2
2017,"ÍNDIA, L                      ","ÍNDIA, L                      ",Sense estudis                 ,7
2016,ARMÈNIA                       ,RÚSSIA                        ,Batxiller superior. BUP. Batxi,1
2012,COLÒMBIA                      ,ESPANYA                       ,Doctorat i Estudis de postgrau,11
2017,COSTA RICA                    ,COSTA RICA                    ,Batxiller superior. BUP. Batxi,2
2017,ROMANIA                       ,ROMANIA                       ,Sense estudis                 ,5
2011,ALGÈRIA                       ,ESPANYA                       ,Diplomat en Escoles Università,1
2011,PORTUGAL                      ,ESPANYA                       ,No aplicable per ser més petit,3
2014,"BRASIL, EL                    ","BRASIL, EL                    ",Formació professional Primer G,8
2017,POLÒNIA                       ,POLÒNIA                       ,Altres titulacions mitjanes (A,4
2017,POLÒNIA                       ,ESPANYA                       ,"Llicenciat Universitari, Arqui",4
2011,"PANAMÀ, EL                    ",ESPANYA                       ,Diplomat en Escoles Università,1
2012,"BRASIL, EL                    ","BRASIL, EL                    ",Ensenyament primari incomplert,86
2016,"PERÚ, EL                      ","PERÚ, EL                      ",Doctorat i Estudis de postgrau,7
2015,"BRASIL, EL                    ",ESPANYA                       ,Sense estudis                 ,2
2016,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ","Llicenciat Universitari, Arqui",1
2013,"BRASIL, EL                    ",PORTUGAL                      ,Desconegut                    ,1
2016,COLÒMBIA                      ,COLÒMBIA                      ,Doctorat i Estudis de postgrau,10
2017,"REPÚBLICA DOMINICANA, LA      ",ESPANYA                       ,Batxiller superior. BUP. Batxi,94
2013,NIGÈRIA                       ,NIGÈRIA                       ,Sense estudis                 ,4
2012,"REGNE UNIT, EL                ","REGNE UNIT, EL                ",No aplicable per ser més petit,6
2017,SIERRA LEONE                  ,SIERRA LEONE                  ,Ensenyament primari incomplert,1
2013,"PAÏSOS BAIXOS, ELS            ","MARROC, EL                    ","Batxiller Elemental, Graduat E",1
2012,ALEMANYA                      ,ALEMANYA                      ,Doctorat i Estudis de postgrau,1
2014,JORDÀNIA                      ,ESPANYA                       ,"Llicenciat Universitari, Arqui",2
2013,"COSTA D IVORI, LA             ","COSTA D IVORI, LA             ",Batxiller superior. BUP. Batxi,1
2011,"LÍBAN, EL                     ","LÍBAN, EL                     ",Ensenyament primari incomplert,1
2015,"MARROC, EL                    ","MARROC, EL                    ",No aplicable per ser més petit,269
2016,BULGÀRIA                      ,BULGÀRIA                      ,Desconegut                    ,18
2016,COLÒMBIA                      ,COLÒMBIA                      ,Desconegut                    ,21
2011,"PERÚ, EL                      ","PERÚ, EL                      ",Sense estudis                 ,8
2012,ESPANYA                       ,"PARAGUAI, EL                  ",Ensenyament primari incomplert,1
2017,HONDURES                      ,HONDURES                      ,Arquitecte o Enginyer Tècnic  ,3
2012,TURQUIA                       ,TURQUIA                       ,Arquitecte o Enginyer Tècnic  ,1
2013,SUÏSSA                        ,ESPANYA                       ,No aplicable per ser més petit,3
2017,"REPÚBLICA DOMINICANA, LA      ",ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,2
2017,SÍRIA                         ,ESPANYA                       ,No aplicable per ser més petit,1
2013,COLÒMBIA                      ,ESPANYA                       ,Formació professional de Segon,20
2012,ALEMANYA                      ,SÍRIA                         ,No aplicable per ser més petit,1
2017,PORTUGAL                      ,FRANÇA                        ,"Batxiller Elemental, Graduat E",1
2015,"NEPAL,EL                      ",ESPANYA                       ,No aplicable per ser més petit,5
2015,VENEÇUELA                     ,ESPANYA                       ,Formació professional de Segon,9
2016,"SENEGAL, EL                   ","SENEGAL, EL                   ",Altres titulacions mitjanes (A,5
2017,"ÍNDIA, L                      ","ÍNDIA, L                      ",Formació professional de Segon,4
2015,ALGÈRIA                       ,ESPANYA                       ,Diplomat en Escoles Università,2
2012,SUD-ÀFRICA                    ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2012,CUBA                          ,ITÀLIA                        ,"Llicenciat Universitari, Arqui",2
2016,VENEÇUELA                     ,GRÈCIA                        ,Diplomat en Escoles Università,1
2011,XILE                          ,XILE                          ,Formació professional de Segon,35
2015,"NEPAL,EL                      ","NEPAL,EL                      ",Desconegut                    ,1
2014,CUBA                          ,CUBA                          ,"Batxiller Elemental, Graduat E",86
2012,ESPANYA                       ,"REPÚBLICA DOMINICANA, LA      ",No aplicable per ser més petit,53
2015,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Sense estudis                 ,4
2015,"REPÚBLICA DOMINICANA, LA      ",ESPANYA                       ,No aplicable per ser més petit,13
2012,MOLDÀVIA                      ,MOLDÀVIA                      ,Desconegut                    ,3
2012,ANDORRA                       ,ESPANYA                       ,"Llicenciat Universitari, Arqui",5
2017,FRANÇA                        ,"SENEGAL, EL                   ",Ensenyament primari incomplert,1
2014,NO CONSTA                     ,NO CONSTA                     ,No sap llegir ni escriure     ,1
2012,PORTUGAL                      ,ESPANYA                       ,No sap llegir ni escriure     ,2
2011,"ARGENTINA, L                  ",ALEMANYA                      ,Diplomat en Escoles Università,1
2016,ITÀLIA                        ,ITÀLIA                        ,Altres titulacions mitjanes (A,6
2013,EL SALVADOR                   ,EL SALVADOR                   ,Sense estudis                 ,1
2013,"ÍNDIA, L                      ","ÍNDIA, L                      ",Doctorat i Estudis de postgrau,4
2017,"CONGO, EL                     ","CONGO, EL                     ",Diplomat en Escoles Università,1
2015,"CAMERUN, EL                   ",ESPANYA                       ,Formació professional de Segon,1
2017,"REPÚBLICA DOMINICANA, LA      ","ARGENTINA, L                  ",Batxiller superior. BUP. Batxi,2
2013,"ARGENTINA, L                  ",ITÀLIA                        ,Altres titulacions mitjanes (A,5
2013,EL SALVADOR                   ,EL SALVADOR                   ,No aplicable per ser més petit,1
2011,RÚSSIA                        ,RÚSSIA                        ,Batxiller superior. BUP. Batxi,27
2016,ESPANYA                       ,"MARROC, EL                    ",Batxiller superior. BUP. Batxi,3
2015,ARMÈNIA                       ,ARMÈNIA                       ,Altres titulacions mitjanes (A,2
2015,ÀUSTRIA                       ,ÀUSTRIA                       ,"Llicenciat Universitari, Arqui",4
2017,NICARAGUA                     ,NICARAGUA                     ,Ensenyament primari incomplert,10
2013,"ARÀBIA SAUDITA, L             ",ESPANYA                       ,Diplomat en Escoles Università,1
2014,SÍRIA                         ,ESPANYA                       ,Diplomat en Escoles Università,1
2011,"FILIPINES, LES                ","FILIPINES, LES                ","Batxiller Elemental, Graduat E",2
2012,EL SALVADOR                   ,ITÀLIA                        ,"Llicenciat Universitari, Arqui",1
2017,GUATEMALA                     ,GUATEMALA                     ,Formació professional de Segon,2
2013,ITÀLIA                        ,ITÀLIA                        ,Formació professional Primer G,7
2014,"REPÚBLICA TXECA, LA           ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2011,"ÍNDIA, L                      ","ÍNDIA, L                      ",Desconegut                    ,7
2016,ROMANIA                       ,ROMANIA                       ,Ensenyament primari incomplert,269
2012,"ARGENTINA, L                  ",ESPANYA                       ,Altres titulacions mitjanes (A,4
2013,BÈLGICA                       ,BÈLGICA                       ,"Batxiller Elemental, Graduat E",2
2017,JORDÀNIA                      ,JORDÀNIA                      ,Batxiller superior. BUP. Batxi,2
2016,"MARROC, EL                    ",ESPANYA                       ,Desconegut                    ,51
2017,EGIPTE                        ,EGIPTE                        ,"Batxiller Elemental, Graduat E",5
2015,JORDÀNIA                      ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2012,ALGÈRIA                       ,ALGÈRIA                       ,Sense estudis                 ,3
2011,ALEMANYA                      ,ALEMANYA                      ,Sense estudis                 ,1
2011,TAIWAN                        ,ESPANYA                       ,Ensenyament primari incomplert,1
2012,CUBA                          ,ESPANYA                       ,Ensenyament primari incomplert,36
2016,VENEÇUELA                     ,ITÀLIA                        ,Arquitecte o Enginyer Tècnic  ,4
2014,"ARGENTINA, L                  ","ARGENTINA, L                  ",Sense estudis                 ,2
2011,ITÀLIA                        ,ITÀLIA                        ,Altres titulacions mitjanes (A,6
2012,"SENEGAL, EL                   ","SENEGAL, EL                   ",Diplomat en Escoles Università,26
2016,"REPÚBLICA TXECA, LA           ","REPÚBLICA TXECA, LA           ","Llicenciat Universitari, Arqui",5
2011,HONDURES                      ,ESPANYA                       ,"Batxiller Elemental, Graduat E",7
2013,MOLDÀVIA                      ,MOLDÀVIA                      ,Altres titulacions mitjanes (A,1
2012,CUBA                          ,ESPANYA                       ,Formació professional Primer G,10
2014,CUBA                          ,ESPANYA                       ,Formació professional Primer G,15
2014,"PERÚ, EL                      ",ESPANYA                       ,Desconegut                    ,15
2012,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",No aplicable per ser més petit,8
2015,CUBA                          ,POLÒNIA                       ,Batxiller superior. BUP. Batxi,1
2012,ALEMANYA                      ,ESPANYA                       ,Altres titulacions mitjanes (A,1
2016,"ESTATS UNITS D AMÈRICA, ELS   ",ITÀLIA                        ,"Llicenciat Universitari, Arqui",1
2011,ESPANYA                       ,ALEMANYA                      ,Formació professional de Segon,1
2012,MÈXIC                         ,MÈXIC                         ,Arquitecte o Enginyer Tècnic  ,1
2015,ESLOVÈNIA                     ,ESPANYA                       ,Formació professional de Segon,1
2013,POLÒNIA                       ,ESPANYA                       ,Formació professional Primer G,1
2014,"ARGENTINA, L                  ",ESLOVÈNIA                     ,Formació professional de Segon,2
2016,GUATEMALA                     ,ESPANYA                       ,Formació professional Primer G,2
2014,BÒSNIA I HERCEGOVINA          ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2012,FRANÇA                        ,"SENEGAL, EL                   ",Ensenyament primari incomplert,1
2017,PORTUGAL                      ,ESPANYA                       ,Batxiller superior. BUP. Batxi,2
2015,VENEÇUELA                     ,ESPANYA                       ,Sense estudis                 ,1
2013,MALI                          ,MALI                          ,"Llicenciat Universitari, Arqui",1
2015,ESPANYA                       ,"EQUADOR, L                    ","Batxiller Elemental, Graduat E",3
2011,ESPANYA                       ,POLÒNIA                       ,No aplicable per ser més petit,24
2012,CUBA                          ,ESPANYA                       ,Batxiller superior. BUP. Batxi,50
2015,MOLDÀVIA                      ,MOLDÀVIA                      ,Batxiller superior. BUP. Batxi,3
2014,HONGRIA                       ,HONGRIA                       ,Diplomat en Escoles Università,3
2011,ALTRES PAÏSOS D ÀSIA          ,"ESTATS UNITS D AMÈRICA, ELS   ",Ensenyament primari incomplert,1
2014,"ARGENTINA, L                  ",ESPANYA                       ,Titulats d estudis superiors n,3
2012,HAITÍ                         ,HAITÍ                         ,"Batxiller Elemental, Graduat E",2
2011,"CANADÀ, EL                    ","CANADÀ, EL                    ",Diplomat en Escoles Università,1
2013,EL SALVADOR                   ,EL SALVADOR                   ,"Batxiller Elemental, Graduat E",17
2013,"MARROC, EL                    ",ESPANYA                       ,Sense estudis                 ,142
2012,"EQUADOR, L                    ","EQUADOR, L                    ",Sense estudis                 ,24
2014,POLÒNIA                       ,POLÒNIA                       ,Arquitecte o Enginyer Tècnic  ,3
2017,GRÈCIA                        ,GRÈCIA                        ,Formació professional Primer G,1
2016,TUNÍSIA                       ,ESPANYA                       ,No aplicable per ser més petit,1
2012,GEÒRGIA                       ,GEÒRGIA                       ,Desconegut                    ,12
2017,LITUÀNIA                      ,LITUÀNIA                      ,"Llicenciat Universitari, Arqui",6
2016,ESPANYA                       ,BOLÍVIA                       ,Ensenyament primari incomplert,1
2012,ITÀLIA                        ,ITÀLIA                        ,Desconegut                    ,21
2014,VENEÇUELA                     ,ESPANYA                       ,Doctorat i Estudis de postgrau,10
2015,"PANAMÀ, EL                    ",ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2015,"BRASIL, EL                    ",ESPANYA                       ,Formació professional de Segon,8
2017,"PERÚ, EL                      ",ALEMANYA                      ,Batxiller superior. BUP. Batxi,1
2016,"CANADÀ, EL                    ",ESPANYA                       ,Formació professional de Segon,2
2011,GEÒRGIA                       ,GEÒRGIA                       ,Altres titulacions mitjanes (A,3
2014,"AZERBAIDJAN, L                ",ESPANYA                       ,Ensenyament primari incomplert,2
2012,NIGÈRIA                       ,NIGÈRIA                       ,"Llicenciat Universitari, Arqui",9
2015,"IRAN, L                       ","IRAN, L                       ","Batxiller Elemental, Graduat E",2
2016,UCRAÏNA                       ,UCRAÏNA                       ,Desconegut                    ,19
2017,XILE                          ,ESPANYA                       ,No aplicable per ser més petit,3
2011,"BRASIL, EL                    ",PORTUGAL                      ,Desconegut                    ,3
2014,COSTA RICA                    ,ESPANYA                       ,Ensenyament primari incomplert,2
2012,ANGOLA                        ,ANGOLA                        ,"Batxiller Elemental, Graduat E",2
2013,"BRASIL, EL                    ",ITÀLIA                        ,Ensenyament primari incomplert,1
2014,ESPANYA                       ,"MARROC, EL                    ",Sense estudis                 ,14
2013,"IRAN, L                       ","IRAN, L                       ",Altres titulacions mitjanes (A,3
2014,"SENEGAL, EL                   ","SENEGAL, EL                   ",Sense estudis                 ,89
2011,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Diplomat en Escoles Università,14
2015,ALTRES PAÏSOS D ÀFRICA        ,ALTRES PAÏSOS D ÀFRICA        ,Diplomat en Escoles Università,1
2012,ESPANYA                       ,"XINA, LA                      ",No sap llegir ni escriure     ,2
2012,TAIWAN                        ,"ESTATS UNITS D AMÈRICA, ELS   ",No aplicable per ser més petit,1
2014,RÚSSIA                        ,ESPANYA                       ,Ensenyament primari incomplert,16
2013,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Sense estudis                 ,1
2014,BULGÀRIA                      ,BULGÀRIA                      ,Ensenyament primari incomplert,22
2017,"CAMERUN, EL                   ",ESPANYA                       ,Batxiller superior. BUP. Batxi,2
2013,"SENEGAL, EL                   ",ESPANYA                       ,No aplicable per ser més petit,2
2011,GUATEMALA                     ,ESPANYA                       ,Ensenyament primari incomplert,3
2013,ESPANYA                       ,ANDORRA                       ,Batxiller superior. BUP. Batxi,1
2013,BOLÍVIA                       ,BOLÍVIA                       ,Desconegut                    ,64
2011,MADAGASCAR                    ,MADAGASCAR                    ,Ensenyament primari incomplert,2
2016,"XINA, LA                      ",ESPANYA                       ,No sap llegir ni escriure     ,6
2016,KENYA                         ,ESPANYA                       ,Diplomat en Escoles Università,1
2017,XIPRE                         ,XIPRE                         ,"Llicenciat Universitari, Arqui",1
2017,GHANA                         ,GHANA                         ,Formació professional de Segon,1
2016,"ESTATS UNITS D AMÈRICA, ELS   ",ESPANYA                       ,Ensenyament primari incomplert,3
2011,"LÍBAN, EL                     ","LÍBAN, EL                     ",Formació professional Primer G,1
2015,BANGLA DESH                   ,BANGLA DESH                   ,"Batxiller Elemental, Graduat E",3
2014,"REGNE UNIT, EL                ","REGNE UNIT, EL                ","Llicenciat Universitari, Arqui",30
2011,"EQUADOR, L                    ","EQUADOR, L                    ","Batxiller Elemental, Graduat E",897
2015,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Batxiller superior. BUP. Batxi,3
2011,MOLDÀVIA                      ,MOLDÀVIA                      ,Ensenyament primari incomplert,4
2015,TUNÍSIA                       ,TUNÍSIA                       ,"Llicenciat Universitari, Arqui",2
2011,ESPANYA                       ,MALI                          ,Ensenyament primari incomplert,1
2014,FRANÇA                        ,FRANÇA                        ,Formació professional de Segon,9
2015,BOLÍVIA                       ,XILE                          ,Ensenyament primari incomplert,1
2012,ITÀLIA                        ,"MARROC, EL                    ","Batxiller Elemental, Graduat E",1
2014,MOLDÀVIA                      ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2012,ESPANYA                       ,"GUINEA BISSAU, LA             ",No aplicable per ser més petit,3
2012,COSTA RICA                    ,COSTA RICA                    ,Batxiller superior. BUP. Batxi,1
2013,GHANA                         ,GHANA                         ,"Batxiller Elemental, Graduat E",5
2017,"URUGUAI, L                    ",ESPANYA                       ,Diplomat en Escoles Università,7
2013,ESLOVÀQUIA                    ,ESLOVÀQUIA                    ,"Batxiller Elemental, Graduat E",2
2015,EL SALVADOR                   ,ESPANYA                       ,"Llicenciat Universitari, Arqui",4
2011,BULGÀRIA                      ,BULGÀRIA                      ,Titulats d estudis superiors n,1
2017,"SENEGAL, EL                   ","SENEGAL, EL                   ","Llicenciat Universitari, Arqui",25
2016,HONDURES                      ,ESPANYA                       ,"Llicenciat Universitari, Arqui",5
2016,"EQUADOR, L                    ","EQUADOR, L                    ",Doctorat i Estudis de postgrau,3
2014,MONTENEGRO                    ,MONTENEGRO                    ,Sense estudis                 ,1
2011,COSTA RICA                    ,COSTA RICA                    ,"Llicenciat Universitari, Arqui",3
2017,MALI                          ,MALI                          ,No aplicable per ser més petit,2
2011,ALGÈRIA                       ,ALGÈRIA                       ,Desconegut                    ,3
2012,VENEÇUELA                     ,VENEÇUELA                     ,Formació professional de Segon,3
2014,XILE                          ,ESPANYA                       ,Diplomat en Escoles Università,13
2011,"XINA, LA                      ",ESPANYA                       ,No sap llegir ni escriure     ,7
2017,"REGNE UNIT, EL                ",ESPANYA                       ,Diplomat en Escoles Università,3
2014,MÈXIC                         ,MÈXIC                         ,Formació professional Primer G,2
2012,"PAKISTAN, EL                  ",ESPANYA                       ,Ensenyament primari incomplert,3
2013,ITÀLIA                        ,ITÀLIA                        ,Ensenyament primari incomplert,15
2017,ARMÈNIA                       ,ARMÈNIA                       ,Ensenyament primari incomplert,7
2016,NICARAGUA                     ,NICARAGUA                     ,"Batxiller Elemental, Graduat E",15
2016,VENEÇUELA                     ,ITÀLIA                        ,Batxiller superior. BUP. Batxi,3
2017,ALEMANYA                      ,ESPANYA                       ,Sense estudis                 ,2
2017,"XINA, LA                      ","XINA, LA                      ",Formació professional Primer G,14
2011,RÚSSIA                        ,RÚSSIA                        ,Arquitecte o Enginyer Tècnic  ,4
2012,COLÒMBIA                      ,ITÀLIA                        ,Arquitecte o Enginyer Tècnic  ,1
2016,"ARGENTINA, L                  ",CROÀCIA                       ,"Llicenciat Universitari, Arqui",1
2017,CUBA                          ,ESPANYA                       ,No aplicable per ser més petit,2
2016,ESPANYA                       ,PORTUGAL                      ,No sap llegir ni escriure     ,2
2015,"KAZAKHSTAN, EL                ","KAZAKHSTAN, EL                ","Batxiller Elemental, Graduat E",1
2016,"IRAN, L                       ","IRAN, L                       ",Ensenyament primari incomplert,2
2014,FRANÇA                        ,FRANÇA                        ,Sense estudis                 ,2
2017,"CANADÀ, EL                    ","CANADÀ, EL                    ",Batxiller superior. BUP. Batxi,1
2014,BOLÍVIA                       ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2012,"EQUADOR, L                    ",ITÀLIA                        ,"Llicenciat Universitari, Arqui",1
2012,REPUBLICA DEMOCRATICA ALEMANA ,ESPANYA                       ,"Batxiller Elemental, Graduat E",2
2011,ESPANYA                       ,DINAMARCA                     ,No aplicable per ser més petit,1
2015,VENEÇUELA                     ,ALEMANYA                      ,Desconegut                    ,1
2012,"EQUADOR, L                    ","PAÏSOS BAIXOS, ELS            ",Batxiller superior. BUP. Batxi,2
2012,"PARAGUAI, EL                  ",ITÀLIA                        ,No aplicable per ser més petit,1
2017,ALEMANYA                      ,ESPANYA                       ,Formació professional de Segon,26
2011,"PAÏSOS BAIXOS, ELS            ",ESPANYA                       ,"Batxiller Elemental, Graduat E",5
2014,COLÒMBIA                      ,ESPANYA                       ,"Llicenciat Universitari, Arqui",90
2015,ANDORRA                       ,ESPANYA                       ,Formació professional de Segon,1
2016,ITÀLIA                        ,ITÀLIA                        ,Titulats d estudis superiors n,4
2015,UCRAÏNA                       ,UCRAÏNA                       ,Diplomat en Escoles Università,14
2013,ALEMANYA                      ,COLÒMBIA                      ,Ensenyament primari incomplert,1
2016,"REPÚBLICA DOMINICANA, LA      ","ESTATS UNITS D AMÈRICA, ELS   ","Batxiller Elemental, Graduat E",1
2012,PORTUGAL                      ,PORTUGAL                      ,Sense estudis                 ,20
