DATA_REFERENCIA,DISTRICTE,BARRI,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,POBLACIO
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       , ,19
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,BARCELONA,14
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,CASTELLO,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,CIUDAD REAL,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,MADRID,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,TEROL,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,"MARROC, EL                    ", ,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ROMANIA                       , ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ANDORRA                       , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"ARGENTINA, L                  ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ARMÈNIA                       , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,BOLÍVIA                       , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,COLÒMBIA                      , ,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,CUBA                          , ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,EL SALVADOR                   , ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"EQUADOR, L                    ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       , ,275
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,ALACANT,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,ALBACETE,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,ALMERIA,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,ASTURIAS,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,BARCELONA,201
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,BISCAIA,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,CASTELLO,7
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,CEUTA,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,CIUDAD REAL,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,"CORUNYA, LA",1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,GIRONA,8
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,HUELVA,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,ILLES BALEARS,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,JAEN,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,LUGO,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,LLEIDA,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,MADRID,8
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,MALAGA,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,OSCA,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,"PALMAS, LAS",3
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,PONTEVEDRA,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,SANTA CRUZ DE TENERIFE,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,SARAGOSSA,5
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,TARRAGONA,15
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,TEROL,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,VALENCIA,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"ESTATS UNITS D AMÈRICA, ELS   ", ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,FRANÇA                        , ,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,GUATEMALA                     , ,1
