DATA_REFERENCIA,PAIS_NAIXAMENT,SEXE,NIVELL_ESTUDI,POBLACIO
2011,ALEMANYA                      ,Dona,Altres titulacions mitjanes (A,2
2011,ALEMANYA                      ,Home,Altres titulacions mitjanes (A,2
2011,"ARGENTINA, L                  ",Dona,Altres titulacions mitjanes (A,9
2011,"ARGENTINA, L                  ",Home,Altres titulacions mitjanes (A,12
2011,ARMÈNIA                       ,Dona,Altres titulacions mitjanes (A,2
2011,ARMÈNIA                       ,Home,Altres titulacions mitjanes (A,1
2011,AUSTRÀLIA                     ,Home,Altres titulacions mitjanes (A,1
2011,BÈLGICA                       ,Dona,Altres titulacions mitjanes (A,2
2011,BOLÍVIA                       ,Dona,Altres titulacions mitjanes (A,13
2011,BOLÍVIA                       ,Home,Altres titulacions mitjanes (A,4
2011,"BRASIL, EL                    ",Dona,Altres titulacions mitjanes (A,4
2011,"BRASIL, EL                    ",Home,Altres titulacions mitjanes (A,2
2011,BULGÀRIA                      ,Dona,Altres titulacions mitjanes (A,1
2011,BURKINA FASO                  ,Home,Altres titulacions mitjanes (A,1
2011,"CANADÀ, EL                    ",Home,Altres titulacions mitjanes (A,1
2011,COLÒMBIA                      ,Dona,Altres titulacions mitjanes (A,19
2011,COLÒMBIA                      ,Home,Altres titulacions mitjanes (A,12
2011,CUBA                          ,Dona,Altres titulacions mitjanes (A,11
2011,CUBA                          ,Home,Altres titulacions mitjanes (A,6
2011,DOMINICA                      ,Dona,Altres titulacions mitjanes (A,1
2011,EGIPTE                        ,Home,Altres titulacions mitjanes (A,1
2011,"EQUADOR, L                    ",Dona,Altres titulacions mitjanes (A,15
2011,"EQUADOR, L                    ",Home,Altres titulacions mitjanes (A,3
2011,ESPANYA                       ,Dona,Altres titulacions mitjanes (A,425
2011,ESPANYA                       ,Home,Altres titulacions mitjanes (A,298
2011,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,Altres titulacions mitjanes (A,1
2011,FRANÇA                        ,Dona,Altres titulacions mitjanes (A,4
2011,FRANÇA                        ,Home,Altres titulacions mitjanes (A,1
2011,GEÒRGIA                       ,Dona,Altres titulacions mitjanes (A,2
2011,GEÒRGIA                       ,Home,Altres titulacions mitjanes (A,1
2011,GHANA                         ,Home,Altres titulacions mitjanes (A,1
2011,"GUINEA EQUATORIAL, LA         ",Dona,Altres titulacions mitjanes (A,2
2011,HONDURES                      ,Dona,Altres titulacions mitjanes (A,3
2011,ITÀLIA                        ,Home,Altres titulacions mitjanes (A,6
2011,LETÒNIA                       ,Dona,Altres titulacions mitjanes (A,2
2011,"MARROC, EL                    ",Dona,Altres titulacions mitjanes (A,14
2011,"MARROC, EL                    ",Home,Altres titulacions mitjanes (A,10
2011,MÈXIC                         ,Dona,Altres titulacions mitjanes (A,4
2011,MOLDÀVIA                      ,Dona,Altres titulacions mitjanes (A,2
2011,"PARAGUAI, EL                  ",Dona,Altres titulacions mitjanes (A,9
2011,"PARAGUAI, EL                  ",Home,Altres titulacions mitjanes (A,1
2011,"PERÚ, EL                      ",Dona,Altres titulacions mitjanes (A,14
2011,"PERÚ, EL                      ",Home,Altres titulacions mitjanes (A,13
2011,POLÒNIA                       ,Dona,Altres titulacions mitjanes (A,2
2011,POLÒNIA                       ,Home,Altres titulacions mitjanes (A,3
2011,PORTUGAL                      ,Dona,Altres titulacions mitjanes (A,1
2011,PORTUGAL                      ,Home,Altres titulacions mitjanes (A,1
2011,"REPÚBLICA DOMINICANA, LA      ",Dona,Altres titulacions mitjanes (A,3
2011,"REPÚBLICA DOMINICANA, LA      ",Home,Altres titulacions mitjanes (A,3
2011,ROMANIA                       ,Dona,Altres titulacions mitjanes (A,11
2011,ROMANIA                       ,Home,Altres titulacions mitjanes (A,2
2011,RÚSSIA                        ,Dona,Altres titulacions mitjanes (A,1
2011,"SENEGAL, EL                   ",Dona,Altres titulacions mitjanes (A,2
2011,"SENEGAL, EL                   ",Home,Altres titulacions mitjanes (A,8
2011,SÈRBIA                        ,Home,Altres titulacions mitjanes (A,1
2011,SUD-ÀFRICA                    ,Home,Altres titulacions mitjanes (A,1
2011,UCRAÏNA                       ,Dona,Altres titulacions mitjanes (A,2
2011,"URUGUAI, L                    ",Dona,Altres titulacions mitjanes (A,7
2011,"URUGUAI, L                    ",Home,Altres titulacions mitjanes (A,1
2011,VENEÇUELA                     ,Dona,Altres titulacions mitjanes (A,4
2011,VENEÇUELA                     ,Home,Altres titulacions mitjanes (A,4
2011,XILE                          ,Dona,Altres titulacions mitjanes (A,9
2011,XILE                          ,Home,Altres titulacions mitjanes (A,6
2011,"XINA, LA                      ",Dona,Altres titulacions mitjanes (A,1
2011,"XINA, LA                      ",Home,Altres titulacions mitjanes (A,2
2011,ALEMANYA                      ,Dona,Arquitecte o Enginyer Tècnic  ,1
2011,ALEMANYA                      ,Home,Arquitecte o Enginyer Tècnic  ,6
2011,ALGÈRIA                       ,Home,Arquitecte o Enginyer Tècnic  ,1
2011,"ARGENTINA, L                  ",Dona,Arquitecte o Enginyer Tècnic  ,2
2011,"ARGENTINA, L                  ",Home,Arquitecte o Enginyer Tècnic  ,11
2011,ÀUSTRIA                       ,Home,Arquitecte o Enginyer Tècnic  ,1
2011,BÈLGICA                       ,Home,Arquitecte o Enginyer Tècnic  ,1
2011,"BENÍN, EL                     ",Home,Arquitecte o Enginyer Tècnic  ,1
2011,BOLÍVIA                       ,Dona,Arquitecte o Enginyer Tècnic  ,2
2011,BOLÍVIA                       ,Home,Arquitecte o Enginyer Tècnic  ,3
2011,"BRASIL, EL                    ",Dona,Arquitecte o Enginyer Tècnic  ,1
2011,"BRASIL, EL                    ",Home,Arquitecte o Enginyer Tècnic  ,3
2011,BULGÀRIA                      ,Dona,Arquitecte o Enginyer Tècnic  ,1
2011,BULGÀRIA                      ,Home,Arquitecte o Enginyer Tècnic  ,3
2011,"CANADÀ, EL                    ",Dona,Arquitecte o Enginyer Tècnic  ,1
2011,COLÒMBIA                      ,Dona,Arquitecte o Enginyer Tècnic  ,6
2011,COLÒMBIA                      ,Home,Arquitecte o Enginyer Tècnic  ,23
2011,"COSTA D IVORI, LA             ",Home,Arquitecte o Enginyer Tècnic  ,1
2011,CUBA                          ,Dona,Arquitecte o Enginyer Tècnic  ,4
2011,CUBA                          ,Home,Arquitecte o Enginyer Tècnic  ,10
