ï»¿VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
P,Eleccions al Parlament de Catalunya     ,2006,1,4,PFIV           ,Partit Familia i Vida                             ,6
P,Eleccions al Parlament de Catalunya     ,2006,1,4,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,4,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,4,PP             ,Partit Popular                                    ,76
P,Eleccions al Parlament de Catalunya     ,2006,1,4,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,86
P,Eleccions al Parlament de Catalunya     ,2006,1,4,RC             ,Partit Republicà Català                           ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,5,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,5,C S            ,Ciutadans-Partido de la Ciudadania                ,10
P,Eleccions al Parlament de Catalunya     ,2006,1,5,CIU            ,Convergència i Unió                               ,304
P,Eleccions al Parlament de Catalunya     ,2006,1,5,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,5,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,1
P,Eleccions al Parlament de Catalunya     ,2006,1,5,ERC            ,Esquerra Republicana de Catalunya                 ,93
P,Eleccions al Parlament de Catalunya     ,2006,1,5,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,5,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,66
P,Eleccions al Parlament de Catalunya     ,2006,1,5,MSR            ,Movimiento Social Republicano                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PCPC           ,Partit Comunista de Poble de Catalunya            ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PFIV           ,Partit Familia i Vida                             ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,5,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PP             ,Partit Popular                                    ,59
P,Eleccions al Parlament de Catalunya     ,2006,1,5,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,80
P,Eleccions al Parlament de Catalunya     ,2006,1,5,RC             ,Partit Republicà Català                           ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,6,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,6,C S            ,Ciutadans-Partido de la Ciudadania                ,23
P,Eleccions al Parlament de Catalunya     ,2006,1,6,CIU            ,Convergència i Unió                               ,633
P,Eleccions al Parlament de Catalunya     ,2006,1,6,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,6,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,6
P,Eleccions al Parlament de Catalunya     ,2006,1,6,ERC            ,Esquerra Republicana de Catalunya                 ,193
P,Eleccions al Parlament de Catalunya     ,2006,1,6,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,5
P,Eleccions al Parlament de Catalunya     ,2006,1,6,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,125
P,Eleccions al Parlament de Catalunya     ,2006,1,6,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PAZUL          ,Carmel/Partido Azul                               ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PCPC           ,Partit Comunista de Poble de Catalunya            ,5
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PFIV           ,Partit Familia i Vida                             ,13
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PH             ,Partit Humanista de Catalunya                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,6,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PP             ,Partit Popular                                    ,118
P,Eleccions al Parlament de Catalunya     ,2006,1,6,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,150
P,Eleccions al Parlament de Catalunya     ,2006,1,6,RC             ,Partit Republicà Català                           ,6
P,Eleccions al Parlament de Catalunya     ,2006,1,7,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,7,C S            ,Ciutadans-Partido de la Ciudadania                ,16
P,Eleccions al Parlament de Catalunya     ,2006,1,7,CIU            ,Convergència i Unió                               ,398
P,Eleccions al Parlament de Catalunya     ,2006,1,7,DECIDEIX.CAT   ,Catalunya Decideix                                ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,7,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,3
P,Eleccions al Parlament de Catalunya     ,2006,1,7,ERC            ,Esquerra Republicana de Catalunya                 ,129
P,Eleccions al Parlament de Catalunya     ,2006,1,7,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,7,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,58
P,Eleccions al Parlament de Catalunya     ,2006,1,7,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PFIV           ,Partit Familia i Vida                             ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,7,POSI           ,Partit Obrer Socialista Internacionalista         ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PP             ,Partit Popular                                    ,89
P,Eleccions al Parlament de Catalunya     ,2006,1,7,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,112
P,Eleccions al Parlament de Catalunya     ,2006,1,7,RC             ,Partit Republicà Català                           ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,8,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,C S            ,Ciutadans-Partido de la Ciudadania                ,14
P,Eleccions al Parlament de Catalunya     ,2006,1,8,CIU            ,Convergència i Unió                               ,460
P,Eleccions al Parlament de Catalunya     ,2006,1,8,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,ERC            ,Esquerra Republicana de Catalunya                 ,142
P,Eleccions al Parlament de Catalunya     ,2006,1,8,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,10
P,Eleccions al Parlament de Catalunya     ,2006,1,8,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,70
P,Eleccions al Parlament de Catalunya     ,2006,1,8,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PFIV           ,Partit Familia i Vida                             ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PH             ,Partit Humanista de Catalunya                     ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,8,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PP             ,Partit Popular                                    ,83
P,Eleccions al Parlament de Catalunya     ,2006,1,8,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,90
P,Eleccions al Parlament de Catalunya     ,2006,1,8,RC             ,Partit Republicà Català                           ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,C S            ,Ciutadans-Partido de la Ciudadania                ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,9,CIU            ,Convergència i Unió                               ,287
P,Eleccions al Parlament de Catalunya     ,2006,1,9,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,2
P,Eleccions al Parlament de Catalunya     ,2006,1,9,ERC            ,Esquerra Republicana de Catalunya                 ,97
P,Eleccions al Parlament de Catalunya     ,2006,1,9,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,5
P,Eleccions al Parlament de Catalunya     ,2006,1,9,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,46
P,Eleccions al Parlament de Catalunya     ,2006,1,9,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PFIV           ,Partit Familia i Vida                             ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PP             ,Partit Popular                                    ,46
P,Eleccions al Parlament de Catalunya     ,2006,1,9,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,64
P,Eleccions al Parlament de Catalunya     ,2006,1,9,RC             ,Partit Republicà Català                           ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,C S            ,Ciutadans-Partido de la Ciudadania                ,14
P,Eleccions al Parlament de Catalunya     ,2006,1,10,CIU            ,Convergència i Unió                               ,231
P,Eleccions al Parlament de Catalunya     ,2006,1,10,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,3
P,Eleccions al Parlament de Catalunya     ,2006,1,10,ERC            ,Esquerra Republicana de Catalunya                 ,131
P,Eleccions al Parlament de Catalunya     ,2006,1,10,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,10,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,76
P,Eleccions al Parlament de Catalunya     ,2006,1,10,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PFIV           ,Partit Familia i Vida                             ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,10,POSI           ,Partit Obrer Socialista Internacionalista         ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PP             ,Partit Popular                                    ,33
P,Eleccions al Parlament de Catalunya     ,2006,1,10,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,106
P,Eleccions al Parlament de Catalunya     ,2006,1,10,RC             ,Partit Republicà Català                           ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,11,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,11,C S            ,Ciutadans-Partido de la Ciudadania                ,20
P,Eleccions al Parlament de Catalunya     ,2006,1,11,CIU            ,Convergència i Unió                               ,137
P,Eleccions al Parlament de Catalunya     ,2006,1,11,DECIDEIX.CAT   ,Catalunya Decideix                                ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,11,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,2
P,Eleccions al Parlament de Catalunya     ,2006,1,11,ERC            ,Esquerra Republicana de Catalunya                 ,72
P,Eleccions al Parlament de Catalunya     ,2006,1,11,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,3
