ï»¿VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,AES-DN         ,Plataforma Adelante Cataluña                      ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,C S            ,Ciutadans-Partido de la Ciudadania                ,58
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CIU            ,Convergència i Unió                               ,587
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,DECIDEIX.CAT   ,Catalunya Decideix                                ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,6
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ERC            ,Esquerra Republicana de Catalunya                 ,292
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,25
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,191
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,MSR            ,Movimiento Social Republicano                     ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PFIV           ,Partit Familia i Vida                             ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PH             ,Partit Humanista de Catalunya                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PP             ,Partit Popular                                    ,193
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,594
P,Eleccions al Parlament de Catalunya     ,2006,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,RC             ,Partit Republicà Català                           ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,AES-DN         ,Plataforma Adelante Cataluña                      ,2
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,C S            ,Ciutadans-Partido de la Ciudadania                ,88
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,CIU            ,Convergència i Unió                               ,739
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,DECIDEIX.CAT   ,Catalunya Decideix                                ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,9
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,ERC            ,Esquerra Republicana de Catalunya                 ,345
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,21
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,270
P,Eleccions al Parlament de Catalunya     ,2006,1,16,CEMENTIRI VELL                          ,MSR            ,Movimiento Social Republicano                     ,1
