DATA_REFERENCIA,MES,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,SEXE,POBLACIO
2011,10,"BRASIL, EL                    ", ,Dona,1
2011,10,BULGÀRIA                      , ,Dona,1
2011,10,COLÒMBIA                      , ,Dona,5
2011,10,COLÒMBIA                      , ,Home,3
2011,10,CUBA                          , ,Dona,2
2011,10,CUBA                          , ,Home,1
2011,10,"EQUADOR, L                    ", ,Dona,4
2011,10,ESPANYA                       , ,Dona,314
2011,10,ESPANYA                       , ,Home,315
2011,10,ESPANYA                       ,ALACANT,Dona,3
2011,10,ESPANYA                       ,ALACANT,Home,2
2011,10,ESPANYA                       ,ALMERIA,Dona,5
2011,10,ESPANYA                       ,ALMERIA,Home,4
2011,10,ESPANYA                       ,ASTURIAS,Dona,1
2011,10,ESPANYA                       ,BADAJOZ,Dona,2
2011,10,ESPANYA                       ,BADAJOZ,Home,1
2011,10,ESPANYA                       ,BARCELONA,Dona,213
2011,10,ESPANYA                       ,BARCELONA,Home,227
2011,10,ESPANYA                       ,BISCAIA,Dona,1
2011,10,ESPANYA                       ,CADIS,Dona,3
2011,10,ESPANYA                       ,CADIS,Home,1
2011,10,ESPANYA                       ,CANTABRIA,Dona,1
2011,10,ESPANYA                       ,CASTELLO,Dona,3
2011,10,ESPANYA                       ,CASTELLO,Home,2
2011,10,ESPANYA                       ,CONCA,Dona,1
2011,10,ESPANYA                       ,CORDOBA,Dona,3
2011,10,ESPANYA                       ,"CORUNYA, LA",Dona,2
2011,10,ESPANYA                       ,"CORUNYA, LA",Home,1
2011,10,ESPANYA                       ,GIRONA,Dona,9
2011,10,ESPANYA                       ,GIRONA,Home,10
2011,10,ESPANYA                       ,GRANADA,Home,1
2011,10,ESPANYA                       ,GUADALAJARA,Home,3
2011,10,ESPANYA                       ,HUELVA,Home,1
2011,10,ESPANYA                       ,ILLES BALEARS,Dona,7
2011,10,ESPANYA                       ,ILLES BALEARS,Home,3
2011,10,ESPANYA                       ,JAEN,Dona,2
2011,10,ESPANYA                       ,JAEN,Home,1
2011,10,ESPANYA                       ,LUGO,Dona,1
2011,10,ESPANYA                       ,LLEIDA,Dona,1
2011,10,ESPANYA                       ,LLEIDA,Home,5
2011,10,ESPANYA                       ,LLEO,Dona,1
2011,10,ESPANYA                       ,MADRID,Dona,13
2011,10,ESPANYA                       ,MADRID,Home,11
2011,10,ESPANYA                       ,MALAGA,Dona,2
2011,10,ESPANYA                       ,MALAGA,Home,2
2011,10,ESPANYA                       ,MURCIA,Home,1
2011,10,ESPANYA                       ,OSCA,Dona,2
2011,10,ESPANYA                       ,OSCA,Home,3
2011,10,ESPANYA                       ,"PALMAS, LAS",Dona,4
2011,10,ESPANYA                       ,"PALMAS, LAS",Home,3
2011,10,ESPANYA                       ,PONTEVEDRA,Dona,1
2011,10,ESPANYA                       ,"RIOJA, LA",Dona,1
2011,10,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Dona,1
2011,10,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Home,2
2011,10,ESPANYA                       ,SARAGOSSA,Dona,3
2011,10,ESPANYA                       ,SARAGOSSA,Home,3
2011,10,ESPANYA                       ,SEVILLA,Dona,2
2011,10,ESPANYA                       ,SEVILLA,Home,3
2011,10,ESPANYA                       ,TARRAGONA,Dona,12
2011,10,ESPANYA                       ,TARRAGONA,Home,11
2011,10,ESPANYA                       ,TEROL,Dona,2
2011,10,ESPANYA                       ,TOLEDO,Dona,3
2011,10,ESPANYA                       ,TOLEDO,Home,1
2011,10,ESPANYA                       ,VALENCIA,Dona,8
2011,10,ESPANYA                       ,VALENCIA,Home,10
