CODI_NORMATIVA,TITOL,AMBIT,URL,DESCRIPCIO,DATA_INI_VIGENCIA,DATA_FI_VIGENCIA,WEB
01251,Ordenança municipal per al govern i l administració electrònica,Local,,"Publicació aprovació definitiva: 02-01-2007 (BOP núm. 2)<br> Publicació aprovació definitiva de la modificació: 23-02-2015 (BOP)<br> La modificació consisteix en la incorporació de l article 51 bis, relatiu al procediments de contractació i presentació i tramitació de factures. ",15/01/2015 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01251
01287,Ordenança municipal reguladora de la circulació de persones i vehicles en les vies urbanes,Local,,Aprovació: 31-10-1996.<br> Publicació: BOP de 28-01-1997.<br> Entrada en vigor: 14-02-1997.</p> <p>Aprovació de modificació del nomenclàtor d infraccions: 24-05-2010.<br> Publicació de la modificació: 22-06-2010<br> (ordenança parcial derogada pel Reglament per a l estacionament de persones amb discapacitats).,23/06/2010 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01287
00141,"Ordenança municipal reguladora de la parada, estacionament i la retirada de vehicles i de béns mobles",Local,,Aprovació: 28-11-1991.<br> Publicació: BOP núm. 308 de 25-12-1991<br> (ordenança parcialment derogada pel Reglament per a l estacionament  de persones amb discapacitats),26/12/1991 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00141
01271,Ordenança municipal reguladora de les activitats i instal·lacions de radiocomunicació,Local,,Aprovació: 25-07-2002.<br> Publicació: BOP de 03-10-2002,21/10/2002 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01271
00101,Ordenança municipal reguladora de les activitats i instal·lacions publicitàries,Local,,Aprovació: 28-01-1999.<br> Publicació: BOP núm. 110 de 08-05-1999.<br> Entrada en vigor: 26-05-1999,26/05/1999 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00101
01272,Ordenança municipal reguladora de les piscines d ús públic,Local,,Aprovació: 31-10-2002.<br> Publicació: BOP de 21-11-2002,01/01/2006 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01272
01289,Ordenança reguladora de la intervenció intregral de l administració municipal en les activitats i instal·lacions,Local,,Aprovació: 25-02-2010.<br> Publicació: BOP núm. 60 d 11-03-2010,12/03/2010 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01289
00802,Ordenança reguladora de la neteja pública i de la gestió dels residus de Terrassa,Local,,Aprovació: 31-12-2003.<br> Publicació: BOP núm. 7 de 08-01-2004.,23/01/2004 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00802
01919,Ordenança reguladora de les autoritzacions de terrasses de bar i el seu mobiliari,Local,,Aprovació definitiva publicada en el BOP de 29-06-2015,29/06/2015 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01919
01269,Ordenança reguladora dels establiments de serveis telefònics per a ús públic,Local,,Aprovació: 22-03-2002.<br> Publicació: BOP núm. 128 de 29-05-2002.<br> Entrada en vigor: 16-06-2002<br> [Ordenança parcialment derogada per  l Ordenança d usos i activitats],16/06/2002 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01269
02180,Ordenança reguladora dels serveis funeraris,Local,,Aprovada per acord plenari de 29 de gener de 1998 (BOP núm. 43 de 19 de febrer de 1998).<br> Entrada en vigor: 10-03-1998.,10/03/1998 0:00:00,31/12/2099 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=02180
