DISTRICTE,NOM_BARRI,MITJANA_VALOR_CADASTRAL,TOTAL
2,Torre-Sana                              ,48059.90,2649
6,Ègara                                   ,40582.47,1763
4,Disseminats                             ,122851.47,9
4,Vista Alegre                            ,65787.91,44
4,Can Palet De Vista Alegre               ,91205.32,584
3,Segle Xx                                ,51989.32,3265
4,La Maurina                              ,38051.70,3255
5,Can Boada Del Pi                        ,27668.73,631
3,Guadalhorce                             ,24817.76,507
2,Montserrat                              ,14439.95,588
2,Vilardell                               ,21996.12,308
1,Vallparadís                             ,61791.00,2156
3,Can Palet                               ,45522.46,5520
5,Can Roca                                ,51410.70,1424
4,Les Martines                            ,72369.52,291
5,Pla Del Bon Aire - El Garrot            ,135021.93,59
1,Antic Poble De Sant Pere                ,79767.08,252
6,Font De L Espardenyera                  ,199320.97,53
3,P.I. Can Parellada                      ,576135.83,3
6,Sant Llorenç                            ,21302.14,1930
5,Can Gonteres                            ,98825.27,165
2,Ca N Anglada                            ,36597.45,5342
6,Les Arenes - La Grípia - Can Montllor   ,49153.89,5560
1,Centre                                  ,76253.69,8627
4,La Cogullada                            ,44564.77,2505
3,P.I. Santa Eulàlia                      ,264661.39,1
3,Disseminats                             ,308692.86,6
5,Disseminats                             ,86894.15,104
5,Can Boada Casc Antic                    ,41523.30,3131
3,Can Parellada                           ,55910.33,2229
6,Sant Pere Nord                          ,45177.52,6610
4,Ca N Aurell                             ,63020.87,8382
5,Torrent D En Pere Parres                ,60663.77,2506
3,Can Jofresa                             ,28120.57,821
3,Can Palet Ii                            ,21637.81,390
2,Disseminats                             ,26217.90,63
6,Disseminats                             ,179678.07,31
5,Els Caus - Els Pinetons                 ,94705.88,22
1,Cementiri Vell                          ,50158.20,3067
6,Can Tusell                              ,24077.90,865
3,Xúquer                                  ,35578.73,450
5,Sant Pere                               ,59656.80,5551
3,Les Fonts                               ,73491.05,1096
5,Poble Nou - Zona Esportiva              ,57410.98,5106
1,Pl. Catalunya - Esc. Industrial         ,55812.48,2174
4,Roc Blanc                               ,52562.95,2233
5,Pla Del Bon Aire                        ,30496.10,1098
