REGIO_SANITARIA,EDAT,TOTAL
A,0,1871
A,1,556
A,2,550
A,3,534
A,4,554
A,5,518
A,6,470
A,7,432
A,8,373
A,9,284
A,10,438
A,11,345
A,12,256
A,13,197
A,14,200
A,15,460
A,16,519
A,17,707
A,18,642
A,19,331
A,20,265
A,21,378
A,22,412
A,23,457
A,24,507
A,25,630
A,26,625
A,27,673
A,28,743
A,29,814
A,30,867
A,31,878
A,32,921
A,33,873
A,34,869
A,35,794
A,36,847
A,37,816
A,38,784
A,39,764
A,40,737
A,41,720
A,42,673
A,43,661
A,44,659
A,45,589
A,46,565
A,47,574
A,48,577
A,49,496
A,50,526
A,51,462
A,52,457
A,53,459
A,54,439
A,55,420
A,56,411
A,57,364
A,58,389
A,59,387
A,60,367
A,61,328
A,62,364
A,63,300
A,64,316
A,65,336
A,66,253
A,67,214
A,68,244
A,69,240
A,70,243
A,71,238
A,72,194
A,73,198
A,74,160
A,75,170
A,76,160
A,77,153
A,78,129
A,79,120
A,80,107
A,81,105
A,82,99
A,83,92
A,84,69
A,85,57
A,86,58
A,87,54
A,88,37
A,89,35
A,90,27
A,91,19
A,92,17
A,93,9
A,94,10
A,95,4
A,96,6
A,97,1
A,98,3
A,101,1
A,102,1
B,0,1795
B,1,522
B,2,474
B,3,431
B,4,432
B,5,391
B,6,387
B,7,312
B,8,269
B,9,214
B,10,449
B,11,306
B,12,221
B,13,165
B,14,194
B,15,307
B,16,384
B,17,317
B,18,292
B,19,229
B,20,228
B,21,265
B,22,298
B,23,407
B,24,492
B,25,485
B,26,589
B,27,615
B,28,610
B,29,672
B,30,686
B,31,662
B,32,683
B,33,635
B,34,623
B,35,577
B,36,545
B,37,546
B,38,503
B,39,503
B,40,477
B,41,367
B,42,382
B,43,334
B,44,328
B,45,361
B,46,312
B,47,332
B,48,325
B,49,287
B,50,276
B,51,237
B,52,211
B,53,204
B,54,208
B,55,171
B,56,210
B,57,176
B,58,162
B,59,167
B,60,172
B,61,172
B,62,165
B,63,147
B,64,143
B,65,149
B,66,130
B,67,96
B,68,99
B,69,93
B,70,80
B,71,78
B,72,66
B,73,61
