NOM,ANY_NAIXEMENT,SEXE,TOTAL
MARC,2016,H,25
ALEX,2016,H,25
LUCAS,2016,H,22
MARTI,2016,H,22
JAN,2016,H,21
JULIA,2016,D,21
LUCIA,2016,D,20
ARNAU,2016,H,19
NOA,2016,D,18
DANIELA,2016,D,17
LAIA,2016,D,17
MARIA,2016,D,17
MARTINA,2016,D,17
PAULA,2016,D,17
VALERIA,2016,D,16
PAU,2016,H,16
ERIC,2016,H,16
POL,2016,H,16
MOHAMED,2016,H,15
ARLET,2016,D,15
CLAUDIA,2016,D,15
MIA,2016,D,15
SARA,2016,D,15
HUGO,2016,H,15
AINA,2016,D,14
SOFIA,2016,D,14
BIEL,2016,H,13
DANIEL,2016,H,13
CARLA,2016,D,13
ENZO,2016,H,13
ONA,2016,D,12
LEO,2016,H,11
ADAM,2016,H,11
LEYRE,2016,D,11
EMMA,2016,D,11
ROC,2016,H,10
RAYAN,2016,H,10
ALEIX,2016,H,10
IZAN,2016,H,10
JULEN,2016,H,10
IVET,2016,D,9
IMRAN,2016,H,9
IKER,2016,H,9
JOAN,2016,H,9
CHLOE,2016,D,9
NORA,2016,D,9
MAX,2016,H,9
AARON,2016,H,9
GERARD,2016,H,9
AINHOA,2016,D,8
DAVID,2016,H,8
DYLAN,2016,H,8
IAN,2016,H,8
ARIADNA,2016,D,8
GAEL,2016,H,8
MARTIN,2016,H,8
NIL,2016,H,8
MARIAM,2016,D,7
QUIM,2016,H,7
YOUSSEF,2016,H,7
LIA,2016,D,7
ANNA,2016,D,7
ADRIAN,2016,H,7
ERIK,2016,H,7
ROGER,2016,H,7
ADRIA,2016,H,7
AINARA,2016,D,7
AMIR,2016,H,7
JANA,2016,D,6
MARTA,2016,D,6
ADRIANA,2016,D,6
VALENTINA,2016,D,6
CARLOTA,2016,D,6
ABRIL,2016,D,6
UNAI,2016,H,6
AITANA,2016,D,6
PERE,2016,H,6
JORDI,2016,H,6
MARINA,2016,D,6
BRUNO,2016,H,6
ALVARO,2016,H,6
LINA,2016,D,6
ALBA,2016,D,6
CLARA,2016,D,6
PABLO,2016,H,6
OMAR,2016,H,6
ANTONIO,2016,H,5
XAVI,2016,H,5
ALMA,2016,D,5
IVAN,2016,H,5
AYMAN,2016,H,5
ARITZ,2016,H,5
ALAN,2016,H,5
GALA,2016,D,5
ZOE,2016,D,5
INES,2016,D,5
SAAD,2016,H,5
ROCIO,2016,D,5
LAURA,2016,D,5
CARLOS,2016,H,5
JANNAT,2016,D,5
JUAN,2016,H,5
OLIVER,2016,H,5
ANDER,2016,H,5
BLANCA,2016,D,5
DIDAC,2016,H,5
AYA,2016,D,4
NEIZAN,2016,H,4
AROA,2016,D,4
ESTEL,2016,D,4
HECTOR,2016,H,4
GABRIEL,2016,H,4
JOSE,2016,H,4
JON,2016,H,4
ALEXIA,2016,D,4
ANA,2016,D,4
LIAM,2016,H,4
ALEXANDRA,2016,D,4
PEDRO,2016,H,4
VICTOR,2016,H,4
THIAGO,2016,H,4
IRENE,2016,D,4
JOEL,2016,H,4
GUILLEM,2016,H,4
NICO,2016,H,4
MALAK,2016,D,4
AMIRA,2016,D,4
ORIOL,2016,H,4
LLUC,2016,H,4
LOLA,2016,D,4
MARIO,2016,H,4
JAD,2016,H,3
HIDAYA,2016,D,3
ELSA,2016,D,3
ELIA,2016,D,3
CANDELA,2016,D,3
AITOR,2016,H,3
NURIA,2016,D,3
VERA,2016,D,3
OT,2016,H,3
BRUNA,2016,D,3
YOUNES,2016,H,3
NAIARA,2016,D,3
DIEGO,2016,H,3
BERTA,2016,D,3
NAEL,2016,H,3
JAVIER,2016,H,3
NATALIA,2016,D,3
ALBERT,2016,H,3
VICTORIA,2016,D,3
AYOUB,2016,H,3
ISRAE,2016,D,3
AKRAM,2016,H,3
RITAJ,2016,D,3
IRIS,2016,D,3
VEGA,2016,D,3
ALEJANDRO,2016,H,3
NOUR,2016,D,3
MARWA,2016,D,3
MOHAMED AMIN,2016,H,3
NIZAR,2016,H,3
SIRAJ,2016,H,3
EDGAR,2016,H,3
YASMINE,2016,D,3
MANUEL,2016,H,3
NICOLAS,2016,H,3
ARES,2016,D,3
ANDREA,2016,D,3
BERNAT,2016,H,3
DARIO,2016,H,3
YAHYA,2016,H,3
AICHA,2016,D,3
AXEL,2016,H,3
ARAN,2016,H,2
EYDAN,2016,H,2
SANDRA,2016,D,2
DENIS,2016,H,2
YASMINA,2016,D,2
ZAINAB,2016,D,2
ABDERRAHMAN,2016,H,2
JOANA,2016,D,2
GINA,2016,D,2
SOULAIMAN,2016,H,2
AGNES,2016,D,2
RAUL,2016,H,2
RAFAEL,2016,H,2
DIANA,2016,D,2
YLENIA,2016,D,2
LARA,2016,D,2
SUNDUS,2016,D,2
MAIA,2016,D,2
AURA,2016,D,2
AVRIL,2016,D,2
BIANCA,2016,D,2
KILIAN,2016,H,2
CARLES,2016,H,2
IMAN,2016,D,2
CELIA,2016,D,2
ARES,2016,H,2
MAXIMO,2016,H,2
MARÇAL,2016,H,2
SALIM,2016,H,2
JOSUE,2016,H,2
SUSANA,2016,D,2
JANAT,2016,D,2
ELNA,2016,D,2
TONI,2016,H,2
VICENTE,2016,H,2
SALMA,2016,D,2
IRINA,2016,D,2
HELENA,2016,D,2
RITA,2016,D,2
SIA,2016,D,2
TASNIM,2016,D,2
SABRIN,2016,D,2
RUTH,2016,D,2
OLIVIA,2016,D,2
NARA,2016,D,2
FERRAN,2016,H,2
ESRAA,2016,D,2
KEVIN,2016,H,2
SAMARA,2016,D,2
MELANY,2016,D,2
OSCAR,2016,H,2
SIRA,2016,D,2
HAITAM,2016,H,2
YASSIR,2016,H,2
HARON,2016,H,2
ILYAS,2016,H,2
NADIA,2016,D,2
BRU,2016,H,2
DERICK VINICIUS,2016,H,2
ASIER,2016,H,2
LUIS,2016,H,2
INAS,2016,D,2
THAIS,2016,D,2
BET,2016,D,2
MOUSSA,2016,H,2
PEP,2016,H,2
YASSIN,2016,H,2
WALID,2016,H,2
DEREK,2016,H,2
ANIOL,2016,H,2
ABRAHAM,2016,H,2
MAHER,2016,H,2
AMAL,2016,D,2
ZIYAD,2016,H,2
GRETA,2016,D,2
FATIMA,2016,D,2
MARIONA,2016,D,2
ZIAD,2016,H,2
MARCO,2016,H,2
JUDITH,2016,D,2
IRIA,2016,D,2
YANIRA,2016,D,2
JOSE MARIA,2016,H,2
ANAS,2016,H,2
NAROA,2016,D,2
ERIN,2016,D,2
NOOR,2016,D,2
SONIA,2016,D,2
NOHA,2016,D,2
ARWA,2016,D,2
NAIA,2016,D,2
NOEL,2016,H,2
YASMIN,2016,D,2
CHRISTIAN,2016,H,2
NAHIA,2016,D,2
SANTIAGO,2016,H,2
SERGIO,2016,H,2
ISMAEL,2016,H,2
MIGUEL,2016,H,2
NADA,2016,D,2
DILAN,2016,H,2
TEO,2016,H,2
ANDRES,2016,H,2
LEILA,2016,D,2
AFNAN,2016,D,2
