URTEA;UDAL KODEA;UDALAREN IZENA;ZERGA KODEA;ZERGAREN IZENA;KALE KODEA;KALEAREN IZENA;DISTRITUA;SEKZIOA;AGIRI KOPURUA;BILDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;045;I.E.Z.-LIKID.;4304;JULIAN ETXEBERRIA;004;003;1;820,45;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;045;I.E.Z.-LIKID.;9999;;000;000;7;9.245,44;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;046;J.E.Z.;1080;MERKATU KALEA;004;002;1;5.380,58;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;046;J.E.Z.;1102;EGO-GAIN KALEA;000;000;11;291.061,40;744,15;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;046;J.E.Z.;1102;EGO-GAIN KALEA;001;001;2;3.388,86;870,18;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;1103;ISASI KALEA;001;001;1;443,18;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;046;J.E.Z.;1103;ISASI KALEA;001;002;1;518,25;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;046;J.E.Z.;1104;OTAOLA HIRIBIDEA;000;000;1;124,76;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;046;J.E.Z.;1104;OTAOLA HIRIBIDEA;001;001;33;43.536,31;2.310,82;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;046;J.E.Z.;1104;OTAOLA HIRIBIDEA;003;004;16;76.558,87;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;046;J.E.Z.;1105;SAN ANDRES PASEALEKU;000;000;2;1.005,83;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;046;J.E.Z.;1106;TORREKUA KALEA;001;001;6;15.785,86;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;1107;UNTZAGA PLAZA;001;002;5;4.299,96;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;046;J.E.Z.;1108;ZEZENBIDE KALEA;001;002;3;2.767,48;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;1202;FERMIN CALBETON KALE;000;000;1;0,00;1.313,76;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;046;J.E.Z.;1202;FERMIN CALBETON KALE;001;001;7;5.452,35;1.334,41;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;046;J.E.Z.;1202;FERMIN CALBETON KALE;001;003;5;1.231,79;758,63;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;046;J.E.Z.;1203;TORIBIO ETXEBARRIA;001;001;15;13.378,83;674,52;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;046;J.E.Z.;1301;BISTA-EDER KALEA;001;003;2;4.945,46;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;1301;BISTA-EDER KALEA;004;001;1;0,00;665,94;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;046;J.E.Z.;1301;BISTA-EDER KALEA;004;002;3;2.937,67;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;1302;EIBARKO TXIKITO KALE;001;003;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;1304;IFAR KALE;001;003;1;1.574,29;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;046;J.E.Z.;1304;IFAR KALE;004;002;1;229,02;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;046;J.E.Z.;1306;TXALTXA-ZELAI KALEA;001;004;5;1.631,79;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;046;J.E.Z.;1309;BARRIA PLAZA;001;003;3;4.687,39;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;046;J.E.Z.;1404;MANDIOLA BALLE;002;001;1;0,00;665,94;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;046;J.E.Z.;1405;MEKOLA KALEA;002;005;1;1.383,32;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;046;J.E.Z.;1407;SAN JUAN KALEA;002;005;7;7.750,13;386,47;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;2103;LEGARRE KALEA;002;002;1;645,30;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;046;J.E.Z.;2104;LEGARRE-GAIN KALEA;002;001;1;122,37;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;2404;TIBURZIO ANITUA KALE;002;002;1;232,23;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;046;J.E.Z.;2404;TIBURZIO ANITUA KALE;002;003;4;1.763,64;304,44;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;046;J.E.Z.;2404;TIBURZIO ANITUA KALE;002;004;6;4.167,95;2.995,49;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;046;J.E.Z.;2501;EGIGUREN-TARREN KALEA;001;002;2;2.071,90;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;046;J.E.Z.;2502;INDALEZIO OJANGUREN;003;003;1;149,90;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;2505;SOSTOA-TARREN KALEA;000;000;3;1.633,07;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;046;J.E.Z.;2505;SOSTOA-TARREN KALEA;001;002;1;0,00;470,09;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;2505;SOSTOA-TARREN KALEA;003;001;1;676,21;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;2601;JUAN GISASOLA KALEA;001;002;1;145,69;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;2601;JUAN GISASOLA KALEA;001;004;2;2.494,14;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;046;J.E.Z.;2704;URKI KALEA;001;004;2;3.879,18;257,50;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;046;J.E.Z.;3102;SAN KRISTOBAL KALEA;003;001;2;188,12;345,13;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;046;J.E.Z.;3202;IPURUA KALEA;000;000;1;141,23;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;046;J.E.Z.;3202;IPURUA KALEA;003;001;1;960,92;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;046;J.E.Z.;3303;ROMUALDO GALDOS;003;004;2;0,00;1.485,50;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;4201;ARANE KALEA;004;001;4;3.246,22;1.180,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;4201;ARANE KALEA;004;002;2;0,00;574,41;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;046;J.E.Z.;4202;ARRAGUETA KALEA;004;006;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;046;J.E.Z.;4205;URTZAILE KALEA;004;002;7;530,55;6.827,34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;4205;URTZAILE KALEA;005;001;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;046;J.E.Z.;4301;BIDEBARRIETA KALEA;000;000;1;0,00;315,60;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;4301;BIDEBARRIETA KALEA;004;002;3;435,80;1.980,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;046;J.E.Z.;4301;BIDEBARRIETA KALEA;004;003;4;3.870,46;2.225,01;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;046;J.E.Z.;4301;BIDEBARRIETA KALEA;004;004;1;0,00;753,11;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;4301;BIDEBARRIETA KALEA;005;001;4;380,53;329,35;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;046;J.E.Z.;4302;ERREBAL KALEA;000;000;1;750,76;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;046;J.E.Z.;4302;ERREBAL KALEA;004;003;1;191,21;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;046;J.E.Z.;4302;ERREBAL KALEA;004;004;16;7.523,67;805,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;4303;JARDIÑETA KALEA;004;005;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;046;J.E.Z.;4304;JULIAN ETXEBERRIA;004;003;14;17.417,45;1.730,25;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;046;J.E.Z.;4305;MUZATEGI KALEA;004;005;1;713,48;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;046;J.E.Z.;4306;SAN AGUSTIN KALEA;000;000;3;2.936,97;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;4306;SAN AGUSTIN KALEA;004;004;3;1.656,29;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;4307;ZULOAGA-TARREN KALEA;004;003;3;2.216,75;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;046;J.E.Z.;4406;ESTAZIÑO KALEA;004;006;4;2.314,47;395,06;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;046;J.E.Z.;4407;IBARKURUTZE KALEA;004;004;2;3.827,17;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;046;J.E.Z.;4409;PAGAEGI KALEA;004;006;1;1.215,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;046;J.E.Z.;4503;MATXARIA KALEA;000;000;6;10.908,17;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;4503;MATXARIA KALEA;002;001;1;1.060,67;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;046;J.E.Z.;4503;MATXARIA KALEA;004;005;11;9.335,12;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;5102;TXONTA KALEA;005;001;7;11.273,40;305,72;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;5201;ASUA-ERREKA KALEA;005;004;2;0,00;870,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;5202;BARAKALDO KALEA;005;004;3;3.466,58;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;046;J.E.Z.;5203;BITTOR SARASKETA;004;006;1;0,00;778,01;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;046;J.E.Z.;5203;BITTOR SARASKETA;005;002;1;0,00;250,71;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;046;J.E.Z.;5205;KARMEN KALEA;005;004;1;358,16;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
