URTEA;UDAL KODEA;UDALAREN IZENA;ZERGA KODEA;ZERGAREN IZENA;KALE KODEA;KALEAREN IZENA;DISTRITUA;SEKZIOA;AGIRI KOPURUA;BILDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;2702;JOSE A. ITURRIOZ;001;005;1;133,15;168,19;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;2703;POLONIA ETXEBERRIA;001;005;8;1.343,53;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;004;PASABIDEAK;2704;URKI KALEA;001;004;4;783,72;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;004;PASABIDEAK;3101;FRAY MARTIN MALLEA;003;001;1;167,94;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;3103;UBITXA KALEA;001;004;2;181,94;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;3103;UBITXA KALEA;003;001;4;531,81;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;004;PASABIDEAK;3203;JUAN ANTONIO MOGEL;003;001;1;377,87;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;3204;SANTAINES KALEA;000;000;2;169,80;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;004;PASABIDEAK;3301;JAZINTO OLABE PLAZA;003;004;2;195,93;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;3302;JOSE ANTONIO GISASOLA;001;002;2;251,91;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;004;PASABIDEAK;4104;ERREKATXU KALEA;004;001;5;540,57;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;004;PASABIDEAK;4104;ERREKATXU KALEA;004;002;1;58,40;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;004;PASABIDEAK;4105;EULOJIO GARATE KALEA;004;001;2;216,83;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;004;PASABIDEAK;4107;MUTIOLA KALEA;004;001;1;111,96;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;004;PASABIDEAK;4108;SANSABURU KALEA;001;005;2;363,87;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;004;PASABIDEAK;4201;ARANE KALEA;004;001;3;671,77;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;004;PASABIDEAK;4201;ARANE KALEA;004;002;1;167,94;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;004;PASABIDEAK;4202;ARRAGUETA KALEA;004;006;3;363,88;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;004;PASABIDEAK;4301;BIDEBARRIETA KALEA;004;002;1;195,93;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;4301;BIDEBARRIETA KALEA;005;001;2;307,89;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;4303;JARDIÑETA KALEA;004;005;8;1.161,59;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;4304;JULIAN ETXEBERRIA;004;003;2;312,55;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;4305;MUZATEGI KALEA;004;005;2;293,90;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
