Mun;Referen;Superfic.;UC ;U;C;T;FechaFiO
030;4180011;   789,44;001;4;2;1;19901227
030;4180012;   530,00;001;4;2;1;19870101
030;4181001;  2919,23;001;4;2;1;19700101
030;4181002;   387,20;001;4;1;1;19720101
030;4181003;   260,00;001;1;2;1;19730101
030;4181004;   414,00;001;1;2;1;19720101
030;4181005;   364,00;001;1;2;1;19730101
030;4181006;   414,00;001;1;2;1;19700101
030;4181007;   305,00;001;4;2;2;19680101
030;4181007;   305,00;002;1;2;2;20061231
030;4181008;   396,00;001;1;2;2;19690101
030;4181009;   250,00;001;2;1;2;19720101
030;4181010;   121,00;001;9;3;2;19200101
030;4181010;   121,00;002;9;1;2;19000101
030;4181012;   400,00;001;1;2;1;19680101
030;4181013;   260,00;001;2;1;2;19720101
030;4181014;    38,21;001;9;1;2;19000101
030;4181015;   414,00;001;1;2;1;19710901
030;4181016;   285,00;001;4;2;2;19690101
030;4181017;   123,00;001;1;2;1;19000101
030;4181018;  3196,17;001;2;2;1;20160823
030;4181018;  3196,17;097;3;2;2;19971028
030;4181018;  3196,17;098;3;2;2;19900624
030;4181018;  3196,17;099;3;2;2;19560101
030;4181019;  2814,00;001;4;2;1;19700101
030;4181019;  2814,00;002;4;2;1;19700101
030;4181019;  2814,00;003;4;2;1;19700101
030;4181019;  2814,00;004;4;2;1;19880620
030;4181019;  2814,00;005;9;1;1;19880620
030;4181020;  1239,37;001;4;2;1;19700101
030;4181021;   258,00;001;4;2;1;19700101
030;4181022;  4238,15;001;4;2;2;19850424
030;4181022;  4238,15;002;4;2;2;19850424
030;4181022;  4238,15;003;4;2;2;19850424
030;4181022;  4238,15;004;4;2;1;19850424
030;4181022;  4238,15;005;4;2;2;19850424
030;4181023;    90,25;001;1;2;1;19000101
030;4181023;    90,25;002;5;2;1;19000101
030;4181024;   717,19;001;4;2;1;19711125
030;4181025;  2352,00;001;9;1;2;19901211
030;4181026;  1515,00;001;4;2;1;19660101
030;4181026;  1515,00;002;9;1;1;19660101
030;4181027;  1607,50;001;4;2;1;19670101
030;4181028;  1731,00;001;4;2;1;19670101
030;4181029;  2375,00;001;4;2;1;19750101
030;4181030; 32412,57;001;8;2;2;19690101
030;4181030; 32412,57;002;8;2;2;19690101
030;4181030; 32412,57;003;8;2;2;19690101
030;4181030; 32412,57;004;8;2;2;19690101
030;4181030; 32412,57;005;1;2;1;19690101
030;4181030; 32412,57;006;1;2;1;19690101
030;4181030; 32412,57;007;1;2;1;19690101
030;4181030; 32412,57;008;1;2;1;19690101
030;4181031;    89,25;001;1;2;1;19000101
030;4181032;  1338,13;001;2;2;1;19780101
030;4181032;  1338,13;002;9;2;2;19850101
030;4182001;   158,49;001;4;3;2;20020101
030;4185001;   458,00;001;8;1;2;19000101
030;4185001;   458,00;002;1;1;1;19000101
030;4185001;   458,00;003;5;1;2;19000101
030;4185001;   458,00;004;5;2;2;19000101
030;4185002;   229,70;001;1;2;1;19790309
030;4185003;   151,50;001;1;1;1;19950630
030;4185004;   256,10;001;1;1;1;20050329
030;4185004;   256,10;098;1;1;1;19000101
030;4185004;   256,10;099;1;1;1;19000101
030;4185005;    80,00;001;8;2;2;19000101
030;4185006;   165,00;001;1;1;1;19000101
030;4185007;   439,00;001;1;1;1;19000101
