URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;BARRUTIA;SEKZIOA;JAIOTZE HERRIALDEA;JAIOTZE-PROBINTZIA;JAIOTZE-HERRIA;HERRIALDEAREN IZENA;PROBINTZIAREN IZENA;HERRIAREN IZENA;EMAKUME KOPURUA;GIZON KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;017;167;ESPAINIA;GIRONA;SANT JOAN DE LES ABADESSES;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;018;013;ESPAINIA;GRANADA;ALHAMA DE GRANADA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;018;087;ESPAINIA;GRANADA;GRANADA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;018;089;ESPAINIA;GRANADA;GUADIX;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;004;ESPAINIA;GIPUZKOA;ALBIZTUR;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;005;ESPAINIA;GIPUZKOA;ALEGIA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;017;ESPAINIA;GIPUZKOA;AZKOITIA;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;018;ESPAINIA;GIPUZKOA;AZPEITIA;6;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;024;ESPAINIA;GIPUZKOA;BIDANIA-GOIATZ;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;027;ESPAINIA;GIPUZKOA;ZESTOA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;029;ESPAINIA;GIPUZKOA;DEBA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;030;ESPAINIA;GIPUZKOA;EIBAR;134;132;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;032;ESPAINIA;GIPUZKOA;ELGOIBAR;6;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;055;ESPAINIA;GIPUZKOA;ARRASATE/MONDRAGON;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;056;ESPAINIA;GIPUZKOA;MUTRIKU;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;059;ESPAINIA;GIPUZKOA;OÑATI;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;065;ESPAINIA;GIPUZKOA;SORALUZE-PLACENCIA DE LAS ARMA;8;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;069;ESPAINIA;GIPUZKOA;DONOSTIA-SAN SEBASTIAN;5;7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;074;ESPAINIA;GIPUZKOA;BERGARA;5;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;081;ESPAINIA;GIPUZKOA;ZUMAIA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;082;ESPAINIA;GIPUZKOA;MENDARO;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;020;901;ESPAINIA;GIPUZKOA;MENDARO;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;024;047;ESPAINIA;LEON;CASTROCONTRIGO;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;026;089;ESPAINIA;ERRIOXA;LOGROÑO;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;026;138;ESPAINIA;ERRIOXA;SANTO DOMINGO DE LA CALZADA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;028;079;ESPAINIA;MADRIL;MADRIL;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;030;016;ESPAINIA;MURTZIA;CARTAGENA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;030;027;ESPAINIA;MURTZIA;MOLINA DE SEGURA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;031;128;ESPAINIA;NAFARROA;ISABA;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;031;232;ESPAINIA;NAFARROA;TUDELA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;032;001;ESPAINIA;OURENSE;ALLARIZ;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;032;078;ESPAINIA;OURENSE;SARREAUS;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;032;089;ESPAINIA;OURENSE;VILAR DE BARRIO;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;032;999;ESPAINIA;OURENSE;MARACAY;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;034;027;ESPAINIA;PALENTZIA;BARRUELO DE SANTULLAN;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;034;057;ESPAINIA;PALENTZIA;CEVICO DE LA TORRE;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;034;124;ESPAINIA;PALENTZIA;PAYO DE OJEDA;3;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;108;034;901;ESPAINIA;PALENTZIA;OSORNO LA MAYOR;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
