URTEA;UDAL KODEA;UDALAREN IZENA;TARIFA;TARIFAREN DESKRIBAPENA;ALTA EGUNA;IBILGAILU KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;04;14TIK 15,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/05/18;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;04;14TIK 15,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/10/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;05;16TIK 19,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/01;568;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;05;16TIK 19,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/11;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;05;16TIK 19,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/14;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;05;16TIK 19,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/03/07;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;05;16TIK 19,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/05/18;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;05;;2016/11/21;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;06;20 ZALDI FISKALETIK GORAKO TURISMOA;2016/01/01;68;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;06;20 ZALDI FISKALETIK GORAKO TURISMOA;2016/01/13;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;12;50 PLAZATIK GORAKO AUTOBUSA;2016/01/01;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;20;1000KG KARGA BALIAGARRITIK BEHERAKO KAMIOIA;2016/01/01;207;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;20;1000KG KARGA BALIAGARRITIK BEHERAKO KAMIOIA;2016/09/22;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;20;;2016/12/29;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;21;1000KG-2999KG KARGA BALIAGARRIKO KAMIOIA;2016/01/01;196;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;21;1000KG-2999KG KARGA BALIAGARRIKO KAMIOIA;2016/03/07;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;21;1000KG-2999KG KARGA BALIAGARRIKO KAMIOIA;2016/06/20;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;22;2999KG-9999KG KARGA BALIAGARRIKO KAMIOIA;2016/01/01;45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;23;9999KG KARGA BALIAGARRIK GORAKO KAMIOIA;2016/01/01;38;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;30;16 ZALDI FISKALETIK BEHERAKO TRAKTOREA;2016/01/01;68;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;30;16 ZALDI FISKALETIK BEHERAKO TRAKTOREA;2016/05/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;31;16TIK 25 ZALDI FISKALETARA BITARTEKO TRAKTOREA;2016/01/01;16;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;32;25 ZALDI FISKALETIK GORAKO TRAKTOREA;2016/01/01;45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;40;1000KG KARGA BALIAGARRITIK BEHERAKO ATOINA;2016/01/01;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;41;1000KG-2999KG KARGA BALIAGARRIKO ATOINA;2016/01/01;17;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;42;2999KG KARGA BALIAGARRITIK GORAKO ATOINA;2016/01/01;45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;50;ZIKLOMOTOREAK;2016/01/01;384;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;50;ZIKLOMOTOREAK;2016/05/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;50;ZIKLOMOTOREAK;2016/10/01;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;50;ZIKLOMOTOREAK;2016/10/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;51;125 ZK-RAINOKO MOTORRA;2016/01/01;362;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;51;125 ZK-RAINOKO MOTORRA;2016/01/13;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;52;125ZK-Z GAINETIK 250ZK-RAINOKO MOTORRA;2016/01/01;246;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;53;250ZK-Z GAINETIK 500ZK-RAINOKO MOTORRA;2016/01/01;98;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;54;500ZK-Z GAINETIK 1000ZK-RAINOKO MOTORRA;2016/01/01;303;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;54;500ZK-Z GAINETIK 1000ZK-RAINOKO MOTORRA;2016/05/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;54;500ZK-Z GAINETIK 1000ZK-RAINOKO MOTORRA;2016/09/22;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;55;1000ZK-TIK GORAKO MOTORRA;2016/01/01;68;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
