Mun;N.Fijo ;D;Po;Par;Su;Nombre                   ;Tc;Cc;Superfic
030;0306887;W;07;020;A ;                         ;PD;04;00001867
030;0306887;W;07;020;B ;                         ;CS;01;00000621
030;0306887;W;07;020;C ;                         ;MF;01;00017550
030;0306887;W;07;020;D ;                         ;I ;01;00001079
030;0306887;W;07;020;E ;                         ;MM;04;00000808
030;0306887;W;07;039;A ;                         ;MT;01;00003531
030;0306887;W;07;153;A ;                         ;PD;04;00004956
030;0306887;W;07;153;B ;                         ;CS;01;00000248
030;0306887;W;07;153;C ;                         ;E ;01;00001019
030;0306887;W;07;266;A ;                         ;MT;01;00011101
030;0306887;W;07;287;A ;                         ;E ;04;00000987
030;0306887;W;07;287;B ;                         ;MF;01;00000913
030;0306888;H;06;222;A ;                         ;MF;03;00015983
030;0306896;P;06;062;A ;                         ;MM;04;00007482
030;0306896;P;06;076;A ;                         ;MM;04;00005934
030;0306896;P;06;083;A ;                         ;MM;04;00005076
030;0306896;P;06;095;A ;                         ;C ;04;00006036
030;0306896;P;06;095;B ;                         ;I ;01;00002315
030;0306896;P;06;095;C ;                         ;E ;04;00006883
030;0306896;P;06;095;D ;                         ;MM;02;00014323
030;0306896;P;06;095;E ;                         ;PD;04;00060906
030;0306896;P;06;095;F ;                         ;MM;02;00010957
030;0306896;P;06;095;G ;                         ;MB;04;00017898
030;0306896;P;06;095;H ;                         ;MM;02;00006530
030;0306896;P;06;095;I ;                         ;MF;04;00005680
030;0306896;P;06;095;J ;                         ;MM;02;00003379
030;0306896;P;06;095;K ;                         ;MM;02;00012642
030;0306896;P;06;110;A ;                         ;MM;01;00004073
030;0306897;A;06;132;A ;                         ;E ;01;00000579
030;0306897;A;06;132;B ;                         ;E ;01;00004796
030;0306897;A;06;132;C ;                         ;I ;01;00000144
030;0306897;A;06;132;D ;                         ;MM;01;00011499
030;0306897;A;07;164;A ;                         ;MM;04;00002594
030;0306897;A;07;167;A ;                         ;MM;04;00007784
030;0306897;A;07;167;B ;                         ;PD;02;00015032
030;0306897;A;07;167;C ;                         ;CS;02;00000665
030;0306897;A;07;167;D ;                         ;MM;04;00004588
030;0306897;A;07;187;A ;                         ;MM;03;00003394
030;0306908;H;07;224;A ;                         ;MM;03;00009613
030;0306909;P;07;216;A ;                         ;E ;04;00000518
030;0306916;P;01;001;A ;                         ;MF;03;00003087
030;0306919;Q;01;046;A ;                         ;MM;04;00002975
030;0306919;Q;01;049;A ;                         ;MM;01;00021706
030;0306919;Q;01;052;A ;                         ;MM;01;00019390
030;0306921;W;03;103;A ;                         ;MM;01;00020324
030;0306944;C;06;248;A ;                         ;MF;01;00018156
030;0306944;C;06;248;B ;                         ;MM;01;00001440
030;0306951;C;06;088;A ;                         ;MM;04;00002180
030;0306951;C;06;088;B ;                         ;E ;04;00006351
030;0306951;C;06;088;C ;                         ;MM;04;00002659
