URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;KALIFIKAZIOA;ISUNEN KOPURUA;ORDAINDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;;;LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;;;OSO LARRIA;3;600,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;1101;BARRENENGUA KALEA;LARRIA;1;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1101;BARRENENGUA KALEA;OSO LARRIA;1;250,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;1102;EGO-GAIN KALEA;LARRIA;54;3.300,00;237,44;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;1102;EGO-GAIN KALEA;ARINA;22;390,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;1102;EGO-GAIN KALEA;OSO LARRIA;2;500,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1103;ISASI KALEA;LARRIA;44;3.169,90;1.666,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1103;ISASI KALEA;ARINA;29;687,35;128,69;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;030;EIBAR;1104;OTAOLA HIRIBIDEA;LARRIA;21;1.500,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;1104;OTAOLA HIRIBIDEA;ARINA;32;687,45;62,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1104;OTAOLA HIRIBIDEA;OSO LARRIA;3;0,00;1.154,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1105;SAN ANDRES PASEALEKU;LARRIA;10;500,00;469,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1105;SAN ANDRES PASEALEKU;ARINA;18;437,45;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1106;TORREKUA KALEA;LARRIA;5;400,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;1106;TORREKUA KALEA;ARINA;2;0,00;96,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1106;TORREKUA KALEA;OSO LARRIA;6;2.250,00;1.734,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;1107;UNTZAGA PLAZA;LARRIA;79;5.649,90;2.436,25;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1107;UNTZAGA PLAZA;ARINA;41;977,40;129,21;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;030;EIBAR;1107;UNTZAGA PLAZA;OSO LARRIA;4;500,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1108;ZEZENBIDE KALEA;LARRIA;4;200,00;249,20;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1108;ZEZENBIDE KALEA;ARINA;2;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;1202;FERMIN CALBETON KALE;LARRIA;45;2.810,00;956,37;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;1202;FERMIN CALBETON KALE;ARINA;52;1.000,00;124,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;030;EIBAR;1202;FERMIN CALBETON KALE;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1203;TORIBIO ETXEBARRIA;LARRIA;21;1.634,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;1203;TORIBIO ETXEBARRIA;ARINA;162;3.212,50;258,67;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1301;BISTA-EDER KALEA;LARRIA;23;1.734,95;720,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;1301;BISTA-EDER KALEA;ARINA;18;312,45;124,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1302;EIBARKO TXIKITO KALE;LARRIA;2;100,00;249,94;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1302;EIBARKO TXIKITO KALE;ARINA;4;25,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
