NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
Inv.nova en edif i altres constr.- Rel.Ciutadanes,622.00.0015,Edificis i altres construccions,3370A,Relacions ciutadanes,1.0.0.16,Ad.Gral.de Benestar i Acció Social,24825.46
Gestió i dinamització de mercats,212.00.0017,Edificis i altres construccions,4312A,Mercats,4.0.0.16,"Comerç, Fira i Turisme",992.64
Aportació a la Unió de Botiguers de Gavà,489.00.9916,A institucions sense ànim de lucre,4311A,Comerç - Dinamització comercial,4.0.0.16,"Comerç, Fira i Turisme",2450
Activitats de Civisme,226.99.0217,Altres despeses diverses,3274A,Civisme,4.0.0.16,"Comerç, Fira i Turisme",5808
Activitats Fira,226.99.0217,Altres despeses diverses,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",42011.66
Bestreta C.Fixa - Comerç i Fira,226.99.0917,Altres despeses diverses,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",814.41
Quotes participació associacions sectorials,226.99.0117,Altres despeses diverses,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",689.72
Seguretat Fira,227.01.0017,Seguretat,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",8013.81
Estudis i treballs tècnics de Comerç,227.06.0017,Estudis i treballs tècnics,4311A,Comerç - Dinamització comercial,4.0.0.16,"Comerç, Fira i Turisme",0
Difusió i divulgació Fira,226.02.0017,Publicitat i propaganda,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",5454.79
Aportació a DiBa - Comerç,461.00.0016,A Diputacions,4311A,Comerç - Dinamització comercial,4.0.0.16,"Comerç, Fira i Turisme",3394.05
Estudis i treballs tècnics de Comerç,227.06.0016,Estudis i treballs tècnics,4311A,Comerç - Dinamització comercial,4.0.0.16,"Comerç, Fira i Turisme",5703.18
Estudis tècnics promoció dels calçots de Gavà,227.06.0116,Estudis i treballs tècnics,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",1393.84
Pla de desenvolupament turístic,227.06.0016,Estudis i treballs tècnics,4322A,Promoció de la Ciutat - Turisme,4.0.0.16,"Comerç, Fira i Turisme",1870.36
Aportació a l'A.C.l'Illa del Centre,489.01.9916,A institucions sense ànim de lucre,4311A,Comerç - Dinamització comercial,4.0.0.16,"Comerç, Fira i Turisme",2450
Sub Agropecuaria de Gavà i B Llobregat - Llavors,489.03.9917,A institucions sense ànim de lucre,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",7000
Subvenció Agrupació Fotogràfica de Gavà - Fira d'e,489.02.9917,A institucions sense ànim de lucre,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",1400
Treballs tècnics dinamització i formació,227.06.0117,Estudis i treballs tècnics,4311A,Comerç - Dinamització comercial,4.0.0.16,"Comerç, Fira i Turisme",6934.98
Pla de desenvolupament turístic,227.06.0017,Estudis i treballs tècnics,4322A,Promoció de la Ciutat - Turisme,4.0.0.16,"Comerç, Fira i Turisme",12701.22
Treballs tècnics Pla Estratègic Turisme,227.06.0117,Estudis i treballs tècnics,4322A,Promoció de la Ciutat - Turisme,4.0.0.16,"Comerç, Fira i Turisme",13747.86
Estudis i treballs tècnics- organització gral Fira,227.06.0017,Estudis i treballs tècnics,4321A,Promoció de la Ciutat - Fira,4.0.0.16,"Comerç, Fira i Turisme",67075.73
Quota Associació Catalana de Municipis,482.01.0017,A associacions sense ànim de lucre,9220A,Coord. i organitz. institucional entitats locals,2.0.1.16,Coordinació i Gestió Interna,7201
Aportacions a Grups Municipals,489.00.0317,A institucions sense ànim de lucre,9240A,Participació ciutadana,2.0.1.16,Coordinació i Gestió Interna,153000
Aportació a la Federació de Municipis de Catalunya,489.00.9917,A institucions sense ànim de lucre,9220A,Coord. i organitz. institucional entitats locals,2.0.1.16,Coordinació i Gestió Interna,7675.48
Lliure disposició Junta de Govern,489.00.0317,A institucions sense ànim de lucre,9122A,Òrgans de govern - Programes de la Junta de Govern,2.0.1.16,Coordinació i Gestió Interna,5429.39
Estudis i treb tèc de SS Grals i Gestió Interna,227.06.0017,Estudis i treballs tècnics,9220A,Coord. i organitz. institucional entitats locals,2.0.1.16,Coordinació i Gestió Interna,11816.84
Projectes de Govern obert,227.06.0116,Estudis i treballs tècnics,4914B,Govern obert i transparència,2.0.0.16,Coordinació i Planificació Estratègica,12844.5
Projectes d'Administració electrònica,227.06.0116,Estudis i treballs tècnics,4914A,Administració electrònica,2.0.0.16,Coordinació i Planificació Estratègica,11958.42
Projectes de Govern obert,227.06.0117,Estudis i treballs tècnics,4914B,Govern obert i transparència,2.0.0.16,Coordinació i Planificació Estratègica,18863.99
Convenis foment de relacions ciutadanes,480.14.0315,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,150
Subvencions AAVV,480.15.0015,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,512.5
Subvencions AAVV - Sta Teresa,480.18.0015,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura,375
Aportació Fundació Hervàs Amezcua,480.10.9916,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura,2368.25
