FUNCIONAL,IMPORT
Equipaments de serveis,58643.14
Promoció de la Ciutat - Turisme,2875
Administració General ,19591.2
Administració General - Serveis Generals,2880
Instal·lacions esportives,41119.39
Educació Especial,600.39
Societat de la informació-Audiovisual i Internet,4675.71
Igualtat,8485.46
Mediació Social,3289
Edificis administratius,25727.46
Relacions ciutadanes,3258.16
Inversions financerament sostenibles,30858.32
Arts escèniques i Música,7280.46
Promoció i foment de l'esport,4416.02
Cooperació,266
Cicle Festiu,2217.95
Òrgans de govern - Programes d'Alcaldia,4522.87
Societat de la informació-Radiodifusió,700.44
Protecció de la salubritat pública,4763.6
Joventut,1415
Administració General - Informàtica i NT,-6772.95
Patrimoni Històric i Cultural,94.86
Ordenació del trànsit i de l'estacionament,565.16
Cementiri,739.2
Infància,1529.62
Enllumenat públic,31387
Biblioteques de Gavà,592.88
Protecció civil ,1203.95
Òrgans de govern,775.56
Foment de l'Ocupació - Creació d'empresa,18277
Societat de la informació-Premsa escrita,6636.13
Deute Públic,9018.02
Dinamització empresarial,1280.48
Foment de l'Ocupació - Formació,4569
Promoció Educativa,1628.66
Gestió del sistema tributari,480.22
Projecte Educatiu de Ciutat,126.45
Parcs i jardins,1114.38
Projectes Junts Fem Barri,1504.99
Drets civils i Nova ciutadania,8508.83
Administració electrònica,6050
Funcionament centres docents d'Educació,26929.18
Acció social,617.28
Programes socials,2579
Gent Gran,4257.88
Policia de Seguretat,9958.7
Altres prestacions econòmiques a favor d'empleats,-513.86
Assitència a persones dependents,40787.53
