CONCEPTE,IMPORT
ALTRES,67818.12
BASUDOM,1460157.76
IIVT,5490038.41
TAXSAN,925672.5
M_MACIA,94837.61
MCOMUNI,185124.82
IBIR,47264.76
ICIO,51897.78
PLACA,1975
VARIS,168491.65
TERRASS,73707.99
PAC,408314.12
OAE,202749.2
VIAPUBL,247633.87
CEMENT,635777
DIPOSIT,942252.18
BASUCOM,408845.82
VARIVA,91177.94
IBIU,14569004.32
SANCION,156910.92
CONCESS,1261136.52
GUALS,552720.96
SERVPER,489913.28
LLICACT,15029.71
IMPAC,2119.94
IBIUL,2263056.97
IMPAC2,6004.02
