DATA OPERACIO,DESCRIPCIO OPERACIO,IMPORT,NOM PARTIDA,CODI ECONOMIC,ECONOMIC,CODI FUNCIONAL,FUNCIONAL,CODI ORGANIC,ORGANIC
01/01/2017 12:00:00 AM,Obertura pressupost 2017,12000,Lloguer habitatges per a families vulnerables,202.00.0017,Arrendament edificis i altres construccions,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,83000,Gavà Solidària,226.99.0017,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,43000,At.Primària-P.Familiar:Situacions emerg?ncia,226.99.0217,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,40000,Treballs tècnics d'Acció Social,227.99.0017,Altres treballs realitzats per altres emp.i profes,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,30000,Aportació Fundació Privada CAVIGA,480.00.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,19000,Ajuts a famílies: Suport activitats d'estiu,480.02.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,1230,Subvenció Fundació Nostra Senyora Brugués,480.03.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,51550,Ajuts a famílies:Situacions d'emergència,480.05.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,27100,Subvenció Asociación Pro-ayudas Minorias Marginada,480.16.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,5000,Subvenció ADISGA,480.17.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,19400,Aportació Ass.Veïns Masia Espinòs,480.19.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,19000,Subvenció Entitats S.Socials,480.21.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,33000,Convenis Entitats S.Socials,480.22.0317,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,569640,Dependència - Ajut a domicili (SAD),227.06.0117,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,8000,Programa Arranjament Habitatges,227.06.0217,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,35000,Subvenció al Consell Comarcal: Transport adaptat,465.02.0217,A Comarques,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,43910,Mediació social,226.99.0117,Altres despeses diverses,2311C,Mediació Social,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,26260,Gent Gran - Dinamització,226.06.0117,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,65360,Gent Gran - Projectes,226.06.0217,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,6000,Ajuts a famílies: Subvencions taxes,480.03.0017,A famílies i institucions sense ànim de lucre,2312A,Gent Gran,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,40070,Centre Obert les Farreres,226.06.0017,"Reunions, conferències i cursos",2316A,Infància,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,1000,Treballs Xarxa de serveis d'infància,227.06.0017,Estudis i treballs tècnics,2316A,Infància,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,2000,Subvenció al Consell Comarcal per a l'EAIA,465.01.0217,A Comarques,2316A,Infància,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,55000,Beques per activitats extraescolars,481.01.0117,Beques,2316A,Infància,1.1.0.16,Serveis Socials
01/01/2017 12:00:00 AM,Obertura pressupost 2017,60000,Beques de menjador,481.02.0017,Beques,2316A,Infància,1.1.0.16,Serveis Socials
