DATA,PROCES,PSC,CIU,PP,ICV_EUIA,ERC,CIUTADANS,GSP
24/05/2015,ELECCIONES MUNICIPALES,8,2,2,0,3,4,2
22/05/2011,ELECCIONES MUNICIPALES,9,3,4,2,2,1,0
27/05/2007,ELECCIONES MUNICIPALES,12,1,3,2,2,1,0
25/05/2003,ELECCIONES MUNICIPALES,12,2,3,0,1,0,0
13/06/1999,ELECCIONES MUNICIPALES,15,2,3,0,0,0,0
