DATA,PROCES,PSC,CIU,PP,ICV_EUIA,ERC,CIUTADANS,UPYD
22/05/2011,ELECCIONES MUNICIPALES,35.13%,13.97%,18.68%,8.23%,7.5%,5.36%,
27/05/2007,ELECCIONES MUNICIPALES,48.68%,7.35%,14.12%,10.11%,10.21%,5.54%,
25/05/2003,ELECCIONES MUNICIPALES,50.37%,9.22%,13.67%,0%,7.94%,,
13/06/1999,ELECCIONES MUNICIPALES,59.98%,11.56%,12.74%,0%,4.96%,,
24/05/2015,ELECCIONES MUNICIPALES,30.65%,6.93%,8.26%,4.46%,12.14%,14.65%,0.34%
