DATA,PROCES,PSC,CIU,PP,ICV_EUIA,ERC,CIUTADANS,UPYD
25/11/2012,ELECCIONS AL PARLAMENT DE CATALUNYA,20.41%,20.52%,15.25%,,9.16%,13.79%,
28/11/2010,ELECCIONS AL PARLAMENT DE CATALUNYA,23.6%,32.38%,15.19%,,4.69%,6.32%,
01/11/2006,ELECCIONS AL PARLAMENT DE CATALUNYA,35.58%,24.76%,12.77%,,9.06%,4.95%,
16/11/2003,ELECCIONS AL PARLAMENT DE CATALUNYA,43.32%,22.23%,14.09%,,10.41%,,
01/10/1999,ELECCIONS AL PARLAMENT DE CATALUNYA,51.7%,26.91%,10.73%,,4.69%,,
27/09/2015,ELECCIONS AL PARLAMENT DE CATALUNYA,18.8%,,9.02%,,,26.25%,
