NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
RC funcionaris activitats i disciplina urbanística,121.00.0017,Complement destinació,1511A,Activitats i disciplina urbanística,2.2.0.16,Recursos Humans,64714.5
RB laborals temporal Recursos Humans,131.00.0017,Laboral temporal,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,19442.95
Product.laborals temporals foment de l' ocupació,150.02.0017,Productivitat,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,2944.5
Alts càrrecs -  Electes,100.00.0017,Retribuc.bàsiq.i altres remuner. membr.órg.govern,9120A,Òrgans de govern,2.2.0.16,Recursos Humans,278111.23
Eventuals Administració General,110.00.0017,Retribucions bàsiques,9200A,Administració General ,2.2.0.16,Recursos Humans,80458.08
RB funcionaris seguretat i ordre públic,120.00.0017,Sous del Grup A1,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,953100.08
"RB funcionaris urbanisme, planif.i projectes",120.00.0017,Sous del Grup A1,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,148948.16
RB funcionaris Obres i Manteniment,120.00.0017,Sous del Grup A1,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,63299.87
RB funcionaris protecció i millora medi ambient,120.00.0017,Sous del Grup A1,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,30379.69
RB funcionaris Serveis Socials,120.00.0017,Sous del Grup A1,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,14642.81
RB funcionaris Ad. Gral. Igualtat i Ciutadania,120.00.0017,Sous del Grup A1,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,7621.17
RB funcionaris salut pública,120.00.0017,Sous del Grup A1,3110A,Adm.Gral de Salut Pública,2.2.0.16,Recursos Humans,47054.96
RB funcionaris Biblioteques,120.00.0017,Sous del Grup A1,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,9917.41
RB funcionaris Administració General,120.00.0017,Sous del Grup A1,9200A,Administració General ,2.2.0.16,Recursos Humans,18415.11
RB funcionaris Ad.Gral. Serveis a la Persona,120.00.0017,Sous del Grup A1,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,21168.6
RB funcionaris Secretaria i Serveis Jurídics,120.00.0017,Sous del Grup A1,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,111418.53
RB funcionaris Recursos Humans,120.00.0017,Sous del Grup A1,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,61334.19
RB funcionaris Informàtica i NT,120.00.0017,Sous del Grup A1,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,81888.75
RB funcionaris Serveis Generals,120.00.0017,Sous del Grup A1,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,27202.05
RB funcionaris Participació ciutadana,120.00.0017,Sous del Grup A1,9240A,Participació ciutadana,2.2.0.16,Recursos Humans,28380.14
RB funcionaris OAC,120.00.0017,Sous del Grup A1,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,44355.71
RB funcionaris Pol Fiscal i Fin,120.00.0017,Sous del Grup A1,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,62276.78
RB funcionaris Ad. GT i Tresoreria,120.00.0017,Sous del Grup A1,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,86706.91
RB funcionaris Mobilitat urbana,120.00.0017,Sous del Grup A1,1330A,Administració Gral de Mobilitat urbana,2.2.0.16,Recursos Humans,20508.97
RB funcionaris Alcaldia,120.00.0017,Sous del Grup A1,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,17589.1
RB funcionaris activitats i disciplina urbanística,120.00.0017,Sous del Grup A1,1511A,Activitats i disciplina urbanística,2.2.0.16,Recursos Humans,49264.19
RB funcionaris educació preescolar i primària,120.00.0017,Sous del Grup A1,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,6533.09
RB funcionaris Comerç i Fira,120.00.0017,Sous del Grup A1,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,10147.17
RC funcionaris seguretat i ordre públic,121.00.0017,Complement destinació,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,1056956.84
"RC funcionaris urbanisme, planif.i projectes",121.00.0017,Complement destinació,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,180545.26
RC funcionaris Obres i Manteniment,121.00.0017,Complement destinació,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,89891.91
RC funcionaris protecció i millora medi ambient,121.00.0017,Complement destinació,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,32148.18
RC funcionaris Serveis Socials,121.00.0017,Complement destinació,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,11669.99
RC funcionaris Ad. Gral. Igualtat i Ciutadania,121.00.0017,Complement destinació,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,8298.4
RC funcionaris salut pública,121.00.0017,Complement destinació,3110A,Adm.Gral de Salut Pública,2.2.0.16,Recursos Humans,48744.04
RC funcionaris Administració General,121.00.0017,Complement destinació,9200A,Administració General ,2.2.0.16,Recursos Humans,11761.02
RC funcionaris Ad.Gral. Serveis a la Persona,121.00.0017,Complement destinació,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,30360.06
RC funcionaris Secretaria i Serveis Jurídics,121.00.0017,Complement destinació,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,132223.96
RC funcionaris Recursos Humans,121.00.0017,Complement destinació,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,75677.51
RC funcionaris Informàtica i NT,121.00.0017,Complement destinació,9203A,Administració General - Informàtica i NT,2.2.0.16,Recursos Humans,94419.02
RC funcionaris Participació ciutadana,121.00.0017,Complement destinació,9240A,Participació ciutadana,2.2.0.16,Recursos Humans,27785.31
RC funcionaris OAC,121.00.0017,Complement destinació,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,57783.07
RC funcionaris Pol Fiscal i Fin,121.00.0017,Complement destinació,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,95211.68
RC funcionaris Ad. GT i Tresoreria,121.00.0017,Complement destinació,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,91091.62
RC funcionaris Biblioteques,121.00.0017,Complement destinació,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,10475.46
RC funcionaris Serveis Generals,121.00.0017,Complement destinació,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,37082.13
RC funcionaris Mobilitat urbana,121.00.0017,Complement destinació,1330A,Administració Gral de Mobilitat urbana,2.2.0.16,Recursos Humans,28448.43
RC funcionaris Alcaldia,121.00.0017,Complement destinació,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,20037.62
RC funcionaris Comerç i Fira,121.00.0017,Complement destinació,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,11205.23
RB laboral fixos seguretat i ordre públic,130.00.0017,Retribucions bàsiques,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,13719.31
"RB laborals fixos urbanisme, planif.i projectes",130.00.0017,Retribucions bàsiques,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,83273.18
RB laboral fix Obres i Manteniment,130.00.0017,Retribucions bàsiques,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,37313.27
RB laboral fix Cementiris i serveis funeraris,130.00.0017,Retribucions bàsiques,1640A,Cementiri,2.2.0.16,Recursos Humans,18334.32
RB laborals fixos protec.i millora medi ambient,130.00.0017,Retribucions bàsiques,1720A,Adm.Gral de Medi Ambient,2.2.0.16,Recursos Humans,27071.33
RB laboral fix S. Socials,130.00.0017,Retribucions bàsiques,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,207524.11
RB laborals fixos foment de l' ocupació,130.00.0017,Retribucions bàsiques,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,117045.99
RB laboral fix Educació,130.00.0017,Retribucions bàsiques,3200A,Administració general de educació,2.2.0.16,Recursos Humans,52740.44
RB laboral fix Escola EE,130.00.0017,Retribucions bàsiques,3231A,Educació Especial,2.2.0.16,Recursos Humans,156367.21
RB laboral fix Cultura,130.00.0017,Retribucions bàsiques,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,33406.24
RB laboral fix Biblioteques,130.00.0017,Retribucions bàsiques,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,67261.55
RB laborals fixos Secretaria i Serv.Jurídics,130.00.0017,Retribucions bàsiques,9201A,Administració General - Secretaria i serveis juríd,2.2.0.16,Recursos Humans,67142.54
RB laborals fixos Patrimoni Històric,130.00.0017,Retribucions bàsiques,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,111896.73
RB laborals fixos Ad. Gral. Esports,130.00.0017,Retribucions bàsiques,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,36794.4
RB laborals fixos Ad.Gral - Equip. de serveis,130.00.0017,Retribucions bàsiques,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,156923.65
"RB laboral fix Comerç, i Fira",130.00.0017,Retribucions bàsiques,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,67767.17
RB laborals fixos Premsa,130.00.0017,Retribucions bàsiques,4911A,Societat de la informació-Premsa escrita,2.2.0.16,Recursos Humans,100528.58
RB laborals fixos Ràdio,130.00.0017,Retribucions bàsiques,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,96499.2
RB laborals fixos Televisió,130.00.0017,Retribucions bàsiques,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,52058.31
RB laborals fixos Administració General,130.00.0017,Retribucions bàsiques,9200A,Administració General ,2.2.0.16,Recursos Humans,18284.75
RB laborals fixos Ad.Gral. Serveis a la Persona,130.00.0017,Retribucions bàsiques,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,141031.24
RB laborals fixos Recursos Humans,130.00.0017,Retribucions bàsiques,9202A,Administració General - Recursos Humans,2.2.0.16,Recursos Humans,31088.81
RB laborals fixos Serveis Generals,130.00.0017,Retribucions bàsiques,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,105767.51
RB laborals fixos OAC,130.00.0017,Retribucions bàsiques,9250A,Ad.Gral. Atenció als ciutadans (OAC),2.2.0.16,Recursos Humans,155942.19
RB laboral fix Pol Fiscal i Fin,130.00.0017,Retribucions bàsiques,9310A,Intervenció i Comptabilitat,2.2.0.16,Recursos Humans,97154.39
RB laboral fix Ad. GT i Tresoreria,130.00.0017,Retribucions bàsiques,9320A,Gestió del sistema tributari,2.2.0.16,Recursos Humans,25241.04
RB laboral fix Polítiques de gènere,130.00.0017,Retribucions bàsiques,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,21636.72
RB laborals fixos Alcaldia,130.00.0017,Retribucions bàsiques,9121A,Òrgans de govern - Programes d'Alcaldia,2.2.0.16,Recursos Humans,53771.29
RB laboral fix educació preescolar i primària,130.00.0017,Retribucions bàsiques,3230A,Funcionament centres docents d'Educació,2.2.0.16,Recursos Humans,95975.04
RB laborals fixos instal·lacions esportives,130.00.0017,Retribucions bàsiques,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,140010.08
RB laborals fixos Oficina Local d'Habitatge,130.00.0017,Retribucions bàsiques,1521A,Polítiques Municipals d'Habitatge,2.2.0.16,Recursos Humans,51148.86
H. extraordinàries laboral fix Serveis Socials,130.01.0017,Hores extraordinaries,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,372.45
H. Extr.laborals fixos foment de l' ocupació,130.01.0017,Hores extraordinaries,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,95.46
H. extraordinàries laboral fix Escola EE,130.01.0017,Hores extraordinaries,3231A,Educació Especial,2.2.0.16,Recursos Humans,1374.04
H. extraordinàries laboral fix Cultura,130.01.0017,Hores extraordinaries,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,2779.87
H. extraord. laboral fixos Patrimoni Històric,130.01.0017,Hores extraordinaries,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,212.94
H. extraordinàries laboral fix Ad. Gral. Esports,130.01.0017,Hores extraordinaries,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,85.14
H. extraord.laboral fix Ad.Gral - Equip.serveis,130.01.0017,Hores extraordinaries,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,6521.69
H. extraordinàries laboral fixos Premsa,130.01.0017,Hores extraordinaries,4911A,Societat de la informació-Premsa escrita,2.2.0.16,Recursos Humans,1532.11
H. extraordinàries laborals fixos Ràdio,130.01.0017,Hores extraordinaries,4912A,Societat de la informació-Radiodifusió,2.2.0.16,Recursos Humans,5927.95
Hores extraordinàries laborals fixos Televisió,130.01.0017,Hores extraordinaries,4913A,Societat de la informació-Audiovisual i Internet,2.2.0.16,Recursos Humans,6548.32
H. extraord.laboral fix Ad.Gral. Serveis Persona,130.01.0017,Hores extraordinaries,9200B,Administració General - Benestar i Acció Social,2.2.0.16,Recursos Humans,206.4
H.extraord. laborals fixos Serveis Grals,130.01.0017,Hores extraordinaries,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans,7275.61
H. extraordin.laboral fix Polítiques de gèner,130.01.0017,Hores extraordinaries,2310B,Administració General Igualtat i Ciutadania,2.2.0.16,Recursos Humans,1688.34
H. extraordinàries laboral fix Comerç i Fira,130.01.0017,Hores extraordinaries,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,1880.15
H. extraor.laboral fixos instal·lacions esportives,130.01.0017,Hores extraordinaries,3420A,Instal·lacions esportives,2.2.0.16,Recursos Humans,11864.61
RC laborals fixos seguretat i ordre públic,130.02.0017,Altres remuneracions,1320A,Policia de Seguretat,2.2.0.16,Recursos Humans,451.4
"RC laborals fixos urbanisme, planif.i projectes",130.02.0017,Altres remuneracions,1510A,Urbanisme Planificació i Projectes,2.2.0.16,Recursos Humans,5002.65
RC laboral fix Obres i Manteniment,130.02.0017,Altres remuneracions,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,2.2.0.16,Recursos Humans,1596.89
RC laboral fix Serveis Socials,130.02.0017,Altres remuneracions,2310A,Administració General de Serveis Socials,2.2.0.16,Recursos Humans,8450
RC laborals fixos foment de l' ocupació,130.02.0017,Altres remuneracions,2410A,Foment de l'Ocupació,2.2.0.16,Recursos Humans,10956.22
RC laboral fix Educació,130.02.0017,Altres remuneracions,3200A,Administració general de educació,2.2.0.16,Recursos Humans,1280.28
RC laboral fix Escola EE,130.02.0017,Altres remuneracions,3231A,Educació Especial,2.2.0.16,Recursos Humans,29819.46
RC laboral fix Cultura,130.02.0017,Altres remuneracions,3300A,Administració General de Cultura,2.2.0.16,Recursos Humans,3340.1
RC laboral fix Biblioteques,130.02.0017,Altres remuneracions,3321A,Biblioteques de Gavà,2.2.0.16,Recursos Humans,1251.7
RC laborals fixos Patrimoni Històric,130.02.0017,Altres remuneracions,3360A,Patrimoni Històric i Cultural,2.2.0.16,Recursos Humans,4545.75
RC laborals fixos Ad. Gral. Esports,130.02.0017,Altres remuneracions,3400A,Administració General d'Esports,2.2.0.16,Recursos Humans,4617.84
RC laborals fixos Ad.Gral - Equipam.serveis,130.02.0017,Altres remuneracions,9330B,Equipaments de serveis,2.2.0.16,Recursos Humans,16368.52
"RC laboral fix Comerç, i Fira",130.02.0017,Altres remuneracions,4300A,Admó. General. Comerç i Fira,2.2.0.16,Recursos Humans,294.39
RC laborals fixos Premsa,130.02.0017,Altres remuneracions,4911A,Societat de la informació-Premsa escrita,2.2.0.16,Recursos Humans,13650.08
