Codi Tipus Via,Tipus Via,Nom Via
AV3,Avinguda de,Bertran i Güell
CR4,Carrer de,Ca n'Aimeric
CR4,Carrer de,Can Perers
CR4,Carrer de,Can Sopes
AU,Autovia de,Castelldefels
CR7,Carrer de la,Ciutat del Repòs
CR7,Carrer de la,Concòrdia
CM6,Camí del,Poll
RA,Rambla de,Pompeu Fabra
PL4,Plaça de,Ponent
CM4,Camí de la,Post de Baix
CR7,Carrer de la,Post
CR4,Carrer de,Premià
CR9,Carrer del,Progrés
PL7,Plaça del,Racó
CR4,Carrer de,Ramon Muntaner
CR7,Carrer de la,Recerca
CM6,Camí del,Regàs
PL7,Plaça del,Regàs
PL7,Plaça del,Repòs
CR10,Carrer dels,Rierals
CR9,Carrer del,Riu Besòs
CR9,Carrer del,Riu Ebre
CR9,Carrer del,Riu Fluvià
CR9,Carrer del,Riu Llobregat
PA6,Passatge del,Riu Segre
CR9,Carrer del,Riu Ter
CM6,Camí del,Riuet
CR7,Carrer de la,Roda
PL7,Plaça del,Romaní
CR4,Carrer de,Roses
CR9,Carrer del,Rourell
CR7,Carrer de la,Salut
CR4,Carrer de,Sant Josep Oriol
PA3,Passatge de,Sant Martí
PA3,Passatge de,Santa Eulàlia
PL5,Plaça de la,Sentiu
CM6,Camí del,Soberano de Baix
PL5,Plaça de la,Solidaritat
CR7,Carrer de la,Tècnica
CR7,Carrer de la,Tecnologia
PL5,Plaça de la,Terra
CR4,Carrer de,València
CR9,Carrer del,Vapor
CR9,Carrer del,Dr. Fernando Sauri  
PA2,Passatge d',Elisenda de Montcada
CR6,Carrer de l',Aigua
PL2,Plaça  de l',Església
CR4,Carrer de,F. Garcia Lorca
CR4,Carrer de,F. Rius i Taulet
CM2,Camí de,Can Fogueres
PS3,Passeig del,Ferrocarril
CR7,Carrer de la,Floresta
CR7,Carrer de la,Forja
CM3,Camí de l',Arbret
AV3,Avinguda de,Francesc Cambó
CR12,Corredora,Principal
CR4,Carrer de,Garraf 
CR13,Corredora de,Baix
CR12,Corredora,Vall del Torrentet del Matar
CR4,Carrer de,Guifré el Pelós
CR13,Corredora de,Dalt
CR13,Corredora de,Can Torelló
CR4,Carrer de,Joan I
CR4,Carrer de,Joanot Martorell
CR4,Carrer de,Llançà
CR4,Carrer de,Lluís Dalmau
CR4,Carrer de,Manuel de Falla
CR7,Carrer de la,Mare de Déu de Montserrat
RA,Rambla de,Maria Casas
CR10,Carrer dels,Obradors
