DATA OPERACIO,DESCRIPCIO OPERACIO,IMPORT,NOM PARTIDA,CODI ECONOMIC,ECONOMIC,CODI FUNCIONAL,FUNCIONAL,CODI ORGANIC,ORGANIC
15/01/2017,Incorporació romanents ex.2016,6000,Beques llibres: Programa Reutilització,481.04.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials
15/01/2017,Incorporació romanents ex.2016,30000,Beques llibres: Programa Socialització,481.03.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials
15/01/2017,Incorporació romanents ex.2016,35000,Beques per activitats extraescolars,481.01.0116,Beques,2316A,Infància,1.1.0.16,Serveis Socials
15/01/2017,Incorporació romanents ex.2016,20000,Beques esportives Ciutat de Gavà,481.06.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials
15/01/2017,Incorporació romanents ex.2016,80000,Beques Llibres: individuals,481.05.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials
31/01/2017,EXP 2/17 TRA,600,Premis creació literaria,480.00.0017,A famílies i institucions sense ànim de lucre,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
31/01/2017,EXP 2/17 TRA,3600,Premis creació literaria,480.00.0017,A famílies i institucions sense ànim de lucre,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
31/01/2017,EXP 2/17 TRA,10080,RB laboral temporal Escola EE,131.00.0017,Laboral temporal,3231A,Educació Especial,2.2.0.16,Recursos Humans
31/01/2017,EXP 2/17 GEN,19859.75,Inversió nova en mobiliari,625.00.0017,Mobiliari,9200A,Administració General ,2.6.0.16,Serveis Generals
31/01/2017,EXP 2/17 GEN,500000,Inv rep infraest i bens ús gral - Junts fem barri,619.00.0017,Altres inversions de reposició en infraestructures,1533J,Projectes Junts Fem Barri,3.4.0.16,Obres i Manteniment
31/01/2017,EXP 2/17 GEN,119920.62,Instal·lacions edifici corporatiu,633.00.0017,"Maquinària,instal·lacions i utillatge",9330A,Edificis administratius,3.4.0.16,Obres i Manteniment
31/01/2017,EXP 2/17 GEN,42930,Rehabilitació edificis ,632.00.0017,Edificis i altres construccions,9330B,Equipaments de serveis,3.4.0.16,Obres i Manteniment
31/01/2017,EXP 2/17 TRA,3600,Despeses premis creació literària,226.09.0517,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
31/01/2017,EXP 2/17 TRA,600,Projectes transversals Xarxa Biblioteques,226.09.0417,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
31/01/2017,EXP 2/17 TRA,10080,Prestació serveis tècnics educatius,226.99.0117,Altres despeses diverses,3231A,Educació Especial,1.2.1.16,EEE Maria Felip
31/01/2017,EXP 2/17 GEN,97243,Aportació DiBa - Servei Local Teleassistència,461.00.0017,A Diputacions,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
31/01/2017,EXP 2/17 TRA,7615,Gavà Solidària,226.99.0017,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials
31/01/2017,EXP 2/17 TRA,7615,Ajuts a famílies:Situacions d'emergència,480.05.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials
10/02/2017,EXP 1/17 AMP,2558.43,Reparació sinistres (AMP),212.00.0017,Edificis i altres construccions,9204C,AG - SSGG - Gestió assegurances,2.6.0.16,Serveis Generals
15/02/2017,Incorporació romanents ex.2016,25000,Inv.nova en edif i altres constr.- Rel.Ciutadanes,622.00.0015,Edificis i altres construccions,3370A,Relacions ciutadanes,1.0.0.16,Ad.Gral.de Benestar i Acció Social
15/02/2017,Incorporació romanents ex.2016,37874.52,Dependència - Ajut a domicili (SAD),227.06.0116,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,14376.11,Gent Gran - Dinamització,226.06.0116,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,4356,Gent Gran - Projectes,226.06.0216,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,20958.5,Aportació a Creu Roja ,480.22.0316,A famílies i institucions sense ànim de lucre,2316A,Infància,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,4637.2,Beques de menjador,481.02.0015,Beques,2316A,Infància,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,59994.7,Beques de menjador,481.02.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,26301.36,Gavà Solidària,226.99.0016,Altres despeses diverses,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,14129.16,Dinamització d'equipaments d'acció social,227.06.0016,Estudis i treballs tècnics,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,36.3,Treballs tècnics d'Acció Social,227.99.0016,Altres treballs realitzats per altres emp.i profes,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,651,Ajuts a famílies: Suport activitats d'estiu,480.02.0016,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,239.15,Ajuts a famílies: pobresa energètica,480.02.0115,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,156883.05,Ajuts a famílies: pobresa energètica,480.02.0116,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,9113.69,Ajuts a famílies:Situacions d'emergència,480.05.0016,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,6775,Subvenció Asociación Pro-ayudas Minorias Marginada,480.16.9916,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2017,1250,Subvenció ADISGA,480.17.9916,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,4850,Conveni Entitats S.Socials - PDC Masia Espinós,480.19.0316,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,2950,Subvenció Entitats S.Socials,480.21.0016,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials
15/02/2017,Incorporació romanents ex.2016,181.49,PEC: PTT,226.99.0616,Altres despeses diverses,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació
15/02/2017,Incorporació romanents ex.2016,3200,Dinàmica Educativa,226.99.0014,Altres despeses diverses,3273A,Promoció Educativa,1.2.0.16,Educació
15/02/2017,Incorporació romanents ex.2016,922.53,Dinàmica Educativa,226.99.0016,Altres despeses diverses,3273A,Promoció Educativa,1.2.0.16,Educació
15/02/2017,Incorporació romanents ex.2016,1250,Subvencions AMPAS - USEE,480.00.0016,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació
15/02/2017,Incorporació romanents ex.2016,1215,Subvencions suport Accions Educatives,480.25.0016,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació
15/02/2017,Incorporació romanents ex.2016,6822.6,Subvencions - Foment de l'educació i la formació,480.26.0016,A famílies i institucions sense ànim de lucre,3273A,Promoció Educativa,1.2.0.16,Educació
15/02/2017,Incorporació romanents ex.2016,779.72,Transports,223.00.0016,Transports,3231A,Educació Especial,1.2.1.16,EEE Maria Felip
15/02/2017,Incorporació romanents ex.2016,580.99,Activitats - Escola E. Especial,226.06.0016,"Reunions, conferències i cursos",3231A,Educació Especial,1.2.1.16,EEE Maria Felip
15/02/2017,Incorporació romanents ex.2016,281.93,Projectes transversals Xarxa Biblioteques,226.09.0516,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,2614.24,Programació Espai Maragall,226.09.0116,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,3971.7,"Promoció i Difusió Arts Escèniques,Visual i Música",226.09.0216,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,125,Subvencions entitats promoció de les arts,480.08.0015,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,6264.31,Subvencions entitats promoció de les arts,480.08.0016,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2017,2368.25,Aportació Fundació Hervàs Amezcua,480.10.9916,A famílies i institucions sense ànim de lucre,3330A,Arts escèniques i Música,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,9294.15,Aportació Consorci Normalització Lingüística,467.00.0016,A Consorcis,3340A,Promoció cultural,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,1125,Convenis foment cultura,480.27.0316,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,631.25,Subvencions - Entitats Culturals,480.28.0015,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,6697.5,Subvencions Entitats culturals,480.28.0016,A famílies i institucions sense ànim de lucre,3340A,Promoció cultural,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,150,Convenis foment de relacions ciutadanes,480.14.0315,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura
15/02/2017,Incorporació romanents ex.2016,3088,Convenis foment de relacions ciutadanes,480.14.0316,A famílies i institucions sense ànim de lucre,3370A,Relacions ciutadanes,1.3.0.16,Cultura
