DATA,PROCES_ELECTORAL,CENS,LLEGITS,NULS,BLANCS,CANDIDATURA,PARTICIPACIO
01/10/1999,ELECCIONS AL PARLAMENT DE CATALUNYA,32838,17892,43,116,17733,54.48%
16/11/2003,ELECCIONS AL PARLAMENT DE CATALUNYA,33710,19055,35,183,18837,56.53%
01/11/2006,ELECCIONS AL PARLAMENT DE CATALUNYA,34022,17368,51,316,17001,51.05%
28/11/2010,ELECCIONS AL PARLAMENT DE CATALUNYA,33111,18923,87,601,18235,57.15%
25/11/2012,ELECCIONS AL PARLAMENT DE CATALUNYA,33433,22545,212,394,21939,67.43%
27/09/2015,ELECCIONS AL PARLAMENT DE CATALUNYA,33904,25799,79,105,25615,76.09%
