CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-01001;Abstenció;847
S-01001;Vots a candidatures;840
S-01001;Vots en blanc;12
S-01001;Vots nuls;15
S-01002;Abstenció;643
S-01002;Vots a candidatures;731
S-01002;Vots en blanc;14
S-01002;Vots nuls;4
S-01003;Abstenció;615
S-01003;Vots a candidatures;447
S-01003;Vots en blanc;9
S-01003;Vots nuls;3
S-01004;Abstenció;833
S-01004;Vots a candidatures;675
S-01004;Vots en blanc;13
S-01004;Vots nuls;7
S-01005;Abstenció;489
S-01005;Vots a candidatures;392
S-01005;Vots en blanc;7
S-01005;Vots nuls;3
S-01006;Abstenció;276
S-01006;Vots a candidatures;284
S-01006;Vots en blanc;5
S-01006;Vots nuls;4
S-01007;Abstenció;630
S-01007;Vots a candidatures;795
S-01007;Vots en blanc;10
S-01007;Vots nuls;4
S-01008;Abstenció;763
S-01008;Vots a candidatures;615
S-01008;Vots en blanc;7
S-01008;Vots nuls;5
S-01009;Abstenció;336
S-01009;Vots a candidatures;394
S-01009;Vots en blanc;13
S-01009;Vots nuls;0
S-01010;Abstenció;515
S-01010;Vots a candidatures;509
S-01010;Vots en blanc;9
S-01010;Vots nuls;3
S-01011;Abstenció;442
S-01011;Vots a candidatures;358
S-01011;Vots en blanc;4
S-01011;Vots nuls;3
S-01012;Abstenció;398
S-01012;Vots a candidatures;309
S-01012;Vots en blanc;4
S-01012;Vots nuls;1
S-01013;Abstenció;585
S-01013;Vots a candidatures;480
S-01013;Vots en blanc;7
S-01013;Vots nuls;6
S-01014;Abstenció;469
S-01014;Vots a candidatures;508
S-01014;Vots en blanc;10
S-01014;Vots nuls;4
S-02001;Abstenció;1282
S-02001;Vots a candidatures;950
S-02001;Vots en blanc;10
S-02001;Vots nuls;8
S-02002;Abstenció;878
S-02002;Vots a candidatures;840
S-02002;Vots en blanc;34
S-02002;Vots nuls;1
S-03001;Abstenció;418
S-03001;Vots a candidatures;412
S-03001;Vots en blanc;11
S-03001;Vots nuls;2
S-03002;Abstenció;383
S-03002;Vots a candidatures;303
S-03002;Vots en blanc;10
S-03002;Vots nuls;1
S-03003;Abstenció;333
S-03003;Vots a candidatures;324
S-03003;Vots en blanc;4
S-03003;Vots nuls;2
S-03004;Abstenció;1446
S-03004;Vots a candidatures;1319
S-03004;Vots en blanc;21
S-03004;Vots nuls;13
S-03005;Abstenció;716
S-03005;Vots a candidatures;608
S-03005;Vots en blanc;11
S-03005;Vots nuls;3
S-03006;Abstenció;323
S-03006;Vots a candidatures;368
S-03006;Vots en blanc;6
S-03006;Vots nuls;5
S-03007;Abstenció;539
S-03007;Vots a candidatures;405
S-03007;Vots en blanc;2
S-03007;Vots nuls;9
S-03008;Abstenció;575
S-03008;Vots a candidatures;473
S-03008;Vots en blanc;13
S-03008;Vots nuls;9
S-03009;Abstenció;399
S-03009;Vots a candidatures;298
S-03009;Vots en blanc;13
S-03009;Vots nuls;0
S-04001;Abstenció;573
S-04001;Vots a candidatures;425
S-04001;Vots en blanc;8
S-04001;Vots nuls;1
S-04002;Abstenció;265
S-04002;Vots a candidatures;264
S-04002;Vots en blanc;3
S-04002;Vots nuls;0
S-04003;Abstenció;595
S-04003;Vots a candidatures;520
S-04003;Vots en blanc;8
S-04003;Vots nuls;4
S-04004;Abstenció;391
S-04004;Vots a candidatures;343
S-04004;Vots en blanc;9
S-04004;Vots nuls;2
S-04005;Abstenció;290
S-04005;Vots a candidatures;337
S-04005;Vots en blanc;15
S-04005;Vots nuls;2
S-04006;Abstenció;480
S-04006;Vots a candidatures;452
S-04006;Vots en blanc;6
S-04006;Vots nuls;8
S-04007;Abstenció;426
S-04007;Vots a candidatures;384
S-04007;Vots en blanc;5
S-04007;Vots nuls;2
S-04008;Abstenció;584
S-04008;Vots a candidatures;512
S-04008;Vots en blanc;10
S-04008;Vots nuls;4
S-04009;Abstenció;342
S-04009;Vots a candidatures;295
S-04009;Vots en blanc;8
S-04009;Vots nuls;2
S-04010;Abstenció;428
S-04010;Vots a candidatures;366
S-04010;Vots en blanc;9
S-04010;Vots nuls;4
S-04011;Abstenció;422
