CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-06001;Vots a candidatures;178
S-06001;Vots en blanc;3
S-06001;Vots nuls;1
S-06002;Abstenció;334
S-06002;Vots a candidatures;381
S-06002;Vots en blanc;4
S-06002;Vots nuls;2
S-06003;Abstenció;215
S-06003;Vots a candidatures;178
S-06003;Vots en blanc;0
S-06003;Vots nuls;1
S-06004;Abstenció;167
S-06004;Vots a candidatures;237
S-06004;Vots en blanc;0
S-06004;Vots nuls;0
S-06005;Abstenció;232
S-06005;Vots a candidatures;293
S-06005;Vots en blanc;2
S-06005;Vots nuls;4
S-06006;Abstenció;222
S-06006;Vots a candidatures;209
S-06006;Vots en blanc;0
S-06006;Vots nuls;0
S-06007;Abstenció;302
S-06007;Vots a candidatures;363
S-06007;Vots en blanc;4
S-06007;Vots nuls;3
S-06008;Abstenció;235
S-06008;Vots a candidatures;210
S-06008;Vots en blanc;5
S-06008;Vots nuls;2
S-06009;Abstenció;653
S-06009;Vots a candidatures;846
S-06009;Vots en blanc;9
S-06009;Vots nuls;6
S-06010;Abstenció;279
S-06010;Vots a candidatures;320
S-06010;Vots en blanc;3
S-06010;Vots nuls;0
S-06011;Abstenció;199
S-06011;Vots a candidatures;183
S-06011;Vots en blanc;0
S-06011;Vots nuls;0
S-06012;Abstenció;306
S-06012;Vots a candidatures;289
S-06012;Vots en blanc;1
S-06012;Vots nuls;0
S-06013;Abstenció;237
S-06013;Vots a candidatures;246
S-06013;Vots en blanc;0
S-06013;Vots nuls;1
S-06014;Abstenció;252
S-06014;Vots a candidatures;349
S-06014;Vots en blanc;10
S-06014;Vots nuls;1
S-06015;Abstenció;349
S-06015;Vots a candidatures;515
S-06015;Vots en blanc;6
S-06015;Vots nuls;1
S-06016;Abstenció;218
S-06016;Vots a candidatures;262
S-06016;Vots en blanc;3
S-06016;Vots nuls;1
