CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-05004;Vots en blanc;4
S-05004;Vots nuls;3
S-05005;Abstenció;257
S-05005;Vots a candidatures;365
S-05005;Vots en blanc;1
S-05005;Vots nuls;3
S-05006;Abstenció;256
S-05006;Vots a candidatures;456
S-05006;Vots en blanc;2
S-05006;Vots nuls;2
S-05007;Abstenció;295
S-05007;Vots a candidatures;419
S-05007;Vots en blanc;7
S-05007;Vots nuls;8
S-05008;Abstenció;258
S-05008;Vots a candidatures;387
S-05008;Vots en blanc;1
S-05008;Vots nuls;5
S-05009;Abstenció;175
S-05009;Vots a candidatures;533
S-05009;Vots en blanc;4
S-05009;Vots nuls;1
S-05010;Abstenció;259
S-05010;Vots a candidatures;517
S-05010;Vots en blanc;7
S-05010;Vots nuls;3
S-06001;Abstenció;193
S-06001;Vots a candidatures;223
S-06001;Vots en blanc;2
S-06001;Vots nuls;4
S-06002;Abstenció;232
S-06002;Vots a candidatures;471
S-06002;Vots en blanc;3
S-06002;Vots nuls;4
S-06003;Abstenció;174
S-06003;Vots a candidatures;224
S-06003;Vots en blanc;1
S-06003;Vots nuls;1
S-06004;Abstenció;131
S-06004;Vots a candidatures;257
S-06004;Vots en blanc;0
S-06004;Vots nuls;1
S-06005;Abstenció;220
S-06005;Vots a candidatures;328
S-06005;Vots en blanc;1
S-06005;Vots nuls;0
S-06006;Abstenció;172
S-06006;Vots a candidatures;254
S-06006;Vots en blanc;1
S-06006;Vots nuls;2
S-06007;Abstenció;218
S-06007;Vots a candidatures;442
S-06007;Vots en blanc;2
S-06007;Vots nuls;4
S-06008;Abstenció;164
S-06008;Vots a candidatures;261
S-06008;Vots en blanc;1
S-06008;Vots nuls;2
S-06009;Abstenció;426
S-06009;Vots a candidatures;1062
S-06009;Vots en blanc;3
S-06009;Vots nuls;3
S-06010;Abstenció;209
S-06010;Vots a candidatures;376
S-06010;Vots en blanc;5
S-06010;Vots nuls;3
S-06011;Abstenció;180
S-06011;Vots a candidatures;198
S-06011;Vots en blanc;1
S-06011;Vots nuls;1
S-06012;Abstenció;200
S-06012;Vots a candidatures;382
S-06012;Vots en blanc;2
S-06012;Vots nuls;2
S-06013;Abstenció;186
S-06013;Vots a candidatures;304
S-06013;Vots en blanc;4
S-06013;Vots nuls;1
S-06014;Abstenció;182
S-06014;Vots a candidatures;405
S-06014;Vots en blanc;3
S-06014;Vots nuls;4
S-06015;Abstenció;255
S-06015;Vots a candidatures;621
S-06015;Vots en blanc;2
S-06015;Vots nuls;2
S-06016;Abstenció;165
S-06016;Vots a candidatures;319
S-06016;Vots en blanc;4
S-06016;Vots nuls;0
