CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-01001;ACNV-BAR-PRAO;PROYECTO EUROPA (ACNV-BAR-PRAO-REPO-UNIO);0
S-01001;ALTER;ALTERNATIVA REPUBLICANA;0
S-01001;BLANCS;BLANCS;12
S-01001;CILUS;CIUDADANOS LIBRES UNIDOS;0
S-01001;CIU;CONVERGENCIA I UNIO - COALICIO PER EUROPA;141
S-01001;C S;CIUTADANS-PARTIDO DE LA CIUDADANIA;75
S-01001;DISCAPACITADOS;AGRUPACIÓN DE ELECTORES DISCAPACITADOS Y ENFERMEDADES RARAS;0
S-01001;DN      ;DEMOCRACIA NACIONAL                     ;3
S-01001;EB;ESCONS EN BLANC;7
S-01001;EH-BILDU-BNG;ELS POBLES DECIDEIXEN ;0
S-01001;ERC-NECat-EPDD;ESQUERRA REPUBLICANA-NOVA ESQUERRA CATALANA-CATALUNYA.Sí;174
S-01001;EU      ;EXTREMADURA UNIDA                       ;0
S-01001;FAC;FORO DE CIUDADANOS;0
S-01001;FE-JONS   ;FALANGE ESPAÑOLA DE LAS JONS            ;3
S-01001;ICV-EUIA  ;INICIATIVA CATALUNYA VERDS-ESQUERRA UNIDA ALTERNATIVA;113
S-01001;IFEM;INICIATIVA FEMINISTA;0
S-01001;IMPULSO SOCIAL;IMPULSO SOCIAL;2
S-01001;IPEX-PREX-CREX;EXTREMEÑOS POR EUROPA COALICIÓN ELECTORAL IPEX PREX CREX;0
S-01001;LEM;LA ESPAÑA EN MARCHA;0
S-01001;MCR;MOVIMIENTO CORRIENTE ROJA;2
S-01001;MOVIMIENTO RED;MOVIMIENTO DE RENOVACIÓN DEMOCRÁTICA CIUDADANA, MOV.RED;1
S-01001;MSR    ;MOVIMIENTO SOCIAL REPUBLICANO           ;2
S-01001;NULS;NULS;15
S-01001;PA      ;PARTIDO ANDALUCISTA                     ;0
S-01001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;5
S-01001;PARTIDO-X;PARTIDO X, PARTIDO DEL FUTURO;7
S-01001;PCPE      ;PARTIDO COMUNISTA PUEBLOS DE ESPAÑA     ;2
S-01001;PH      ;PARTIDO HUMANISTA                       ;2
S-01001;PIRATA.CAT;PIRATAS DE CATALUNYA-CONFEDERACIÓN PIRATA-EUROPEAN PIRATES;7
S-01001;P-LIB;PARTIDO DE LA LIBERTAD INDIVIDUAL;0
S-01001;PODEMOS;PODEMOS-PODEM;57
S-01001;PP      ;PARTIDO POPULAR                         ;72
S-01001;PREPAL;SALAMANCA-ZAMORA-LEON            ;1
S-01001;PRIMAVERA EU;EQUO-COMPROMÍS-SIEX-PUM+J-PARTICIPA;5
S-01001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;144
S-01001;PT;PARTIDO DA TERRA;0
S-01001;RECORTES CERO;AGRUPACIÓN DE ELECTORES RECORTES CERO;0
S-01001;RRUE;PER LA REPÚBLICA, PER LA RUPTURA AMB LA UNIÓ EUROPEA;0
S-01001;SAIn;SOLIRADIDAD Y AUTOGESTION INTERNACIONALISTA;0
S-01001;UPyD;UNION PROGRESO Y DEMOCRACIA;15
S-01001;VOX;VOX;0
S-01002;ACNV-BAR-PRAO;PROYECTO EUROPA (ACNV-BAR-PRAO-REPO-UNIO);0
S-01002;ALTER;ALTERNATIVA REPUBLICANA;0
S-01002;BLANCS;BLANCS;14
S-01002;CILUS;CIUDADANOS LIBRES UNIDOS;2
S-01002;CIU;CONVERGENCIA I UNIO - COALICIO PER EUROPA;67
S-01002;C S;CIUTADANS-PARTIDO DE LA CIUDADANIA;57
S-01002;DISCAPACITADOS;AGRUPACIÓN DE ELECTORES DISCAPACITADOS Y ENFERMEDADES RARAS;1
S-01002;DN      ;DEMOCRACIA NACIONAL                     ;0
S-01002;EB;ESCONS EN BLANC;6
S-01002;EH-BILDU-BNG;ELS POBLES DECIDEIXEN ;3
S-01002;ERC-NECat-EPDD;ESQUERRA REPUBLICANA-NOVA ESQUERRA CATALANA-CATALUNYA.Sí;112
S-01002;EU      ;EXTREMADURA UNIDA                       ;2
S-01002;FAC;FORO DE CIUDADANOS;0
S-01002;FE-JONS   ;FALANGE ESPAÑOLA DE LAS JONS            ;0
S-01002;ICV-EUIA  ;INICIATIVA CATALUNYA VERDS-ESQUERRA UNIDA ALTERNATIVA;118
S-01002;IFEM;INICIATIVA FEMINISTA;0
S-01002;IMPULSO SOCIAL;IMPULSO SOCIAL;0
S-01002;IPEX-PREX-CREX;EXTREMEÑOS POR EUROPA COALICIÓN ELECTORAL IPEX PREX CREX;0
S-01002;LEM;LA ESPAÑA EN MARCHA;0
S-01002;MCR;MOVIMIENTO CORRIENTE ROJA;0
S-01002;MOVIMIENTO RED;MOVIMIENTO DE RENOVACIÓN DEMOCRÁTICA CIUDADANA, MOV.RED;14
S-01002;MSR    ;MOVIMIENTO SOCIAL REPUBLICANO           ;0
S-01002;NULS;NULS;4
S-01002;PA      ;PARTIDO ANDALUCISTA                     ;0
S-01002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;11
S-01002;PARTIDO-X;PARTIDO X, PARTIDO DEL FUTURO;0
S-01002;PCPE      ;PARTIDO COMUNISTA PUEBLOS DE ESPAÑA     ;1
S-01002;PH      ;PARTIDO HUMANISTA                       ;0
S-01002;PIRATA.CAT;PIRATAS DE CATALUNYA-CONFEDERACIÓN PIRATA-EUROPEAN PIRATES;5
S-01002;P-LIB;PARTIDO DE LA LIBERTAD INDIVIDUAL;0
S-01002;PODEMOS;PODEMOS-PODEM;66
S-01002;PP      ;PARTIDO POPULAR                         ;71
S-01002;PREPAL;SALAMANCA-ZAMORA-LEON            ;0
S-01002;PRIMAVERA EU;EQUO-COMPROMÍS-SIEX-PUM+J-PARTICIPA;2
S-01002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;181
S-01002;PT;PARTIDO DA TERRA;0
S-01002;RECORTES CERO;AGRUPACIÓN DE ELECTORES RECORTES CERO;0
S-01002;RRUE;PER LA REPÚBLICA, PER LA RUPTURA AMB LA UNIÓ EUROPEA;0
S-01002;SAIn;SOLIRADIDAD Y AUTOGESTION INTERNACIONALISTA;0
S-01002;UPyD;UNION PROGRESO Y DEMOCRACIA;8
S-01002;VOX;VOX;4
S-01003;ACNV-BAR-PRAO;PROYECTO EUROPA (ACNV-BAR-PRAO-REPO-UNIO);0
S-01003;ALTER;ALTERNATIVA REPUBLICANA;0
S-01003;BLANCS;BLANCS;9
S-01003;CILUS;CIUDADANOS LIBRES UNIDOS;1
S-01003;CIU;CONVERGENCIA I UNIO - COALICIO PER EUROPA;28
S-01003;C S;CIUTADANS-PARTIDO DE LA CIUDADANIA;39
S-01003;DISCAPACITADOS;AGRUPACIÓN DE ELECTORES DISCAPACITADOS Y ENFERMEDADES RARAS;1
S-01003;DN      ;DEMOCRACIA NACIONAL                     ;0
S-01003;EB;ESCONS EN BLANC;5
S-01003;EH-BILDU-BNG;ELS POBLES DECIDEIXEN ;1
S-01003;ERC-NECat-EPDD;ESQUERRA REPUBLICANA-NOVA ESQUERRA CATALANA-CATALUNYA.Sí;42
S-01003;EU      ;EXTREMADURA UNIDA                       ;2
S-01003;FAC;FORO DE CIUDADANOS;0
S-01003;FE-JONS   ;FALANGE ESPAÑOLA DE LAS JONS            ;1
S-01003;ICV-EUIA  ;INICIATIVA CATALUNYA VERDS-ESQUERRA UNIDA ALTERNATIVA;77
S-01003;IFEM;INICIATIVA FEMINISTA;4
S-01003;IMPULSO SOCIAL;IMPULSO SOCIAL;0
S-01003;IPEX-PREX-CREX;EXTREMEÑOS POR EUROPA COALICIÓN ELECTORAL IPEX PREX CREX;0
S-01003;LEM;LA ESPAÑA EN MARCHA;0
S-01003;MCR;MOVIMIENTO CORRIENTE ROJA;1
S-01003;MOVIMIENTO RED;MOVIMIENTO DE RENOVACIÓN DEMOCRÁTICA CIUDADANA, MOV.RED;4
S-01003;MSR    ;MOVIMIENTO SOCIAL REPUBLICANO           ;0
S-01003;NULS;NULS;3
S-01003;PA      ;PARTIDO ANDALUCISTA                     ;0
S-01003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;15
S-01003;PARTIDO-X;PARTIDO X, PARTIDO DEL FUTURO;1
S-01003;PCPE      ;PARTIDO COMUNISTA PUEBLOS DE ESPAÑA     ;0
S-01003;PH      ;PARTIDO HUMANISTA                       ;0
S-01003;PIRATA.CAT;PIRATAS DE CATALUNYA-CONFEDERACIÓN PIRATA-EUROPEAN PIRATES;1
S-01003;P-LIB;PARTIDO DE LA LIBERTAD INDIVIDUAL;1
S-01003;PODEMOS;PODEMOS-PODEM;37
S-01003;PP      ;PARTIDO POPULAR                         ;40
S-01003;PREPAL;SALAMANCA-ZAMORA-LEON            ;0
S-01003;PRIMAVERA EU;EQUO-COMPROMÍS-SIEX-PUM+J-PARTICIPA;0
S-01003;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;132
S-01003;PT;PARTIDO DA TERRA;0
S-01003;RECORTES CERO;AGRUPACIÓN DE ELECTORES RECORTES CERO;2
S-01003;RRUE;PER LA REPÚBLICA, PER LA RUPTURA AMB LA UNIÓ EUROPEA;0
S-01003;SAIn;SOLIRADIDAD Y AUTOGESTION INTERNACIONALISTA;0
S-01003;UPyD;UNION PROGRESO Y DEMOCRACIA;11
S-01003;VOX;VOX;1
S-01004;ACNV-BAR-PRAO;PROYECTO EUROPA (ACNV-BAR-PRAO-REPO-UNIO);0
S-01004;ALTER;ALTERNATIVA REPUBLICANA;0
S-01004;BLANCS;BLANCS;13
S-01004;CILUS;CIUDADANOS LIBRES UNIDOS;2
S-01004;CIU;CONVERGENCIA I UNIO - COALICIO PER EUROPA;54
S-01004;C S;CIUTADANS-PARTIDO DE LA CIUDADANIA;58
S-01004;DISCAPACITADOS;AGRUPACIÓN DE ELECTORES DISCAPACITADOS Y ENFERMEDADES RARAS;0
S-01004;DN      ;DEMOCRACIA NACIONAL                     ;0
S-01004;EB;ESCONS EN BLANC;5
S-01004;EH-BILDU-BNG;ELS POBLES DECIDEIXEN ;2
S-01004;ERC-NECat-EPDD;ESQUERRA REPUBLICANA-NOVA ESQUERRA CATALANA-CATALUNYA.Sí;93
S-01004;EU      ;EXTREMADURA UNIDA                       ;2
S-01004;FAC;FORO DE CIUDADANOS;0
S-01004;FE-JONS   ;FALANGE ESPAÑOLA DE LAS JONS            ;1
S-01004;ICV-EUIA  ;INICIATIVA CATALUNYA VERDS-ESQUERRA UNIDA ALTERNATIVA;99
S-01004;IFEM;INICIATIVA FEMINISTA;1
S-01004;IMPULSO SOCIAL;IMPULSO SOCIAL;0
S-01004;IPEX-PREX-CREX;EXTREMEÑOS POR EUROPA COALICIÓN ELECTORAL IPEX PREX CREX;0
S-01004;LEM;LA ESPAÑA EN MARCHA;4
S-01004;MCR;MOVIMIENTO CORRIENTE ROJA;0
S-01004;MOVIMIENTO RED;MOVIMIENTO DE RENOVACIÓN DEMOCRÁTICA CIUDADANA, MOV.RED;8
S-01004;MSR    ;MOVIMIENTO SOCIAL REPUBLICANO           ;0
S-01004;NULS;NULS;7
S-01004;PA      ;PARTIDO ANDALUCISTA                     ;0
S-01004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;17
S-01004;PARTIDO-X;PARTIDO X, PARTIDO DEL FUTURO;4
S-01004;PCPE      ;PARTIDO COMUNISTA PUEBLOS DE ESPAÑA     ;2
S-01004;PH      ;PARTIDO HUMANISTA                       ;0
S-01004;PIRATA.CAT;PIRATAS DE CATALUNYA-CONFEDERACIÓN PIRATA-EUROPEAN PIRATES;5
S-01004;P-LIB;PARTIDO DE LA LIBERTAD INDIVIDUAL;0
S-01004;PODEMOS;PODEMOS-PODEM;72
S-01004;PP      ;PARTIDO POPULAR                         ;67
S-01004;PREPAL;SALAMANCA-ZAMORA-LEON            ;0
S-01004;PRIMAVERA EU;EQUO-COMPROMÍS-SIEX-PUM+J-PARTICIPA;3
S-01004;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;155
S-01004;PT;PARTIDO DA TERRA;0
S-01004;RECORTES CERO;AGRUPACIÓN DE ELECTORES RECORTES CERO;2
S-01004;RRUE;PER LA REPÚBLICA, PER LA RUPTURA AMB LA UNIÓ EUROPEA;0
S-01004;SAIn;SOLIRADIDAD Y AUTOGESTION INTERNACIONALISTA;2
S-01004;UPyD;UNION PROGRESO Y DEMOCRACIA;15
S-01004;VOX;VOX;2
S-01005;ACNV-BAR-PRAO;PROYECTO EUROPA (ACNV-BAR-PRAO-REPO-UNIO);0
S-01005;ALTER;ALTERNATIVA REPUBLICANA;1
S-01005;BLANCS;BLANCS;7
S-01005;CILUS;CIUDADANOS LIBRES UNIDOS;1
S-01005;CIU;CONVERGENCIA I UNIO - COALICIO PER EUROPA;42
S-01005;C S;CIUTADANS-PARTIDO DE LA CIUDADANIA;28
S-01005;DISCAPACITADOS;AGRUPACIÓN DE ELECTORES DISCAPACITADOS Y ENFERMEDADES RARAS;0
S-01005;DN      ;DEMOCRACIA NACIONAL                     ;0
S-01005;EB;ESCONS EN BLANC;5
