CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-04010;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;5
S-04010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;88
S-04010;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;156
S-04010;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;20
S-04010;NULS;NULS;3
S-04010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;19
S-04010;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04010;PP      ;PARTIDO POPULAR                         ;121
S-04010;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;152
S-04010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-04011;BLANCS;BLANCS;5
S-04011;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;16
S-04011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;62
S-04011;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;179
S-04011;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;26
S-04011;NULS;NULS;6
S-04011;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;16
S-04011;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-04011;PP      ;PARTIDO POPULAR                         ;79
S-04011;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;139
S-04011;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04012;BLANCS;BLANCS;2
S-04012;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;24
S-04012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;77
S-04012;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;217
S-04012;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;41
S-04012;NULS;NULS;1
S-04012;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-04012;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04012;PP      ;PARTIDO POPULAR                         ;88
S-04012;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;193
S-04012;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-04013;BLANCS;BLANCS;7
S-04013;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;35
S-04013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;96
S-04013;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;287
S-04013;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;56
S-04013;NULS;NULS;6
S-04013;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;23
S-04013;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-04013;PP      ;PARTIDO POPULAR                         ;110
S-04013;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;238
S-04013;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04014;BLANCS;BLANCS;2
S-04014;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;24
S-04014;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;64
S-04014;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;174
S-04014;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;50
S-04014;NULS;NULS;4
S-04014;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-04014;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-04014;PP      ;PARTIDO POPULAR                         ;92
S-04014;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;139
S-04014;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-04015;BLANCS;BLANCS;3
S-04015;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;12
S-04015;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;65
S-04015;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;146
S-04015;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;21
S-04015;NULS;NULS;3
S-04015;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-04015;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04015;PP      ;PARTIDO POPULAR                         ;70
S-04015;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;162
S-04015;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04016;BLANCS;BLANCS;6
S-04016;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;13
S-04016;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;98
S-04016;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;201
S-04016;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;35
S-04016;NULS;NULS;2
S-04016;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-04016;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04016;PP      ;PARTIDO POPULAR                         ;86
S-04016;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;200
S-04016;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04017;BLANCS;BLANCS;3
S-04017;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;3
S-04017;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;87
S-04017;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;161
S-04017;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;14
S-04017;NULS;NULS;4
S-04017;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-04017;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-04017;PP      ;PARTIDO POPULAR                         ;136
S-04017;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;200
S-04017;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04018;BLANCS;BLANCS;3
S-04018;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;10
S-04018;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;57
S-04018;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;150
S-04018;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;32
S-04018;NULS;NULS;1
S-04018;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;8
S-04018;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;4
S-04018;PP      ;PARTIDO POPULAR                         ;45
S-04018;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;121
S-04018;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-04019;BLANCS;BLANCS;3
S-04019;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;10
S-04019;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;55
S-04019;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;138
S-04019;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;25
S-04019;NULS;NULS;4
S-04019;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;5
S-04019;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;3
S-04019;PP      ;PARTIDO POPULAR                         ;80
S-04019;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;117
S-04019;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-05001;BLANCS;BLANCS;5
S-05001;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;6
S-05001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;46
S-05001;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;84
S-05001;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;7
S-05001;NULS;NULS;2
S-05001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-05001;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-05001;PP      ;PARTIDO POPULAR                         ;89
S-05001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;104
S-05001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-05002;BLANCS;BLANCS;1
S-05002;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;6
S-05002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;35
S-05002;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;74
S-05002;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;9
S-05002;NULS;NULS;2
S-05002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-05002;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;5
S-05002;PP      ;PARTIDO POPULAR                         ;69
S-05002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;94
S-05002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-05003;BLANCS;BLANCS;3
S-05003;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;6
S-05003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;41
S-05003;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;91
S-05003;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;7
S-05003;NULS;NULS;0
S-05003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;1
S-05003;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;3
S-05003;PP      ;PARTIDO POPULAR                         ;83
S-05003;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;152
S-05003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-05004;BLANCS;BLANCS;4
S-05004;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;8
S-05004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;43
S-05004;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;75
S-05004;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;9
S-05004;NULS;NULS;3
S-05004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-05004;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-05004;PP      ;PARTIDO POPULAR                         ;67
S-05004;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;78
S-05004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-05005;BLANCS;BLANCS;1
S-05005;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;7
S-05005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;39
S-05005;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;114
S-05005;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;16
S-05005;NULS;NULS;3
S-05005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-05005;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-05005;PP      ;PARTIDO POPULAR                         ;65
S-05005;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;116
S-05005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-05006;BLANCS;BLANCS;2
S-05006;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-05006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;46
S-05006;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;152
S-05006;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;18
S-05006;NULS;NULS;2
S-05006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-05006;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-05006;PP      ;PARTIDO POPULAR                         ;75
S-05006;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;152
S-05006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-05007;BLANCS;BLANCS;7
S-05007;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-05007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;48
S-05007;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;129
S-05007;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;15
S-05007;NULS;NULS;8
S-05007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-05007;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-05007;PP      ;PARTIDO POPULAR                         ;81
S-05007;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;137
S-05007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-05008;BLANCS;BLANCS;1
S-05008;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;6
S-05008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;38
S-05008;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;110
S-05008;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;9
S-05008;NULS;NULS;5
S-05008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-05008;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-05008;PP      ;PARTIDO POPULAR                         ;71
S-05008;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;143
S-05008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-05009;BLANCS;BLANCS;4
S-05009;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;7
S-05009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;74
S-05009;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;170
S-05009;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;30
S-05009;NULS;NULS;1
S-05009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-05009;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-05009;PP      ;PARTIDO POPULAR                         ;127
S-05009;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;113
S-05009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-05010;BLANCS;BLANCS;7
S-05010;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;5
S-05010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;57
S-05010;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;141
S-05010;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;10
S-05010;NULS;NULS;3
S-05010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;11
S-05010;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-05010;PP      ;PARTIDO POPULAR                         ;118
S-05010;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;173
S-05010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-06001;BLANCS;BLANCS;2
S-06001;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;1
S-06001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;17
S-06001;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;84
S-06001;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;2
S-06001;NULS;NULS;4
S-06001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;3
S-06001;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-06001;PP      ;PARTIDO POPULAR                         ;39
S-06001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;76
S-06001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06002;BLANCS;BLANCS;3
S-06002;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-06002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;44
S-06002;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;136
S-06002;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;5
S-06002;NULS;NULS;4
S-06002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;11
S-06002;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-06002;PP      ;PARTIDO POPULAR                         ;84
S-06002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;183
S-06002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-06003;BLANCS;BLANCS;1
S-06003;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;2
S-06003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;25
S-06003;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;60
S-06003;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;3
S-06003;NULS;NULS;1
S-06003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;5
S-06003;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-06003;PP      ;PARTIDO POPULAR                         ;29
S-06003;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;99
S-06003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06004;BLANCS;BLANCS;0
S-06004;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;3
S-06004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;31
S-06004;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;60
S-06004;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;5
S-06004;NULS;NULS;1
S-06004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;2
S-06004;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06004;PP      ;PARTIDO POPULAR                         ;62
S-06004;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;93
S-06004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-06005;BLANCS;BLANCS;1
S-06005;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-06005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;29
S-06005;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;100
S-06005;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;4
S-06005;NULS;NULS;0
S-06005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-06005;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;3
S-06005;PP      ;PARTIDO POPULAR                         ;64
S-06005;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;118
S-06005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06006;BLANCS;BLANCS;1
S-06006;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;3
S-06006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;14
S-06006;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;76
S-06006;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;3
S-06006;NULS;NULS;2
S-06006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-06006;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06006;PP      ;PARTIDO POPULAR                         ;47
S-06006;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;106
S-06006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-06007;BLANCS;BLANCS;2
S-06007;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;4
S-06007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;49
S-06007;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;101
S-06007;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;19
S-06007;NULS;NULS;4
S-06007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;15
S-06007;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06007;PP      ;PARTIDO POPULAR                         ;75
S-06007;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;179
S-06007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06008;BLANCS;BLANCS;1
S-06008;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;6
S-06008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;28
S-06008;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;58
S-06008;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;5
S-06008;NULS;NULS;2
S-06008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-06008;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;3
S-06008;PP      ;PARTIDO POPULAR                         ;53
S-06008;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;103
S-06008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-06009;BLANCS;BLANCS;3
S-06009;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;5
S-06009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;144
S-06009;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;276
S-06009;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;27
S-06009;NULS;NULS;3
S-06009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;13
S-06009;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-06009;PP      ;PARTIDO POPULAR                         ;201
S-06009;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;391
S-06009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-06010;BLANCS;BLANCS;5
S-06010;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;1
S-06010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;47
S-06010;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;114
S-06010;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;5
S-06010;NULS;NULS;3
S-06010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-06010;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06010;PP      ;PARTIDO POPULAR                         ;61
S-06010;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;141
S-06010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06011;BLANCS;BLANCS;1
S-06011;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;1
S-06011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;24
S-06011;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;58
S-06011;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;7
S-06011;NULS;NULS;1
S-06011;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-06011;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06011;PP      ;PARTIDO POPULAR                         ;42
S-06011;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;62
S-06011;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-06012;BLANCS;BLANCS;2
S-06012;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;2
S-06012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;56
S-06012;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;98
S-06012;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;5
S-06012;NULS;NULS;2
S-06012;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-06012;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06012;PP      ;PARTIDO POPULAR                         ;74
S-06012;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;139
S-06012;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-06013;BLANCS;BLANCS;4
S-06013;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;0
S-06013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;33
S-06013;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;106
S-06013;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;19
S-06013;NULS;NULS;1
S-06013;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-06013;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-06013;PP      ;PARTIDO POPULAR                         ;47
S-06013;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;92
S-06013;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-06014;BLANCS;BLANCS;3
S-06014;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;6
S-06014;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;48
S-06014;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;103
S-06014;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;11
S-06014;NULS;NULS;4
S-06014;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-06014;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-06014;PP      ;PARTIDO POPULAR                         ;81
S-06014;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;150
S-06014;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-06015;BLANCS;BLANCS;2
S-06015;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;5
S-06015;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;83
S-06015;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;209
S-06015;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;24
S-06015;NULS;NULS;2
