CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-01001;Abstenció;368
S-01001;Vots a candidatures;1390
S-01001;Vots en blanc;8
S-01001;Vots nuls;11
S-01002;Abstenció;266
S-01002;Vots a candidatures;1080
S-01002;Vots en blanc;5
S-01002;Vots nuls;7
S-01003;Abstenció;273
S-01003;Vots a candidatures;803
S-01003;Vots en blanc;4
S-01003;Vots nuls;3
S-01004;Abstenció;313
S-01004;Vots a candidatures;1222
S-01004;Vots en blanc;4
S-01004;Vots nuls;1
S-01005;Abstenció;181
S-01005;Vots a candidatures;722
S-01005;Vots en blanc;1
S-01005;Vots nuls;2
S-01006;Abstenció;113
S-01006;Vots a candidatures;492
S-01006;Vots en blanc;1
S-01006;Vots nuls;1
S-01007;Abstenció;243
S-01007;Vots a candidatures;1214
S-01007;Vots en blanc;11
S-01007;Vots nuls;0
S-01008;Abstenció;266
S-01008;Vots a candidatures;1126
S-01008;Vots en blanc;10
S-01008;Vots nuls;4
S-01009;Abstenció;136
S-01009;Vots a candidatures;595
S-01009;Vots en blanc;3
S-01009;Vots nuls;7
S-01010;Abstenció;203
S-01010;Vots a candidatures;838
S-01010;Vots en blanc;5
S-01010;Vots nuls;1
S-01011;Abstenció;200
S-01011;Vots a candidatures;613
S-01011;Vots en blanc;1
S-01011;Vots nuls;0
S-01012;Abstenció;176
S-01012;Vots a candidatures;545
S-01012;Vots en blanc;3
S-01012;Vots nuls;0
S-01013;Abstenció;231
S-01013;Vots a candidatures;835
S-01013;Vots en blanc;3
S-01013;Vots nuls;2
S-01014;Abstenció;188
S-01014;Vots a candidatures;834
S-01014;Vots en blanc;0
S-01014;Vots nuls;3
S-02001;Abstenció;470
S-02001;Vots a candidatures;1850
S-02001;Vots en blanc;9
S-02001;Vots nuls;2
S-02002;Abstenció;346
S-02002;Vots a candidatures;1452
S-02002;Vots en blanc;3
S-02002;Vots nuls;4
S-03001;Abstenció;175
S-03001;Vots a candidatures;664
S-03001;Vots en blanc;4
S-03001;Vots nuls;2
S-03002;Abstenció;167
S-03002;Vots a candidatures;510
S-03002;Vots en blanc;2
S-03002;Vots nuls;3
S-03003;Abstenció;166
S-03003;Vots a candidatures;508
S-03003;Vots en blanc;3
S-03003;Vots nuls;2
S-03004;Abstenció;475
S-03004;Vots a candidatures;2363
S-03004;Vots en blanc;10
S-03004;Vots nuls;6
S-03005;Abstenció;288
S-03005;Vots a candidatures;1065
S-03005;Vots en blanc;8
S-03005;Vots nuls;3
S-03006;Abstenció;137
S-03006;Vots a candidatures;542
S-03006;Vots en blanc;4
S-03006;Vots nuls;2
S-03007;Abstenció;239
S-03007;Vots a candidatures;718
S-03007;Vots en blanc;5
S-03007;Vots nuls;2
S-03008;Abstenció;217
S-03008;Vots a candidatures;844
S-03008;Vots en blanc;5
S-03008;Vots nuls;5
S-03009;Abstenció;181
S-03009;Vots a candidatures;536
S-03009;Vots en blanc;0
S-03009;Vots nuls;2
S-04001;Abstenció;193
S-04001;Vots a candidatures;801
S-04001;Vots en blanc;5
S-04001;Vots nuls;3
S-04002;Abstenció;108
S-04002;Vots a candidatures;428
S-04002;Vots en blanc;0
S-04002;Vots nuls;0
S-04003;Abstenció;246
S-04003;Vots a candidatures;874
S-04003;Vots en blanc;3
S-04003;Vots nuls;3
S-04004;Abstenció;187
S-04004;Vots a candidatures;569
S-04004;Vots en blanc;2
S-04004;Vots nuls;4
S-04005;Abstenció;119
S-04005;Vots a candidatures;514
S-04005;Vots en blanc;1
S-04005;Vots nuls;4
S-04006;Abstenció;208
S-04006;Vots a candidatures;739
S-04006;Vots en blanc;2
S-04006;Vots nuls;2
S-04007;Abstenció;223
S-04007;Vots a candidatures;599
S-04007;Vots en blanc;5
S-04007;Vots nuls;1
S-04008;Abstenció;254
S-04008;Vots a candidatures;826
S-04008;Vots en blanc;9
S-04008;Vots nuls;3
S-04009;Abstenció;146
S-04009;Vots a candidatures;511
S-04009;Vots en blanc;2
S-04009;Vots nuls;3
S-04010;Abstenció;213
S-04010;Vots a candidatures;606
S-04010;Vots en blanc;0
S-04010;Vots nuls;0
S-04011;Abstenció;210
