CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
00004;0807300004;C;Almeda Proyecte B;ALMEDA PROY B;0;9999
00005;0807300005;C;Almeda Proyecte C;ALMEDA PROY C;0;9999
00010;0807300010;C;del Bedoll;BEDOLL, DEL;1;14
00012;0807300012;Pl;del Bedoll;BEDOLL, DEL;0;9999
00020;0807300020;C;de l Avet;AVET, DE L ;2;8
00025;0807300025;Pl;de l Avet;AVET, DE L ;0;9999
00030;0807300030;C;de l Acàcia;ACACIA, DE L ;1;7
00040;0807300040;C;d Iscle Soler;ISCLE SOLER, D ;1;50
00050;0807300050;Ptge;de les Aigües;AIGÜES, DE LES;0;0
00060;0807300060;C;de l Alber;ALBER, DE L ;1;8
00065;0807300065;C;d Albert Einstein;ALBERT EINSTEIN, D ;1;70
00070;0807300070;C;d Alcalá Galiano;ALCALA GALIANO, D ;1;52
00075;0807300075;C;Conflent;CONFLENT;1;9
00080;0807300080;Pl;d Alfons Cuxart;ALFONS CUXART, D ;1;6
00090;0807300090;C;del Garrofer;GARROFER, DEL;0;8
00100;0807300100;C;de l Avellaner;AVELLANER, DE L ;1;9
00105;0807300105;Ptge;d Almachar;ALMACHAR, D ;1;9999
00110;0807300110;C;d Almeria;ALMERIA, D ;1;25
00120;0807300120;Ptge;d Almeria;ALMERIA, D ;1;7
00130;0807300130;C;del Camí Vell de Sant Boi;CAMÍ VELL DE SANT BOI;1;33
00135;0807300135;Av;dels Alps;ALPS, DELS;1;9999
00137;0807300137;Ptge;Alps;ALPS;0;9999
00140;0807300140;C;d Amadeu Vives;AMADEU VIVES, D ;1;35
00150;0807300150;C;de l Ametller;AMETLLER, DE L ;1;73
00155;0807300155;C;de l Empordà;EMPORDA, DE L ;1;8
00160;0807300160;C;de l Empordanès;EMPORDANES, DE L ;1;12
00175;0807300175;C;de l Anoia;ANOIA, DE L ;1;14
00176;0807300176;C;de l Anoia, posterior;ANOIA, POSTERIOR;0;9999
00185;0807300185;Camí;Antic d Esplugues;ANTIC D ESPLUGUES;2;22
