CODI_DIVISIO_TERRITORIAL;MES_DEFUNCIO;NRE_HOMES;NRE_DONES
D-01;1;3;2
D-01;2;6;8
D-01;3;8;4
D-01;4;6;7
D-01;5;6;4
D-01;6;7;6
D-01;7;4;2
D-01;8;4;4
D-01;9;6;6
D-01;10;5;7
D-01;11;6;12
D-01;12;3;5
D-02;1;2;2
D-02;2;2;0
D-02;3;2;1
D-02;4;1;2
D-02;5;2;2
D-02;6;1;2
D-02;7;0;3
D-02;8;2;1
D-02;9;2;1
D-02;10;0;4
D-02;11;3;0
D-02;12;1;2
D-03;1;6;1
D-03;2;6;5
D-03;3;2;3
D-03;4;4;3
D-03;5;2;1
D-03;6;0;8
D-03;7;2;3
D-03;8;5;2
D-03;9;3;5
D-03;10;4;6
D-03;11;3;4
D-03;12;1;4
D-04;1;13;9
D-04;2;6;5
D-04;3;9;9
D-04;4;9;8
D-04;5;11;11
D-04;6;6;9
D-04;7;3;4
D-04;8;10;7
D-04;9;7;8
D-04;10;12;5
D-04;11;11;5
D-04;12;9;6
D-05;1;9;2
D-05;2;6;6
D-05;3;7;3
D-05;4;4;2
D-05;5;3;4
D-05;6;9;0
D-05;7;0;4
D-05;8;3;2
D-05;9;5;8
D-05;10;1;4
D-05;11;9;4
D-05;12;4;3
D-06;1;3;6
D-06;2;1;6
D-06;3;9;7
D-06;4;6;2
D-06;5;6;7
D-06;6;4;4
D-06;7;10;3
D-06;8;4;3
D-06;9;2;5
D-06;10;3;5
D-06;11;5;5
D-06;12;11;4
