CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
D-01;000;1;0
D-01;001;83;73
D-02;001;33;32
D-03;001;90;62
D-04;001;79;79
D-05;001;54;49
D-06;001;68;75
D-01;002;82;93
D-02;002;31;20
D-03;002;73;66
D-04;002;73;94
D-05;002;59;51
D-06;002;80;67
D-01;003;106;121
D-02;003;41;26
D-03;003;83;63
D-04;003;84;114
D-05;003;51;42
D-06;003;60;73
D-01;004;76;76
D-02;004;31;32
D-03;004;72;75
D-04;004;76;108
D-05;004;50;48
D-06;004;67;70
D-01;005;118;94
D-02;005;28;28
D-03;005;75;69
D-04;005;106;94
D-05;005;45;52
D-06;005;73;69
D-01;006;109;114
D-02;006;41;41
D-03;006;66;77
D-04;006;95;104
D-05;006;52;50
D-06;006;69;75
D-01;007;106;95
D-02;007;41;32
D-03;007;72;89
D-04;007;112;92
D-05;007;65;51
D-06;007;86;63
D-01;008;135;107
D-02;008;43;38
D-03;008;96;78
D-04;008;103;126
D-05;008;54;47
D-06;008;79;56
D-01;009;135;127
D-02;009;37;38
D-03;009;83;91
D-04;009;87;100
D-05;009;58;67
D-06;009;55;66
D-01;010;116;111
D-02;010;40;50
D-03;010;97;73
D-04;010;106;115
D-05;010;41;56
D-06;010;72;64
D-01;011;110;123
D-02;011;41;46
D-03;011;96;85
D-04;011;99;77
D-05;011;48;48
D-06;011;77;70
D-01;012;123;110
D-02;012;44;40
D-03;012;92;102
D-04;012;113;109
D-05;012;54;41
D-06;012;70;49
D-01;013;128;107
D-02;013;53;52
D-03;013;65;88
D-04;013;100;106
D-05;013;51;54
D-06;013;49;52
D-01;014;131;100
D-02;014;48;54
D-03;014;88;100
D-04;014;100;94
D-05;014;41;34
D-06;014;58;63
D-01;015;124;118
D-02;015;46;42
D-03;015;82;71
D-04;015;105;111
D-05;015;39;37
D-06;015;61;59
D-01;016;108;127
D-02;016;54;47
D-03;016;74;74
D-04;016;113;75
D-05;016;36;41
D-06;016;67;65
D-01;017;106;97
D-02;017;34;35
D-03;017;74;72
D-04;017;99;78
D-05;017;46;39
D-06;017;65;66
D-01;018;105;116
D-02;018;48;44
D-03;018;84;67
D-04;018;100;80
D-05;018;35;48
D-06;018;72;62
D-01;019;121;92
D-02;019;52;23
D-03;019;68;67
D-04;019;83;92
D-05;019;55;49
D-06;019;68;67
D-01;020;115;105
D-02;020;51;35
D-03;020;68;78
D-04;020;110;87
D-05;020;40;48
D-06;020;59;67
D-01;021;103;82
D-02;021;33;33
D-03;021;62;79
D-04;021;96;95
D-05;021;52;48
D-06;021;75;58
D-01;022;109;97
D-02;022;22;22
D-03;022;59;66
D-04;022;91;97
D-05;022;50;40
D-06;022;70;68
D-01;023;106;91
D-02;023;24;37
D-03;023;75;64
D-04;023;94;95
D-05;023;45;56
D-06;023;71;79
D-01;024;106;108
D-02;024;35;27
D-03;024;72;50
D-04;024;115;104
D-05;024;60;47
D-06;024;87;73
D-01;025;119;115
D-02;025;25;33
D-03;025;53;74
D-04;025;121;115
D-05;025;50;60
D-06;025;64;69
D-01;026;119;116
D-02;026;31;13
D-03;026;70;58
D-04;026;103;108
D-05;026;57;55
D-06;026;81;70
D-01;027;102;100
D-02;027;31;22
D-03;027;55;64
D-04;027;110;111
D-05;027;62;66
D-06;027;70;93
D-01;028;102;118
D-02;028;26;29
D-03;028;69;69
D-04;028;110;130
D-05;028;47;53
D-06;028;89;69
D-01;029;126;107
D-02;029;24;23
D-03;029;65;61
D-04;029;131;128
D-05;029;70;54
D-06;029;75;95
D-01;030;122;129
D-02;030;30;37
D-03;030;54;75
D-04;030;120;120
D-05;030;66;65
D-06;030;92;93
D-01;031;124;131
D-02;031;29;27
D-03;031;74;92
D-04;031;119;123
D-05;031;78;79
D-06;031;89;64
D-01;032;113;119
D-02;032;27;34
D-03;032;87;88
D-04;032;123;112
D-05;032;63;75
D-06;032;76;91
D-01;033;133;139
D-02;033;38;26
D-03;033;98;85
D-04;033;138;126
D-05;033;69;69
D-06;033;127;84
D-01;034;127;146
D-02;034;29;44
D-03;034;76;82
D-04;034;120;145
D-05;034;73;78
D-06;034;122;97
D-01;035;134;145
D-02;035;38;32
D-03;035;75;82
D-04;035;156;140
D-05;035;98;76
D-06;035;119;97
D-01;036;132;150
D-02;036;32;42
D-03;036;104;115
D-04;036;139;148
D-05;036;85;78
D-06;036;110;129
D-01;037;167;158
D-02;037;41;31
D-03;037;102;119
D-04;037;172;165
D-05;037;95;67
D-06;037;144;125
D-01;038;158;165
D-02;038;38;36
D-03;038;138;131
D-04;038;178;176
D-05;038;89;71
D-06;038;107;121
D-01;039;165;170
D-02;039;43;48
D-03;039;138;123
D-04;039;187;184
D-05;039;97;79
D-06;039;125;132
D-01;040;178;184
D-02;040;55;50
D-03;040;137;128
D-04;040;184;195
D-05;040;88;107
D-06;040;131;109
D-01;041;167;191
D-02;041;40;55
D-03;041;145;133
D-04;041;181;184
D-05;041;90;88
D-06;041;115;119
D-01;042;218;193
D-02;042;50;58
D-03;042;132;133
D-04;042;208;169
D-05;042;112;85
D-06;042;129;133
D-01;043;184;187
D-02;043;55;67
D-03;043;164;144
D-04;043;218;182
D-05;043;108;83
D-06;043;146;97
D-01;044;194;179
D-02;044;71;71
D-03;044;131;145
D-04;044;187;154
D-05;044;87;83
D-06;044;138;112
D-01;045;174;183
D-02;045;56;77
D-03;045;138;157
D-04;045;150;157
D-05;045;81;84
D-06;045;124;115
D-01;046;201;199
D-02;046;71;68
D-03;046;147;149
D-04;046;157;163
D-05;046;102;86
D-06;046;126;91
D-01;047;171;189
D-02;047;81;80
D-03;047;125;127
D-04;047;161;136
D-05;047;97;65
D-06;047;113;85
D-01;048;182;208
D-02;048;68;70
D-03;048;127;143
D-04;048;153;129
D-05;048;83;80
D-06;048;108;98
D-01;049;184;195
D-02;049;63;72
D-03;049;121;162
D-04;049;171;174
D-05;049;74;63
D-06;049;118;109
D-01;050;183;175
D-02;050;68;54
D-03;050;136;119
D-04;050;179;174
D-05;050;77;75
D-06;050;102;98
D-01;051;149;169
D-02;051;65;69
D-03;051;149;111
D-04;051;145;155
D-05;051;84;71
D-06;051;101;99
D-01;052;174;170
D-02;052;51;46
D-03;052;103;107
D-04;052;136;144
D-05;052;63;80
D-06;052;90;104
D-01;053;179;176
D-02;053;50;56
D-03;053;111;108
D-04;053;183;148
D-05;053;72;71
D-06;053;98;98
D-01;054;140;159
D-02;054;54;41
D-03;054;91;102
D-04;054;142;143
D-05;054;73;54
D-06;054;82;103
D-01;055;155;160
D-02;055;52;43
D-03;055;82;82
D-04;055;152;143
D-05;055;60;58
D-06;055;98;92
D-01;056;130;146
D-02;056;41;48
D-03;056;87;99
D-04;056;99;131
D-05;056;57;68
D-06;056;80;95
D-01;057;131;156
D-02;057;39;30
D-03;057;88;91
D-04;057;110;146
D-05;057;42;55
D-06;057;101;99
D-01;058;128;146
D-02;058;35;32
D-03;058;77;90
D-04;058;120;120
D-05;058;51;39
D-06;058;78;98
D-01;059;141;134
D-02;059;32;26
D-03;059;83;83
D-04;059;131;136
D-05;059;58;49
D-06;059;88;84
D-01;060;130;132
D-02;060;31;21
