CODI_DIVISIO_TERRITORIAL;MES_NAIXEMENT;NRE_HOMES;NRE_DONES
D-01;1;10;2
D-01;2;5;3
D-01;3;5;6
D-01;4;7;4
D-01;5;9;5
D-01;6;6;9
D-01;7;5;6
D-01;8;10;10
D-01;9;8;6
D-01;10;4;8
D-01;11;6;5
D-01;12;8;10
D-02;1;1;2
D-02;2;2;2
D-02;3;2;2
D-02;4;4;0
D-02;5;1;5
D-02;6;3;4
D-02;7;2;2
D-02;8;2;6
D-02;9;4;0
D-02;10;3;2
D-02;11;1;1
D-02;12;5;6
D-03;1;7;7
D-03;2;6;3
D-03;3;9;3
D-03;4;6;4
D-03;5;11;4
D-03;6;10;5
D-03;7;6;9
D-03;8;14;8
D-03;9;3;3
D-03;10;5;6
D-03;11;9;3
D-03;12;4;1
D-04;1;6;5
D-04;2;3;7
D-04;3;7;8
D-04;4;7;5
D-04;5;4;10
D-04;6;6;5
D-04;7;8;5
D-04;8;9;9
D-04;9;4;5
D-04;10;9;8
D-04;11;8;9
D-04;12;8;2
D-05;1;2;7
D-05;2;2;4
D-05;3;4;5
D-05;4;3;5
D-05;5;4;2
D-05;6;7;8
D-05;7;6;4
D-05;8;4;0
D-05;9;8;6
D-05;10;5;3
D-05;11;4;4
D-05;12;4;3
D-06;1;7;13
D-06;2;7;6
D-06;3;8;5
D-06;4;6;6
D-06;5;5;2
D-06;6;6;5
D-06;7;3;8
D-06;8;8;6
D-06;9;3;8
D-06;10;4;10
D-06;11;7;3
D-06;12;9;4
