CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-05001   ;Vots candidatures;511
S-05005   ;Vots candidatures;821
S-01006   ;Vots candidatures;358
S-01007   ;Vots candidatures;864
S-02008   ;Vots candidatures;893
S-07002   ;Vots candidatures;1147
S-02004   ;Vots candidatures;880
S-01001   ;Vots candidatures;938
S-01004   ;Vots candidatures;1133
S-04008   ;Vots candidatures;451
S-05004   ;Vots candidatures;499
S-06004   ;Vots candidatures;735
S-04007   ;Vots candidatures;428
S-05003   ;Vots candidatures;721
S-01002   ;Vots candidatures;727
S-03003   ;Vots candidatures;1042
S-07001   ;Vots candidatures;1076
S-01003   ;Vots candidatures;751
S-02003   ;Vots candidatures;645
S-02007   ;Vots candidatures;594
S-01005   ;Vots candidatures;1132
S-03002   ;Vots candidatures;842
S-04006   ;Vots candidatures;891
S-02006   ;Vots candidatures;698
S-03001   ;Vots candidatures;895
S-03004   ;Vots candidatures;1035
S-03005   ;Vots candidatures;908
S-04003   ;Vots candidatures;519
S-05002   ;Vots candidatures;464
S-07003   ;Vots candidatures;590
S-05001   ;Abstencio;268
S-05005   ;Abstencio;352
S-01006   ;Abstencio;154
S-01007   ;Abstencio;263
S-02008   ;Abstencio;382
S-07002   ;Abstencio;367
S-02004   ;Abstencio;293
S-01001   ;Abstencio;363
S-01004   ;Abstencio;403
S-04008   ;Abstencio;202
S-05004   ;Abstencio;277
S-06004   ;Abstencio;247
S-04007   ;Abstencio;182
S-05003   ;Abstencio;388
S-01002   ;Abstencio;260
S-03003   ;Abstencio;319
S-07001   ;Abstencio;380
S-01003   ;Abstencio;276
S-02003   ;Abstencio;350
S-02007   ;Abstencio;255
S-01005   ;Abstencio;461
S-03002   ;Abstencio;386
S-04006   ;Abstencio;470
S-02006   ;Abstencio;318
S-03001   ;Abstencio;376
S-03004   ;Abstencio;409
S-03005   ;Abstencio;372
S-04003   ;Abstencio;263
S-05002   ;Abstencio;205
S-07003   ;Abstencio;263
S-05001   ;Vots blancs;2
S-05005   ;Vots blancs;9
S-01006   ;Vots blancs;1
S-01007   ;Vots blancs;10
S-02008   ;Vots blancs;5
S-07002   ;Vots blancs;11
S-02004   ;Vots blancs;8
S-01001   ;Vots blancs;5
S-01004   ;Vots blancs;15
S-04008   ;Vots blancs;9
S-05004   ;Vots blancs;10
S-06004   ;Vots blancs;8
S-04007   ;Vots blancs;2
S-05003   ;Vots blancs;11
S-01002   ;Vots blancs;5
S-03003   ;Vots blancs;10
S-07001   ;Vots blancs;13
S-01003   ;Vots blancs;13
S-02003   ;Vots blancs;6
S-02007   ;Vots blancs;6
S-01005   ;Vots blancs;19
S-03002   ;Vots blancs;3
S-04006   ;Vots blancs;6
S-02006   ;Vots blancs;7
S-03001   ;Vots blancs;2
S-03004   ;Vots blancs;8
S-03005   ;Vots blancs;5
S-04003   ;Vots blancs;8
S-05002   ;Vots blancs;3
S-07003   ;Vots blancs;6
S-05001   ;Vots nuls;7
S-05005   ;Vots nuls;9
S-01006   ;Vots nuls;1
S-01007   ;Vots nuls;6
S-02008   ;Vots nuls;5
S-07002   ;Vots nuls;8
S-02004   ;Vots nuls;3
S-01001   ;Vots nuls;7
S-01004   ;Vots nuls;5
S-04008   ;Vots nuls;6
S-05004   ;Vots nuls;5
S-06004   ;Vots nuls;4
S-04007   ;Vots nuls;3
S-05003   ;Vots nuls;6
S-01002   ;Vots nuls;6
S-03003   ;Vots nuls;7
S-07001   ;Vots nuls;3
S-01003   ;Vots nuls;11
S-02003   ;Vots nuls;4
S-02007   ;Vots nuls;2
S-01005   ;Vots nuls;6
S-03002   ;Vots nuls;4
S-04006   ;Vots nuls;6
S-02006   ;Vots nuls;6
S-03001   ;Vots nuls;10
S-03004   ;Vots nuls;7
S-03005   ;Vots nuls;8
S-04003   ;Vots nuls;5
S-05002   ;Vots nuls;2
S-07003   ;Vots nuls;1
