CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
D-01; ;Altres;27;15
D-01;104;BULGARIA;13;16
D-01;108;ESPANYA;5085;5519
D-01;110;FRANÇA;7;16
D-01;111;GRECIA;3;2
D-01;112;HONGRIA;2;2
D-01;115;ITALIA;22;22
D-01;121;HOLANDA;8;2
D-01;122;POLONIA;3;5
D-01;123;PORTUGAL;10;8
D-01;125;REGNE UNIT;5;4
D-01;126;ALEMANYA;8;13
D-01;128;ROMANIA;23;30
D-01;135;UCRANIA;9;13
D-01;139;GEORGIA;2;3
D-01;146;CROACIA;3;1
D-01;154;RUSSIA;6;13
D-01;203;ARGELIA;3;2
D-01;219;GUINEA BISSAU;2;4
D-01;228;MARROC;38;24
D-01;302;ESTADOS UNIDOS (EUA);7;5
D-01;303;MEXIC;2;18
D-01;315;CUBA;2;6
D-01;321;HONDURES;0;5
D-01;326;REPUBLICA DOMINICANA;2;3
D-01;340;ARGENTINA;8;6
D-01;341;BOLIVIA;3;14
D-01;342;BRASIL;4;3
D-01;343;COLOMBIA;13;18
D-01;344;XILE;4;3
D-01;345;EQUADOR;12;7
D-01;347;PARAGUAI;7;27
D-01;348;PERU;9;4
D-01;351;VENEZUELA;4;11
D-01;407;XINA;35;29
D-01;413;IRAN;1;3
D-02; ;Altres;20;8
D-02;104;BULGARIA;7;7
D-02;108;ESPANYA;3255;3457
D-02;110;FRANÇA;1;3
D-02;115;ITALIA;1;4
D-02;122;POLONIA;5;3
D-02;123;PORTUGAL;4;2
D-02;128;ROMANIA;12;13
D-02;135;UCRANIA;7;10
D-02;139;GEORGIA;3;2
D-02;154;RUSSIA;1;4
D-02;228;MARROC;30;31
D-02;321;HONDURES;2;3
D-02;326;REPUBLICA DOMINICANA;0;5
D-02;340;ARGENTINA;2;2
D-02;341;BOLIVIA;1;8
D-02;342;BRASIL;4;1
D-02;343;COLOMBIA;6;8
D-02;344;XILE;8;5
D-02;345;EQUADOR;9;11
D-02;347;PARAGUAI;5;4
D-02;348;PERU;4;1
D-02;351;VENEZUELA;3;6
D-02;407;XINA;34;35
D-02;426;PAKISTAN;14;14
D-03; ;Altres;16;14
D-03;104;BULGARIA;14;15
D-03;108;ESPANYA;3887;4206
D-03;110;FRANÇA;4;3
D-03;115;ITALIA;17;13
D-03;122;POLONIA;4;5
D-03;123;PORTUGAL;7;5
D-03;125;REGNE UNIT;7;5
D-03;126;ALEMANYA;5;3
D-03;128;ROMANIA;15;14
D-03;135;UCRANIA;14;16
D-03;137;MOLDAVIA;3;3
D-03;154;RUSSIA;4;7
D-03;217;GHANA;9;1
D-03;228;MARROC;39;35
D-03;234;NIGERIA;3;4
D-03;239;SENEGAL;3;3
D-03;248;TUNISIA;2;4
D-03;303;MEXIC;1;3
D-03;315;CUBA;4;9
D-03;321;HONDURES;1;14
D-03;326;REPUBLICA DOMINICANA;2;2
D-03;340;ARGENTINA;5;9
D-03;341;BOLIVIA;10;11
D-03;342;BRASIL;7;3
D-03;343;COLOMBIA;14;11
D-03;345;EQUADOR;2;5
D-03;347;PARAGUAI;7;21
D-03;348;PERU;2;10
D-03;350;URUGUAI;5;3
D-03;351;VENEZUELA;7;15
D-03;407;XINA;34;37
D-03;426;PAKISTAN;11;2
D-03;433;SIRIA;2;2
D-04; ;Altres;14;15
D-04;104;BULGARIA;6;7
D-04;108;ESPANYA;2046;2073
D-04;115;ITALIA;3;6
D-04;123;PORTUGAL;3;1
D-04;128;ROMANIA;8;14
D-04;135;UCRANIA;2;4
D-04;216;GAMBIA;4;0
D-04;217;GHANA;4;0
D-04;227;MALI;9;0
D-04;228;MARROC;39;25
D-04;239;SENEGAL;2;3
D-04;315;CUBA;4;6
D-04;321;HONDURES;0;8
D-04;326;REPUBLICA DOMINICANA;0;6
D-04;340;ARGENTINA;3;3
D-04;341;BOLIVIA;8;7
D-04;343;COLOMBIA;4;10
D-04;345;EQUADOR;13;12
D-04;347;PARAGUAI;8;17
D-04;348;PERU;4;5
D-04;350;URUGUAI;0;4
D-04;351;VENEZUELA;2;5
D-04;407;XINA;17;18
D-04;426;PAKISTAN;10;2
D-05; ;Altres;14;14
D-05;104;BULGARIA;5;2
D-05;108;ESPANYA;2643;2801
D-05;110;FRANÇA;5;5
D-05;115;ITALIA;5;6
D-05;123;PORTUGAL;10;1
D-05;128;ROMANIA;40;31
D-05;135;UCRANIA;4;10
D-05;137;MOLDAVIA;3;3
D-05;154;RUSSIA;3;9
D-05;203;ARGELIA;4;5
D-05;208;CAMERUN;1;3
D-05;211;COSTA DE MARFIL;3;1
D-05;217;GHANA;7;1
D-05;227;MALI;10;2
D-05;228;MARROC;91;91
D-05;234;NIGERIA;4;0
D-05;303;MEXIC;2;3
D-05;315;CUBA;1;5
D-05;321;HONDURES;4;9
D-05;326;REPUBLICA DOMINICANA;3;3
D-05;340;ARGENTINA;4;5
D-05;341;BOLIVIA;10;17
D-05;342;BRASIL;3;7
D-05;343;COLOMBIA;7;6
D-05;344;XILE;2;3
D-05;345;EQUADOR;15;27
D-05;347;PARAGUAI;20;35
D-05;348;PERU;8;13
D-05;350;URUGUAI;1;4
D-05;351;VENEZUELA;2;10
D-05;407;XINA;22;21
D-05;412;IRAQ;2;3
D-05;415;JAPO;1;3
D-05;426;PAKISTAN;14;6
D-06; ;Altres;5;12
D-06;108;ESPANYA;693;689
D-06;115;ITALIA;5;6
D-06;135;UCRANIA;1;3
D-06;351;VENEZUELA;2;2
D-06;413;IRAN;2;2
D-07; ;Altres;14;25
D-07;108;ESPANYA;2662;2756
D-07;110;FRANÇA;7;5
D-07;115;ITALIA;6;2
D-07;123;PORTUGAL;3;6
D-07;125;REGNE UNIT;4;1
D-07;126;ALEMANYA;7;10
D-07;128;ROMANIA;2;5
D-07;203;ARGELIA;0;4
D-07;228;MARROC;10;14
D-07;302;ESTADOS UNIDOS (EUA);1;6
D-07;343;COLOMBIA;1;3
D-07;407;XINA;4;3
D-07;426;PAKISTAN;3;3
