CODI_DIVISIO_TERRITORIAL;CODI_PAIS_DESTI;PAIS_DESTI;CODI_PROVINCIA_DESTI;PROVINCIA_DESTI;NRE_HOMES;NRE_DONES
D-03;112;HONGRIA;66;ESTRANGER;0;2
D-03;122;POLONIA;66;ESTRANGER;1;0
D-03;125;REGNE UNIT;66;ESTRANGER;1;0
D-03;213;EGIPTE;66;ESTRANGER;1;0
D-03;302;ESTADOS UNIDOS (EUA);66;EXTRANJERO;1;1
D-03;315;CUBA;66;ESTRANGER;0;2
D-03;321;HONDURES;66;ESTRANGER;1;0
D-03;343;COLOMBIA;66;ESTRANGER;1;1
D-03;344;XILE;66;ESTRANGER;1;0
D-03;345;EQUADOR;66;ESTRANGER;3;3
D-03;350;URUGUAI;66;ESTRANGER;1;1
D-03;351;VENEZUELA;66;EXTRANJERO;0;1
D-03;415;JAPO;66;ESTRANGER;0;1
D-03;108;ESPANYA;7;BALEARS;0;1
D-03;108;ESPANYA;8;BARCELONA;17;15
D-04;108;ESPANYA;10;CACERES;2;0
D-04;108;ESPANYA;16;CUENCA;1;1
D-04;108;ESPANYA;17;GIRONA;1;2
D-04;108;ESPANYA;23;JAEN;0;1
D-04;108;ESPANYA;26;LA RIOJA;1;2
D-04;108;ESPANYA;29;MALAGA;0;2
D-04;108;ESPANYA;31;NAVARRA;1;0
D-04;108;ESPANYA;32;ORENSE;1;0
D-04;108;ESPANYA;34;PALENCIA;1;0
D-04;108;ESPANYA;37;SALAMANCA;1;0
D-04;108;ESPANYA;50;ZARAGOZA;1;0
D-04;108;ESPANYA;6;BADAJOZ;1;1
D-04;125;REGNE UNIT;66;ESTRANGER;1;1
D-04;126;ALEMANYA;66;ESTRANGER;2;0
D-04;203;ARGELIA;66;ESTRANGER;2;3
D-04;302;ESTADOS UNIDOS (EUA);66;EXTRANJERO;0;1
D-04;324;PANAMA;66;ESTRANGER;2;0
D-04;342;BRASIL;66;ESTRANGER;1;0
D-04;345;EQUADOR;66;ESTRANGER;0;3
D-04;108;ESPANYA;8;BARCELONA;15;10
D-05;108;ESPANYA;15;LA CORUÑA;0;1
D-05;108;ESPANYA;41;SEVILLA;1;2
D-05;108;ESPANYA;43;TARRAGONA;0;1
D-05;115;ITALIA;66;ESTRANGER;1;0
D-05;132;SUISSA;66;ESTRANGER;1;0
D-05;302;ESTADOS UNIDOS (EUA);66;EXTRANJERO;1;1
D-05;321;HONDURES;66;ESTRANGER;1;0
D-05;108;ESPANYA;8;BARCELONA;9;6
D-06;108;ESPANYA;11;CADIZ;0;1
D-06;108;ESPANYA;18;GRANADA;0;2
D-06;108;ESPANYA;21;HUELVA;0;1
D-06;108;ESPANYA;26;LA RIOJA;1;0
D-06;108;ESPANYA;35;LAS PALMAS;0;1
D-06;108;ESPANYA;37;SALAMANCA;1;0
D-06;108;ESPANYA;43;TARRAGONA;1;1
D-06;108;ESPANYA;50;ZARAGOZA;1;0
D-06;108;ESPANYA;6;BADAJOZ;0;2
D-06;115;ITALIA;66;ESTRANGER;2;1
D-06;125;REGNE UNIT;66;ESTRANGER;1;1
D-06;132;SUISSA;66;ESTRANGER;2;0
D-06;301;CANADA;66;ESTRANGER;1;0
D-06;302;ESTADOS UNIDOS (EUA);66;EXTRANJERO;0;1
D-06;321;HONDURES;66;ESTRANGER;2;1
D-06;341;BOLIVIA;66;ESTRANGER;0;1
D-06;343;COLOMBIA;66;ESTRANGER;1;0
D-06;345;EQUADOR;66;ESTRANGER;1;2
D-06;348;PERU;66;ESTRANGER;2;1
D-06;108;ESPANYA;8;BARCELONA;19;10
D-07;108;ESPANYA;17;GIRONA;3;3
D-07;103;BELGICA;66;ESTRANGER;1;0
D-07;117;LUXEMBURG;66;ESTRANGER;0;1
D-07;124;ANDORRA;66;ESTRANGER;0;1
D-07;125;REGNE UNIT;66;ESTRANGER;1;0
D-07;126;ALEMANYA;66;ESTRANGER;0;1
D-07;132;SUISSA;66;ESTRANGER;2;0
D-07;228;MARROC;66;ESTRANGER;0;1
D-07;302;ESTADOS UNIDOS (EUA);66;EXTRANJERO;0;1
D-07;108;ESPANYA;8;BARCELONA;3;5
