CODI_DIVISIO_TERRITORIAL;EDAT;NRE_DONES;NRE_HOMES
D-01; 001;51;42
D-01; 002;55;45
D-01; 003;55;54
D-01; 004;39;75
D-01; 005;62;61
D-01; 006;60;53
D-01; 007;40;41
D-01; 008;49;54
D-01; 009;64;48
D-01; 010;46;53
D-01; 011;46;45
D-01; 012;49;50
D-01; 013;63;55
D-01; 014;57;37
D-01; 015;37;44
D-01; 016;38;55
D-01; 017;48;49
D-01; 018;47;59
D-01; 019;45;59
D-01; 020;41;43
D-01; 021;52;41
D-01; 022;53;56
D-01; 023;60;41
D-01; 024;49;38
D-01; 025;61;44
D-01; 026;62;51
D-01; 027;53;57
D-01; 028;66;56
D-01; 029;48;68
D-01; 030;66;75
D-01; 031;66;53
D-01; 032;72;87
D-01; 033;78;78
D-01; 034;103;79
D-01; 035;75;73
D-01; 036;90;81
D-01; 037;85;98
D-01; 038;85;96
D-01; 039;97;115
D-01; 040;90;99
D-01; 041;79;102
D-01; 042;89;100
D-01; 043;86;88
D-01; 044;74;91
D-01; 045;88;67
D-01; 046;75;79
D-01; 047;78;77
D-01; 048;65;76
D-01; 049;84;61
D-01; 050;74;69
D-01; 051;79;89
D-01; 052;93;82
D-01; 053;97;76
D-01; 054;82;92
D-01; 055;73;70
D-01; 056;53;55
D-01; 057;83;57
D-01; 058;63;56
D-01; 059;63;58
D-01; 060;67;50
D-01; 061;76;58
D-01; 062;68;53
D-01; 063;73;62
D-01; 064;66;62
D-01; 065;62;47
D-01; 066;54;71
D-01; 067;63;57
D-01; 068;67;56
D-01; 069;43;45
D-01; 070;57;37
D-01; 071;40;37
D-01; 072;47;32
D-01; 073;38;39
D-01; 074;39;34
D-01; 075;52;42
D-01; 076;19;18
D-01; 077;23;22
D-01; 078;38;27
D-01; 079;61;22
D-01; 080;50;25
D-01; 081;42;28
D-01; 082;44;23
D-01; 083;30;31
D-01; 084;34;15
D-01; 085;27;24
D-01; 086;36;25
D-01; 087;30;10
D-01; 088;34;12
D-01; 089;27;10
D-01; 090;25;6
D-01; 091;19;7
D-01; 092;22;8
D-01; 093;17;6
D-01; 094;10;2
D-01; 095;17;3
D-01; 096;5;2
D-01; 097;7;0
D-01; 098;2;2
D-01; 099;3;1
D-01; 100;1;0
D-01; 101;1;0
D-01; 103;2;0
D-02; 001;36;37
D-02; 002;31;30
D-02; 003;33;35
D-02; 004;43;48
D-02; 005;43;31
D-02; 006;58;54
D-02; 007;53;51
D-02; 008;60;54
D-02; 009;51;51
D-02; 010;43;47
D-02; 011;49;39
D-02; 012;39;55
D-02; 013;37;42
D-02; 014;42;38
D-02; 015;47;33
D-02; 016;35;30
D-02; 017;35;23
D-02; 018;31;40
