CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-01006   ;Vots candidatures;408
S-01007   ;Vots candidatures;950
S-02008   ;Vots candidatures;1022
S-05001   ;Vots candidatures;582
S-05005   ;Vots candidatures;953
S-02004   ;Vots candidatures;985
S-07002   ;Vots candidatures;1392
S-01001   ;Vots candidatures;1088
S-01004   ;Vots candidatures;1308
S-04008   ;Vots candidatures;513
S-05004   ;Vots candidatures;576
S-06004   ;Vots candidatures;838
S-04007   ;Vots candidatures;470
S-01002   ;Vots candidatures;812
S-03003   ;Vots candidatures;1143
S-05003   ;Vots candidatures;805
S-07001   ;Vots candidatures;1252
S-01003   ;Vots candidatures;854
S-02003   ;Vots candidatures;739
S-02007   ;Vots candidatures;666
S-01005   ;Vots candidatures;1186
S-03002   ;Vots candidatures;966
S-04006   ;Vots candidatures;974
S-02006   ;Vots candidatures;805
S-03001   ;Vots candidatures;979
S-03004   ;Vots candidatures;1237
S-03005   ;Vots candidatures;1059
S-04003   ;Vots candidatures;607
S-05002   ;Vots candidatures;508
S-07003   ;Vots candidatures;696
S-01006   ;Abstencio;85
S-01007   ;Abstencio;196
S-02008   ;Abstencio;254
S-05001   ;Abstencio;213
S-05005   ;Abstencio;254
S-02004   ;Abstencio;199
S-07002   ;Abstencio;140
S-01001   ;Abstencio;199
S-01004   ;Abstencio;262
S-04008   ;Abstencio;162
S-05004   ;Abstencio;229
S-06004   ;Abstencio;140
S-04007   ;Abstencio;139
S-01002   ;Abstencio;148
S-03003   ;Abstencio;216
S-05003   ;Abstencio;306
S-07001   ;Abstencio;180
S-01003   ;Abstencio;181
S-02003   ;Abstencio;283
S-02007   ;Abstencio;174
S-01005   ;Abstencio;303
S-03002   ;Abstencio;223
S-04006   ;Abstencio;401
S-02006   ;Abstencio;224
S-03001   ;Abstencio;280
S-03004   ;Abstencio;214
S-03005   ;Abstencio;245
S-04003   ;Abstencio;164
S-05002   ;Abstencio;168
S-07003   ;Abstencio;137
S-01006   ;Vots blancs;0
S-01007   ;Vots blancs;4
S-02008   ;Vots blancs;2
S-05001   ;Vots blancs;0
S-05005   ;Vots blancs;4
S-02004   ;Vots blancs;5
S-07002   ;Vots blancs;3
S-01001   ;Vots blancs;6
S-01004   ;Vots blancs;5
S-04008   ;Vots blancs;2
S-05004   ;Vots blancs;4
S-06004   ;Vots blancs;5
S-04007   ;Vots blancs;1
S-01002   ;Vots blancs;9
S-03003   ;Vots blancs;4
S-05003   ;Vots blancs;4
S-07001   ;Vots blancs;9
S-01003   ;Vots blancs;3
S-02003   ;Vots blancs;4
S-02007   ;Vots blancs;5
S-01005   ;Vots blancs;6
S-03002   ;Vots blancs;7
S-04006   ;Vots blancs;5
S-02006   ;Vots blancs;5
S-03001   ;Vots blancs;3
S-03004   ;Vots blancs;9
S-03005   ;Vots blancs;5
S-04003   ;Vots blancs;5
S-05002   ;Vots blancs;1
S-07003   ;Vots blancs;3
S-01006   ;Vots nuls;0
S-01007   ;Vots nuls;3
S-02008   ;Vots nuls;9
S-05001   ;Vots nuls;2
S-05005   ;Vots nuls;2
S-02004   ;Vots nuls;2
S-07002   ;Vots nuls;3
S-01001   ;Vots nuls;2
S-01004   ;Vots nuls;2
S-04008   ;Vots nuls;2
S-05004   ;Vots nuls;2
S-06004   ;Vots nuls;2
S-04007   ;Vots nuls;2
S-01002   ;Vots nuls;4
S-03003   ;Vots nuls;5
S-05003   ;Vots nuls;7
S-07001   ;Vots nuls;5
S-01003   ;Vots nuls;9
S-02003   ;Vots nuls;1
S-02007   ;Vots nuls;8
S-01005   ;Vots nuls;2
S-03002   ;Vots nuls;5
S-04006   ;Vots nuls;6
S-02006   ;Vots nuls;7
S-03001   ;Vots nuls;3
S-03004   ;Vots nuls;4
S-03005   ;Vots nuls;3
S-04003   ;Vots nuls;4
S-05002   ;Vots nuls;2
S-07003   ;Vots nuls;1
