CODI_DIVISIO_TERRITORIAL;CODI_DIV_TERRITORIAL_ADM;CATEGORIA;IDENTIFICADOR;NOM;UBICAT;DOCUMENT_COMPLEMENTARI;PROTEGIT;TITULARITAT;US_ACTUAL;SUPERFICIE;DESCRIPCIO_LLARGA;DESCRIPCIO_CURTA;IMATGE
;;;149;Dues cases aparellades de Pere Àlvarez i Gonzalbo;;;Legal;;;;Dues cases aparellades de Pere Àlvarez i Gonzalbo;Dues cases aparellades de Pere Àlvarez i Gonzalbo;
;;;159;Casa unifamiliar del carrer Torras i Bages, 15;;;Legal;;;;Casa unifamiliar del carrer Torras i Bages, 15;Casa unifamiliar del carrer Torras i Bages, 15;
;;;64;Latoneria de J. Ribas i Cañameras;;;Legal;;;;Latoneria de J. Ribas i Cañameras;Latoneria de J. Ribas i Cañameras;
;;;117;Masia Granja Grané;;;Legal;;;;Masia Granja Grané;Masia Granja Grané;
;;;68;Torre Abadal;;;Legal;;;;Torre Abadal;Torre Abadal;
;;;97;La Salut;;;Legal;;;;La Salut;La Salut;
;;;95;Ca l Erasme de Gònima -actual col¿legi del Bon Salvador-;;;Legal;;;;Ca l Erasme de Gònima -actual col¿legi del Bon Salvador-;Ca l Erasme de Gònima -actual col¿legi del Bon Salvador-;
;;;123;Conjunt de les monges franceses. Residència d avis de Santa Teresa;;;Legal;;;;Conjunt de les monges franceses. Residència d avis de Santa Teresa;Conjunt de les monges franceses. Residència d avis de Santa Teresa;
;;;168;Conjunt d habitatges de Josefa Serra de Molins (Joan Batllori);;;Legal;;;;Conjunt d habitatges de Josefa Serra de Molins (Joan Batllori);Conjunt d habitatges de Josefa Serra de Molins (Joan Batllori);
;;;145;Casa Eulàlia Ollé (vídua Donadoni);;;Legal;;;;Casa Eulàlia Ollé (vídua Donadoni);Casa Eulàlia Ollé (vídua Donadoni);
;;;119;Habitatge al Passeig Bertrand 27;;;Legal;;;;Habitatge al Passeig Bertrand 27;Habitatge al Passeig Bertrand 27;
;;;42;Comissaria de Policia;;;Legal;;;;Comissaria de Policia;Comissaria de Policia;
;;;107;Habitatges al carrer Falguera;;;Legal;;;;Habitatges al carrer Falguera;Habitatges al carrer Falguera;
;;;237;Taller industrial al carrer Falguera 90;;;Legal;;;;Taller industrial al carrer Falguera 90;Taller industrial al carrer Falguera 90;
;;;120;Habitatge a la carretera Laureà Miró 4--6;;;Legal;;;;Habitatge a la carretera Laureà Miró 4--6;Habitatge a la carretera Laureà Miró 4--6;
;;;121;Habitatge a Laureà Miró cantonada carrer Batista;;;Legal;;;;Habitatge a Laureà Miró cantonada carrer Batista;Habitatge a Laureà Miró cantonada carrer Batista;
;;;247;Torre de Cal Notari;;;Legal;;;;Torre de Cal Notari;Torre de Cal Notari;
;;;190;Casa a la Rambla Marquesa de Castellbell 78;;;Legal;;;;Casa a la Rambla Marquesa de Castellbell 78;Casa a la Rambla Marquesa de Castellbell 78;
;;;144;Casa Josep Aguadé (actual Sindicat agrícola);;;Legal;;;;Casa Josep Aguadé (actual Sindicat agrícola);Casa Josep Aguadé (actual Sindicat agrícola);
;;;124;Col¿legi de Sant Miquel;;;Legal;;;;Col¿legi de Sant Miquel;Col¿legi de Sant Miquel;
;;;83;Torre Corzana;;;Legal;;;;Torre Corzana;Torre Corzana;
;;;122;Habitatge al carrer de les Creus 5;;;Legal;;;;Habitatge al carrer de les Creus 5;Habitatge al carrer de les Creus 5;
;;;99;Villa Conchita (antigament anomenada Villa Celes) i villa Adela;;;Legal;;;;Villa Conchita (antigament anomenada Villa Celes) i villa Adela;Villa Conchita (antigament anomenada Villa Celes) i villa Adela;
;;;30;Habitatge al carrer Jacint Verdaguer 15;;;Legal;;;;Habitatge al carrer Jacint Verdaguer 15;Habitatge al carrer Jacint Verdaguer 15;
;;;NF;HABITATGE I MAGATZEMS AL CARRER RECTORIA, 21;;;Legal;;;;HABITATGE I MAGATZEMS AL CARRER RECTORIA, 21;HABITATGE I MAGATZEMS AL CARRER RECTORIA, 21;
;;;NF;HABITATGE AL PASSEIG COMTE VILARDAGA, 3;;;Legal;;;;HABITATGE AL PASSEIG COMTE VILARDAGA, 3;HABITATGE AL PASSEIG COMTE VILARDAGA, 3;
;;;132;Habitatge al carrer Constitució 5;;;Legal;;;;Habitatge al carrer Constitució 5;Habitatge al carrer Constitució 5;
;;;29;Habitatge al carrer Constitució 7;;;Legal;;;;Habitatge al carrer Constitució 7;Habitatge al carrer Constitució 7;
;;;236;Habitatge al carrer Constitució 13;;;Legal;;;;Habitatge al carrer Constitució 13;Habitatge al carrer Constitució 13;
;;;78;Can Dot;;;Legal;;;;Can Dot;Can Dot;
;;;31;Habitatge al carrer Torras i Bages, 8-10;;;Legal;;;;Habitatge al carrer Torras i Bages, 8-10;Habitatge al carrer Torras i Bages, 8-10;
;;;245;Antic edifici d Hisenda;;;Legal;;;;Antic edifici d Hisenda;Antic edifici d Hisenda;
;;;NF;Habitatge al carrer Torrres i Bages 12;;;Legal;;;;Habitatge al carrer Torrres i Bages 12;Habitatge al carrer Torrres i Bages 12;
;;;66;Habitatge del carrer Carcereny i Tristany;;;Legal;;;;Habitatge del carrer Carcereny i Tristany;Habitatge del carrer Carcereny i Tristany;
