ID_CONCEPTE;DESCRIPCIO;ANY_PRESSUPOST;CODI_ECONOMIC;CODI_ORGANIC;SALDO_INICIAL;SALDO_ACTUAL;DR;DR_ANUAL;ING_NETS;SALDO;MODIFICACIO;DR_NET;DR_CANCELAT;DEVOLUCIO;TAN_PER_CENT_DR_PREVIST;TAN_PER_CENT_ING_NET_DR
;;2015;15     42000  ;42000;8200000;8200000;8375023,44;;;;0;8352796,84;0;22226,6;;
;;2015;15     39300  ;39300;35000;35000;56562,83;;;;0;56562,83;0;0;;
;;2015;15     46400  ;46400;0;189120;186117,18;;;;189120;186117,18;0;0;;
;;2015;15     39902  ;39902;0;0;37,95;;;;0;37,95;0;0;;
;;2015;15     39904  ;39904;0;27952,07;27952,07;;;;27952,07;27952,07;0;0;;
;;2015;15     83000  ;83000;41500;41500;5659,79;;;;0;5659,79;0;0;;
;;2015;15     11600  ;11600;2100000;2100000;2922594,79;;;;0;2850314,61;67697,54;4582,64;;
;;2015;15     33200  ;33200;650000;650000;671651,55;;;;0;671651,55;0;0;;
;;2015;15     45100  ;45100;0;914514,87;797049,71;;;;914514,87;769018,28;15000;13031,43;;
;;2015;15     39211  ;39211;145000;145000;137713,29;;;;0;137706,95;0;6,34;;
;;2015;15     76400  ;76400;1699873;3151906,32;1387964,29;;;;1452033,32;1387964,29;0;0;;
;;2015;15     30200  ;30200;920000;920000;918294,54;;;;0;914368,08;3885,26;41,2;;
;;2015;15     33100  ;33100;550000;550000;540444,78;;;;0;538179,78;1679,4;585,6;;
;;2015;15     36000  ;36000;1000;1000;4485;;;;0;4485;0;0;;
;;2015;15     39905  ;39905;0;94877,86;96951,34;;;;94877,86;96951,34;0;0;;
;;2015;15     42090  ;42090;0;0;792,79;;;;0;-22371,37;0;23164,16;;
;;2015;15     45360  ;45360;0;0;88640;;;;0;88640;0;0;;
;;2015;15     46200  ;46200;0;10020;0;;;;10020;0;0;0;;
;;2015;15     55301  ;55301;294400;294400;336967,77;;;;0;336967,77;0;0;;
;;2015;15     76100  ;76100;400000;1576000;1576000;;;;1176000;1576000;0;0;;
;;2015;15     32100  ;32100;400000;400000;880304,97;;;;0;800438,97;79292,33;573,67;;
;;2015;15     45080  ;45080;830300;833300;238138,74;;;;3000;176856,35;0;61282,39;;
;;2015;15     13000  ;13000;1350000;1350000;1155570,35;;;;0;1154487,29;0;1083,06;;
;;2015;15     32300  ;32300;80000;80000;147520,58;;;;0;145707,58;1813;0;;
;;2015;15     33901  ;33901;13000;13000;4996,25;;;;0;4391,33;280,62;324,3;;
;;2015;15     33902  ;33902;355000;355000;395014,81;;;;0;378884,23;7569,87;8560,71;;
;;2015;15     87010  ;87010;0;4968633,78;0;;;;4968633,78;0;0;0;;
;;2015;15     33900  ;33900;40000;40000;37209,4;;;;0;37209,4;0;0;;
;;2015;15     34100  ;34100;11000;11000;9328,9;;;;0;9328,9;0;0;;
;;2015;15     34201  ;34201;0;0;24435;;;;0;24220;215;0;;
;;2015;15     39212  ;39212;0;0;369,84;;;;0;369,84;0;0;;
;;2015;15     47000  ;47000;52500;52500;50000;;;;0;50000;0;0;;
;;2015;15     52000  ;52000;3000;3000;2009,42;;;;0;2009,42;0;0;;
;;2015;15     84100  ;84100;0;1582;1582;;;;1582;1582;0;0;;
;;2015;15     34900  ;34900;23000;23000;26968,57;;;;0;25008,67;1959,9;0;;
;;2015;15     39200  ;39200;6000;6000;5442,16;;;;0;5425,77;16,39;0;;
;;2015;15     54101  ;54101;0;0;2315,6;;;;0;2315,6;0;0;;
;;2015;15     55300  ;55300;36700;36700;43684,73;;;;0;43684,73;0;0;;
;;2015;15     36001  ;36001;220000;220000;252756,15;;;;0;252756,15;0;0;;
;;2015;15     39120  ;39120;255000;255000;232877,16;;;;0;232727,16;0;150;;
