CODI_DIVISIO_TERRITORIAL;CODI_PAIS_PROCEDENCIA;PAIS_PROCEDENCIA;CODI_PROVINCIA_PROCEDENCIA;PROVINCIA_PROCEDENCIA;NRE_HOMES;NRE_DONES
D-01;108;ESPANYA;18;GRANADA;1;0
D-01;115;ITALIA;66;ESTRANGER;0;1
D-01;125;REGNE UNIT;66;ESTRANGER;0;2
D-01;217;GHANA;66;ESTRANGER;0;1
D-01;301;CANADA;66;ESTRANGER;1;0
D-01;303;MEXIC;66;ESTRANGER;0;1
D-01;345;EQUADOR;66;ESTRANGER;1;0
D-01;348;PERU;66;ESTRANGER;0;1
D-01;407;XINA;66;ESTRANGER;0;1
D-01;108;ESPANYA;8;BARCELONA;5;1
D-01;108;ESPANYA;9;BURGOS;0;1
D-01;;;;;9;11
D-02;108;ESPANYA;10;CACERES;1;2
D-02;108;ESPANYA;2;ALBACETE;0;1
D-02;108;ESPANYA;28;MADRID;2;0
D-02;108;ESPANYA;29;MALAGA;1;1
D-02;108;ESPANYA;44;TERUEL;0;1
D-02;115;ITALIA;66;ESTRANGER;0;1
D-02;125;REGNE UNIT;66;ESTRANGER;0;1
D-02;301;CANADA;66;ESTRANGER;0;1
D-02;302;ESTADOS UNIDOS (EUA);66;EXTRANJERO;0;1
D-02;303;MEXIC;66;ESTRANGER;0;1
D-02;321;HONDURES;66;ESTRANGER;0;1
D-02;326;REPUBLICA DOMINICANA;66;ESTRANGER;1;0
D-02;341;BOLIVIA;66;ESTRANGER;1;0
D-02;345;EQUADOR;66;ESTRANGER;0;3
D-02;108;ESPANYA;7;BALEARS;1;0
D-02;108;ESPANYA;8;BARCELONA;18;14
D-02;;;;;19;17
D-03;108;ESPANYA;10;CACERES;1;0
D-03;108;ESPANYA;17;GIRONA;1;1
D-03;108;ESPANYA;25;LLEIDA;2;1
D-03;108;ESPANYA;28;MADRID;0;1
D-03;108;ESPANYA;30;MURCIA;1;0
D-03;108;ESPANYA;43;TARRAGONA;1;2
D-03;108;ESPANYA;44;TERUEL;1;0
D-03;122;POLONIA;66;ESTRANGER;1;0
D-03;228;MARROC;66;ESTRANGER;0;2
D-03;315;CUBA;66;ESTRANGER;0;1
D-03;345;EQUADOR;66;ESTRANGER;3;0
D-03;351;VENEZUELA;66;EXTRANJERO;0;1
D-03;108;ESPANYA;8;BARCELONA;10;10
D-03;;;;;14;16
D-04;108;ESPANYA;14;CORDOBA;0;2
D-04;108;ESPANYA;17;GIRONA;1;0
D-04;108;ESPANYA;24;LEON;1;0
D-04;108;ESPANYA;26;LA RIOJA;0;1
D-04;108;ESPANYA;3;ALICANTE;0;1
D-04;108;ESPANYA;30;MURCIA;1;0
D-04;108;ESPANYA;34;PALENCIA;1;0
D-04;108;ESPANYA;43;TARRAGONA;1;0
D-04;324;PANAMA;66;ESTRANGER;1;0
D-04;341;BOLIVIA;66;ESTRANGER;0;1
D-04;343;COLOMBIA;66;ESTRANGER;0;1
D-04;345;EQUADOR;66;ESTRANGER;2;3
D-04;347;PARAGUAI;66;ESTRANGER;1;2
D-04;350;URUGUAI;66;ESTRANGER;1;0
D-04;108;ESPANYA;8;BARCELONA;11;8
D-04;;;;;14;10
D-05;108;ESPANYA;10;CACERES;1;0
D-05;108;ESPANYA;15;LA CORUÑA;0;1
D-05;108;ESPANYA;41;SEVILLA;1;2
D-05;108;ESPANYA;48;VIZCAYA;1;0
D-05;108;ESPANYA;8;BARCELONA;5;2
D-05;;;;;5;6
D-06;108;ESPANYA;18;GRANADA;0;1
D-06;108;ESPANYA;21;HUELVA;0;1
D-06;108;ESPANYA;28;MADRID;2;0
D-06;108;ESPANYA;33;ASTURIAS;1;1
D-06;108;ESPANYA;46;VALENCIA;1;0
D-06;108;ESPANYA;6;BADAJOZ;0;1
D-06;115;ITALIA;66;ESTRANGER;0;1
D-06;219;GUINEA BISSAU;66;ESTRANGER;1;0
D-06;321;HONDURES;66;ESTRANGER;1;1
D-06;347;PARAGUAI;66;ESTRANGER;1;0
D-06;351;VENEZUELA;66;EXTRANJERO;0;1
D-06;108;ESPANYA;8;BARCELONA;12;10
D-06;;;;;16;9
D-07;108;ESPANYA;17;GIRONA;2;2
D-07;108;ESPANYA;35;LAS PALMAS;0;1
D-07;108;ESPANYA;38;STA CRUZ DE TENERIFE;1;0
D-07;126;ALEMANYA;66;ESTRANGER;1;1
D-07;216;GAMBIA;66;ESTRANGER;1;0
D-07;228;MARROC;66;ESTRANGER;0;1
D-07;108;ESPANYA;8;BARCELONA;3;4
D-07;;;;;2;4
