CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
1;1;;Afores, Finca Sargantana;Afores, Finca Sargantana;0000;0000
2;2;;Afores, Granja Pino;Afores, Granja Pino;0000;0000
5;5;;Afores;Afores;0000;0000
10;10;C;Agustí Domingo;Agustí Domingo;0001;0021
20;20;C;Armenteres;Armenteres;0001;0092
25;25;C;Agricultura;Agricultura;0001;0046
30;30;Ctra;Sànson;Sànson;0000;0085
32;32;;Colònia de la Sànson;Colònia de la Sànson;0000;0000
33;33;C;Sol;Sol;0001;9999
34;34;Pl;Laujar de Andarax;Laujar de Andarax;0001;0001
35;35;C;Can Miano;Can Miano;0001;0036
37;37;Pl;Alfons Comín;Alfons Comín;0001;0002
39;39;Pl;Roses;Roses;0001;0030
40;40;C;Anselm Clavé;Anselm Clavé;0001;0066
41;41;Pl;Doctor Behring;Doctor Behring;0001;0003
42;42;Ptge;Masor;Masor;0001;0043
43;43;Ptge;Multindus;Multindus;0001;24  
44;44;Pl;Francesc Macià;Francesc Macià;0000;0000
45;45;C;Baix LLobregat;Baix LLobregat;0001;0055
46;46;Pl;Vinya del Puntaire;Vinya del Puntaire;0000;0   
50;50;C;Jaume Balmes;Jaume Balmes;0001;0039
60;60;C;Barcelona;Barcelona;0001;0016
70;70;C;Batista;Batista;0001;0005
75;75;C;Bullidor;Bullidor;0007;0011
80;80;Pg;Bertrand;Bertrand;0001;0036
90;90;C;Carles Buïgas;Carles Buïgas;0001;0071
100;100;C;Carcereny i Tristany;Carcereny i Tristany;0001;0016
105;105;Pl;Casal de joves;Casal de joves;0000;0000
110;110;Pl;Catalunya;Catalunya;0001;0008
120;120;Ctra;Laureà Miró;Laureà Miró;0001;0440
130;130;C;Constitució;Constitució;0001;0094
140;140;C;Can Calders;Can Calders;0001;0017
142;142;Parc;Can Llobera;Can Llobera;0001;0001
145;145;C;Comerç;Comerç;0001;0080
150;150;Pg;Comte de Vilardaga;Comte de Vilardaga;0001;0166
160;160;C;Creus;Creus;0001;0048
163;163;Camí;Can Cuyàs;Can Cuyàs;;
165;165;C;Cuenca;Cuenca;0001;0049
170;170;C;Daoíz i Velarde;Daoíz i Velarde;0001;0056
180;180;C;Tibidabo;Tibidabo;0001;0025
185;185;Pl;Dicià;Dicià;0000;0000
190;190;C;Doctor Barraquer;Doctor Barraquer;0001;0013
200;200;C;Doctor Brugarolas;Doctor Brugarolas;0001;0050
210;210;C;Doctor Fleming;Doctor Fleming;0001;0008
220;220;C;Girona;Girona;0001;0034
230;230;C;Europa;Europa;0001;0016
235;235;Parc;Europa;Europa;0001;0003
240;240;Pl;Estació;Estació;0001;0003
242;242;Ptge;Enric d Ossó;Enric d Ossó;0001;0002
250;250;C;Eugeni d Ors;Eugeni d Ors;0001;0028
